yng	ய்ங்
terance	ஏரணசெ
teram	எப்ரம்
teramnis	பெரனிஸ்
teramano	எரமான்
teramane	எரமான்
terak	ஏறக்
teraki	ரகி
teraina	எரசினம்
teradion	கெரடின்
terada	எரா
teradata	பெறாத
tepula	புல
tepuka	புக
teppu	வெப்பு
teppo	எப்போ
tepis	டெபிஸ்
tepic	எபிசி
tepeya	பெய
tepes	எப்எக்ஸ்
tepesi	பெஸி
tepepa	ஏப
tepenec	எபெனெசர்
tepelene	டெபெலே
tepeji	பெஜி
tepau	எபௌட்
tepatopo	என்பதோ
tepatasi	பதம்ஸி
tepano	பனொ
tepak	எபக்ட்
teorie	தொரி
teoranta	பொறந்த
teoman	ஒமன்
teocar	ஒசர்
tèn	த்ன்
tenzin	எனின்
tenya	கென்ய
tenuta	எந்த
tentulia	கெந்துளி
tentet	எந்த்த்
tensta	எந்த
tenspeed	நிஸ்பேட்
tensleep	ஹென்ஸ்லே
tenryu	என்யு
tenrei	என்றி
tenpei	என்பி
tenpay	எபய்
tenoroon	வென்றோன்
tenormin	எண்டொர்மி
tenong	நொங்
tenoch	எனொச்
tennman	பென்னிமன்
tennie	எ‌ண்‌ணி
tennga	எ‌ன்ன
tennenbaum	பெண்ணெனவும்
tennelus	தொன்னெழு
tennekes	ஃபென்னெக்ஸ்
tennae	எ‌ன்ன
tenmu	என்முன்
tenmille	எமில்லே
tenlik	எலிக்
tenko	என்கோ
tenke	என்கே
tenjinyama	என்ஜினியால்
tenje	என்ஜே
tenino	நினொ
tenifer	ஜென்னிஃபெர்
tengre	என்றெ
tengis	எங்ஸ்
tengani	செங்கனி
teney	எள்நெய்
tenes	என்எஸ்இ
tenerian	நெறிமன்
tenerani	ஏரனின்
teneraca	ஜெனெரா
teneniai	ஏநிசை
tenek	என்டெக்
teneke	என்ஏ
tenedian	எண்டியன்
tenduc	என்டு
tendoy	என்டொ
tendilla	ஜென்டில்ல்
tendeter	வெண்டேர்
tenco	என்சோ
tenciz	என்சி
tenchu	என்சு
tenchi	என்சி
tencalla	என்ரல்ல
tenaza	எனா
tenay	எனத்ய்
tenar	ஏனற்
tenan	எண்கண்
tenakh	எனக்
tenaha	எனா
tenagi	எனை
tenaga	எனா
temvik	எம்வி
temur	தெமுர்
temuri	முரி
temsed	எமெட்
temsaman	எம்ஸம்ஸ
temris	எரிஸ்
temrad	எமட்
tempur	எம்பு
temporia	தெம்பர
tempoal	டெம்பொரல்
templ	எம்புல்
templare	எம்பரெர்
temperer	எம்பரெர்
tempa	எம்பா
tempawan	பெம்பான்
temotu	மொது
temora	மொற
temnurus	தெர்மூஸ்
temne	எம்னெட்
temmu	எம்முன்
temme	எம்மெட்
temiño	எம்இஒ
temiar	எமர்
temet	கெமெத்
temesa	எம்எஸ்
temer	எமெரி
temerl	மெர்ல்
temepara	யேபர
temensis	மென்ஸீஸ்
temenggung	டெமெங்குங்
temeku	மெகு
temeke	எமே
temeeku	என்மேக்சு
tembec	எம்எச்
temaru	மரு
temara	மற
temanite	எமனைத்
temangan	மங்யன்
temam	ஏமம்
temalion	எம்மலின்
temagi	எம்ஐ
telzar	எலர்
telys	எலொய்ஸ்
telve	எல்வே
telupe	எல்பெ
telsim	எலிம்
telsat	எழத்
telrad	எள்ற
telmun	எழுந்
telmo	எல்மோ
telmon	எலொன்
telma	எல்மர்
tellural	எழிலுற
tello	எள்ளோ
tellie	எல்லெ
tellié	எல்லி
tellez	எல்லெ
tellevik	எல்லெனிக்
telles	எல்லெ
tellera	எழில்பெற
tellep	எல்லெ
tellenae	தெள்ளென
tellah	எள்ள
teliu	எலிஹு
teliuc	எலிச்
telit	ஜெலித்
telipinu	மெலிபின்
te-lin	எலின்
telinga	எலிங்கம்
telines	செலினேஸ்
telgmann	எல்மனின்
telgen	எலென்
telford	டெல்ஃபோர்ட்
telflamm	எல்லம்ம
telfener	வெல்ஃபேர்
telfa	எல்ஃபை
televisi	எல்விஸை
televisa	எல்விஸை
teleut	எழுத்
teles	எல்எக்ஸ்
teler	எலெரு
telerama	நேரம
telep	ரெலெப்
teleny	எலென்
telent	லென்த்
telengit	ஏங்கித்
telemond	ரேமொன்ட்
teleme	எல்ஏ
telemann	லெமனின்
telemail	ஏமனில்
teleky	எலெக்
teleki	லெகி
telekids	டெலெக்டஸ்
telei	எல்எஸ்இ
telefe	எல்ஏ
teledu	ஏடு
teledata	கெலெடா
telecare	எலேசர்
teleabla	தெளலத்
telde	எல்டெர்
teldar	எலர்
telcon	எலொன்
telarium	எல்லரும்
telarc	எழச்
telangi	ரெலங்கி
telander	லண்டெர்ன்
telakawa	தெலகா
telaium	எல்லையும்
telaga	எலா
tekwar	எகர்
tekus	டெகுஸ்
tekra	எகர
tekpi	எக்ஸ்பி
teknisk	தென்கனிக்
tekna	எகின
teknaf	எனஃப்
teklimakan	மெக்லிமான்ட்
tekko	டெக்கொ
tekkesi	மெக்கென்ஸி
tekir	செகிர்
tekil	ஜெகில்
tekhniki	டெக்னிகி
tekes	எகெக்ஸ்
tekere	கெரெ
tekene	கெனெ
tekena	கென
tekeli	கெலி
tekek	எகெக்ஸ்
tekam	எக்சம்
tekad	எகடர்
tekaaroa	ஏகார
tejera	ஏர
tejen	எஜென்ட்
tejar	கெஜர்
tejam	தெஜம்
tejaji	ஜஜி
tejada	எஜா
teitel	இதெல்
teitan	இ்தன்
teiss	எலிஷ்
teisen	எஸென்
teisco	எஸ்சொ
teira	எதிர
teipi	எம்இபி
teina	எகின
teima	எரிம
teiman	இமன்
teimani	எரிமணிப்
teimanim	எமனிடம்
teilen	எலென்
teilen	எலென்
teiji	எஃபிஜி
tehri	வெஹ்ரி
tehrek	எரெக்
tehranis	பெரனிஸ்
tehngoor	எங்கோர்
tehmina	தெஹ்மினா
tehan	பெஹன்
tehanu	ஹனு
tehama	ஹம
tegris	எரிஸ்
tegrin	எரின்
teglev	எல்எவ்
tegeta	ஏத
tefik	மெஃபிக்
tefer	எஃப்னெர்
teferi	ஃபெரி
tefere	எஃப்ஏ
tefera	ஏர
tefal	எஃப்கள்
teevee	ஏஏ
teets	மேத்ஸ்
teeterin	கேத்ரின்
teetee	ஏஏ
teesselink	கேஷ்லிங்க்
teesra	ஏர
teerth	ஏர்த்
teero	ஏரொஸ்
tee-pees	ஏர்பேஸ்
teenpath	எஎன்பது
teenie	ஏணி
teemu	ஹேமு
teele	ஏலே
teekanne	ஏகனின்
teekah	ஏக
teefy	ஏஃபெய்
teeco	ஏசோ
teece	ஏசெல்
teecee	ஏஏ
teebee	ஏஏ
tedzen	எடென்
tedong	டொங்
tedjen	எடென்
tedial	எடில்
teddiman	ரெட்டமன்
teddeman	ரெட்டமன்
tedda	எட்டா
tecwen	எசென்
tecuén	எசுன்
tecuci	சுசி
tecuan	எசன்
tecpan	எபன்
tecora	சொர
tecoma	எச்ம
tecnam	எனம்
tecmar	எமர்
tecla	எச்லர்
tecks	எசக்ஸ்
teckel	எசெல்
tecis	என்சிஸ்
tecia	எசிய
techem	எஃஎம்
tech21	எச்21
tecce	எச்சே
tecama	சம
tebedu	ஏடு
teatu	எமது
teatteri	அத்​தேரி
teatru	அத்ரு
teatrali	அத்ரௌலி
teata	எழத
tearist	எவரிஸ்து
teapa	எனப
teana	எனன
teanaway	எமனாய்
teami	எனமி
team17	எம்17
teali	ெயலி
teaira	ஐர
tdanna	அன்ன
tcolor	சோர்
tchupala	சுபலன்
tchula	சுழ
tchong	ஹொங்
tchin	சஹின்
tchingal	சிங்கள்
tchikrin	சிகுரின்
tchernov	செர்னோவ்
tcheng	ஹெங்
tchang	ஹங்
tazvir	அவிர்
tazukuri	அதுகுரி
tazuddin	அவுட்டின்
tazhin	அஹின்
tazelaar	அவெலார்
tazara	ஆற
tazama	ஆம
tazaki	ஆகி
tayyab	அய்ய
taytu	ஐய்து
tayta	அயுத
taysir	அஸிர்
taysee	அஸே
taynal	அனல்
taymor	அமொர்
tayma	அய்மா
tayler	அயெர்
tayla	அயல
tayisi	ஐஸி
tayau	அயரு
tayasal	பயஸால்
tayammum	டாம்மும்
tayac	அயசு
taxirani	ஐராணி
taxila	ைள
taxali	ஆலி
tawrat	அறத்
tawkar	அகர்
tawira	ஐர
tawila	ைள
tawhai	அஹை
tawasa	ஆஸ
tawara	ஆற
tawaraya	ஆராய
tawang	ஆங்
tawangan	ஆங்கன்
tawana	ஆன
tawalisi	ஆலிஸை
tawakoli	ஆகோலி
tavya	அவய
tavush	அவுஸ்
tavullia	கவுள்ளி
tavua	அவுல
tavşan	அவன்
tavoy	சவொய்
tavoni	அவ்னி
tavole	அவொல்
tavola	அவொல்
tavner	அவெர்
tavitian	அவிந்தன்
tavitavi	விதவை
tavist	அவித்
tavism	அவிஸ்
tavish	விஶ்
távirati	விரக்தி
tavior	அவிர்
tavion	அவொன்
tavier	அவெர்
taveuni	தவெயுனி
taves	சவெஸ்
tavernor	ரவெனொர்
tavera	வெர
tavel	அன்வெல்
tavele	அவே
taveau	அவௌ
tavčar	அவற்
tavbloor	அவளோர்
tavaus	அவுஸ்
tavas	அவர்ஸ்
tavaré	அவற்
távara	வர
tavam	ஆவம்
tavakoli	ஆகோலி
tavake	வகெ
tavaco	அவஒ
tautu	கௌது
tautiška	பௌதிக
tautel	உதெல்
tautalus	அந்தலுஸ்
taushani	அஸ்ஹன்தி
tauruses	பௌருஷ்
taurunum	உருண்டும்
tauropolis	புரொபோலிஸ்
tauroi	ஔரி
taurinas	முரினஸ்
taurid	ஔரி
taura	சௌர
taurans	அசூரன்ஸ்
taupa	அசுப
taung	அருங்
tauna	அருண
taunay	உனய்
taumarunui	அருமருந்து
taumadhi	அறுமடி
tauli	மௌலி
taula	ஔலஸ்
taulani	மௌலானி
tauke	அருகெ
taukau	அகௌ
tauila	ைள
tauhara	ஜௌஹரை
tauca	அனுச
tauai	ஔவை
tatya	பத்ய
tatva	தத்வ
tatun	ஹதுன்
tatums	அதும்
tattwa	அத்த
tatts	அத்திஸ்
tatto	அத்தோ
tattersall	அத்தேறலில்
tatsiana	அதிவண
tatrou	அத்ரு
tatra	அதிர
tatras	த்ரஸ்
tatparta	அபரித
tatos	அதோஸ்
tator	அதொரு
tatooine	அதோஸின்
tatone	அஒநெ
tatom	பதொம்
tatol	அதோல்
tatnall	கத்னள்ளி
tatmen	அதென்
tatla	அதில
tatitlak	அதீதக்
tating	திங்
tatia	அதிஅக்
tathiana	அதிவண
tatham	அஹம்
tathai	அஹை
tateyama	மத்யம
tatens	அதென்
tateno	அதென்
tateng	தெங்
tatel	அப்தெல்
tateh	பதெஹ்
tatay	மதய்
tatas	அதாஸ்
tatary	அதர்
tãtaru	தரு
tatarski	தார்ஸ்கி
tataristan	சந்தரிதன்
tatarahama	ஆத்மராம
tataraba	அதாரா
tatamy	அதம்
tatafu	ஆஃபு
tatabi	அதை
taszar	அஸர்
tasumi	அஸ்மி
tassie	அஷி
taslima	தஸ்லிமா
tasku	பஸ்கு
taskia	அஸ்கி
tasius	அஸிஸ்
tasin	அஸ்மின்
tashri	அஸ்ரி
tashkhit	தஹ்ஹீத்
tashka	அஃக
tashdeed	அப்ஸ்டேட்
tashanta	அஸ்ஹன்தி
tasek	அஸ்டெக்
taseer	ஸேர்
tasars	ஆர்ஸ்
tasang	ஆங்
tasam	அஸ்தம்
tasaki	ஆகி
tarzan	அரண்
taryn	அரெய்ன்
tarver	அவெர்
tarva	அர்வர்
tarvato	ஸர்வதோ
tarvaris	ஆவரிஸ்
tarutino	அருதீன்
tarus	அரூஸ்
tarumbul	கருமுள்
tarumá	அறும்
tarui	அருளி
taruc	ஆறுச்
tarua	அரும
tartu	அர்துர்
tartumaa	ஹருமா
tartt	அர்த்த
tartaus	அர்தானுஸ்
tartatorum	மரந்தொறும்
tartaros	ஆர்தர்ஸ்
tartares	அதர்நெஸ்
tartagal	சர்தால்
tarsusan	ஹர்ஷன்
tarsta	அஸ்த
tarski	அஸ்கி
tarsina	ஆர்ஸினல்
tarsiana	அரியண
tarsa	அர்ஷ
tarrou	அற்று
tarri	வற்றி
tarrida	ஆற்றிடை
tarrha	அற்ற
tarre	சற்றெ
tarrafal	அற்றவள்
tarpie	அர்பி
tarpeian	அற்பெயின்
taron	பரொன்
taroko	அரோ
taroa	அரொர
tarnsman	ஹன்ஸ்மன்
tarnopol	அர்னோல்ட்
tarnica	கார்னிச
tarnhill	பர்ன்ஹில்
tarnhelm	ஆர்ன்ஹெம்
tarng	அரங்
tarna	அற்ந்த
tarnaörs	பர்னர்ஸ்
tarmon	அமொன்
tarma	வர்ம
tarmans	பர்மான்ஸ்
tarlo	கர்லொ
tarlek	அலெக்
tarkus	அகுஸ்
tarkunde	அருண்டெல்
tarko	அர்கோ
tarkio	அர்கி
tarkhuna	சற்குண
tarkhany	தர்க்ஹன்
tarja	வர்ஜ
tarjamat	பரமத்
tarius	அரிஸ்
tarish	அரிஸ்
tariro	ஐரொ
tariot	அரித்
taringa	அரிங்கா
tarim	கரிம்
tarimuki	அறுமுகி
tarime	ஐமெ
tariel	ஐஎல்
taric	அல்ரிச்
taríaran	அரிஅரன்
tarhun	அருண்
targumic	அருமைச்
targee	அரே
targas	அரஸ்
targan	அரண்
tarfa	அர்ஃபா
taretan	அரெத்தைன்
taren	அர்டென்
tarentum	அடர்ந்தும்
tarennig	அட்ரென்னி
tarenna	வரென்னை
tarek	அரேக்
tareeq	அரே
tareas	அரஸ்
tardor	தடர்
tardi	வர்டி
tardivel	அடிவெளி
tardivat	வடிவத்
tardif	அரிஃப்
tardan	அரண்
tarchi	அர்சி
tarbat	அறத்
tarbatum	ஹரதும்
tarbas	அரஸ்
tarban	அரண்
taraza	அரா
tarawa	அரா
taravo	ஆவொ
tarasy	அரஸ்
tarase	அரஸ்
tarasco	கரஸ்சோ
tarasa	ரஸ
tarasankar	கர்ஷன்கர்
tararua	மறறும
tarare	ஆரெ
tarapoto	அறபோர்
tarapore	அறபோர்
taranto	பறந்தோ
taranov	சரனோவ்
tarando	அர்மன்டோ
taranchi	கரன்சி
taranath	அரனது
tarakima	ரகிமா
taraji	ரஜி
taraja	ரஜ
tarairiu	அறைறை
taradino	சரடின்
taradake	அராகெர்
taraba	அரா
taraab	அரா
taqamkuk	சாம்குக்
tapuya	புய
tapussa	அஸ்புஷன்
tapuria	அபுரினா
tapurian	அப்ரியன்
taptic	அதிச்
tapski	அஸ்கி
tapps	அப்டப்ஸ்
tappo	அப்போ
tappouni	அப்புண்ணி
tapple	அப்பெ
tappitt	தப்பித்து
tapooz	அபோ
tapoohi	அப்ரோஹிட்
tapon	தபொன்
tapoco	அபோ
tapley	அலெய்
tapiro	ஐரொ
tapio	ஐபிஒ
tapion	அபின்
tapiolan	கபிலன்
tap-in	அபின்
tapilá	அபிள்
tapihana	சபிஹா
tapie	பபிஎ
tàpies	பிஎஸ்
tapia	அபித
tapiau	அபௌ
taphrina	அஃறினை
taphii	அபீ
taphan	அபன்
tapert	பெர்த்
tapavica	பவீச
tapauá	அபௌ
tapatapa	பதபஸ்
tapanuli	பண்புழி
tapant	பந்த்
tapah	ஆப்ஃ
tapadh	அபட்
taoyin	ஒயின்
taoro	அஒரோ
taora	அரொர
taopi	ஐஒபி
taonui	அணுஇ
taokas	அகஸ்
taŋ	த‌
tanzim	அனிம்
tanzan	அணன்
tanzam	அணம்
tanzam	அணம்
tanya	ஜன்ய
tanyas	அனஸ்
tanvir	அவிர்
tanus	தனுஸ்
tanushka	தனுஸ்க
tanur	அனூர்
tanums	அனும்
tanumafili	டனுமாஃபிலி
tanukh	அனுக்
tantr	அந்தர்
tantrasara	அந்தஸ்தற்ர
tantora	அந்தோரா
tantitha	அந்தித்த
tantek	அனெக்
tantei	அந்தி
tantalos	அந்தலுஸ்
tantalis	கனலிஸ்
tantalís	அந்தலுஸ்
tantaene	அந்தரே
tansill	மன்ஸிலில்
tansie	அன்ஸி
tanshi	அன்ஸி
tansa	அன்ஸர்
tanout	அணுத்
tanon	கனொன்
tanong	நொங்
tanonaka	தன்னக
tanoan	அணன்
tanny	சன்ஞ்
tannirbavi	அந்நீராவி
tannerie	நன்னெறி
tannen	அண்ன்ன்
tannaz	அன்ன
tannah	அன்ன
tankiz	அன்கி
tankim	அகிம்
tankie	அன்கி
tankah	அந்க
tanjong	சன்ஜோங்
tanjay	அஜய்
tanith	அணித்
tanite	அணித்
tanios	ஐஒஸ்
tanino	நினொ
tåning	நிங்
tanimoto	அனிமோன்
tanihara	அரிஹர
taniec	அணிச்
tania	அனிய
tangra	அன்ற
tangl	ஆங்ள்
tanglin	அங்கிளின்
tangis	அனிஸ்
tangina	அடங்கின
tanghalang	ஹாங்ஹாங்
tanggula	அங்குள
tang-f	தங்
tangara	கங்கர
tangaras	பனரஸ்
tangarakau	அங்காரக
tanganas	அங்கண
tangamanga	அங்கமான
tanfield	அன்ஃபீல்ட்
taneum	நெும்
tanetum	அன்னெத்தும்
tanets	அனெஸ்
taneti	அந்தி
taner	அண்டெர்
tanen	அன்சென்
tanem	அன்டெம்
tanemura	அண்டமுற
tanel	அன்வெல்
tanella	பனெல்லா
tanela	நெள
taneko	அனெக்
tanedo	அனெட்
taneda	அனெட்
tandyn	அண்டன்
tandro	அண்டர்
tando	அண்டோ
tandjung	ஐன்ஜுங்
tanda	அன்டா
tandavam	ஆணவம்
tandar	அனற்
tancrid	மன்ச்ரைட்
tanck	அன்சுக்
tanca	அஞ்ச
tanay	அனாய்
tanau	அனரு
tanase	அனஸ்
tanaro	ஆரொ
tanaoa	அணா
tanane	ஆனெ
tanamor	மனமொரு
tanakh	அனக்
tanaḯs	அனஸ்
tanaïs	அனஸ்
tanaís	அனஸ்
tamzin	அமின்
tamyra	அம்ர
tamwan	அமண்
tamvan	அவன்
tamura	அம்ர
tamuno	அம்ணொ
tamuk	அம்புக்
tamuín	அமுன்
tamte	அம்தே
tamson	அமொன்
tamsma	அம்ம
tamsin	அமின்
tamrun	அருண்
tamron	அமொன்
tamraz	அம்ர
tamralipti	தம்ராலிபி
tampere3	ஆம்பெரெ
tampax	அம்ப
tamora	மொற
tamony	அமொன்
tamon-in	ஆமொனின்
tamoil	அமில்
tamnut	அணுத்
tamna	அமண
tammuz	அம்மு
tammie	அம்மெ
tammet	அம்மெ
tammer	அம்மெ
tammen	அம்மெ
tammeka	அம்மேகக்
tamla	அம்லா
tamise	அமிஸ்
tamio	அமினொ
tamims	அமிஸ்
tamihana	அமிஹான்
tamiflu	தமிஃபுளு
tamia	அமிய
tamgan	அமண்
tamet	அமேத்
tameteru	அமதெரு
tamese	அமே
tamerlis	அம்பெர்லி
tameno	அம்ணொ
tamela	மெள
tameez	அமே
tameem	மேம்
tameecha	அமேசன்
tamdya	அடய
tambunum	நமுனும்
tambroli	அம்ரோலி
tambos	அமொஸ்
tambling	ஜம்லிங்
tambimuttu	தம்பிமுத்து
tambar	அமர்
tambapanni	தம்பபண்ணி
tamay	கமய்
tamaudun	அமனுடன்
tāmati	மதி
tamate	அமத்
tamatemi	அகதெமி
tamasus	லமஸ்சுஸ்
tamasa	ஆஸ
tamarumaro	அமருமாறு
tamaro	ஆரொ
tamarite	அமர்ஜித்
tamarick	அமாரிக்
tamare	ஆரெ
támara	மற
tamanivalu	மனிதவலு
tamangic	மங்கிச்
tamanaco	சமணச்
tamam	அண்மம்
tamamutu	மம்முது
tamamoro	அம்சமோ
tamaliki	மாலிகி
tamak	அமைக்
tāmaki	மகி
tamaki	மகி
tamaho	ஆஃஒ
tamag	அமங்
talzin	அலின்
talys	அலய்ஸ்
talyn	அலெய்ன்
talya	அல்யட்
talwandi	ஆலன்டி
talvivaara	டல்விவாரா
talvio	அல்வி
talveski	சலெஸ்கி
taltoli	பல்தொழில்
talsma	அல்ம
talsit	அளித்
talsen	அலென்
talqan	அழன்
talpur	அபுர்
talpinae	அல்பினா
talpidae	அல்பிடா
taloyoak	அலோகக்
talos	அலோஸ்
talossan	லோஷன்
talorc	அலொர்
talonian	சலொனின்
talomo	அலோ
talok	அலோக்
talodi	அல்டி
talng	அலிங்
talmi	கல்மி
talmay	அல்ம
talmark	அல்த்மார்க்
tallula	பல்லுள்ள
talluau	அள்ளுவது
tall-i	அல்லி
tallix	அல்லி
tallinna	வல்லின
tallings	மல்லிங்
tallie	அல்லி
tallha	அல்ல
taljai	அளை
talislanta	ஐஸ்லாந்தை
talisker	அலிஷெர்
taliska	அலிஸ்கான்
talish	அலிஸ்
talipariti	வழிப்பறித்
talipao	அழிப்பதொ
talimena	அலிஎன்ற
talil	களில்
taliko	அலிக்
talikane	அலிகான்
talihina	அலீனா
talien	ஐஎன்
talibans	அலியன்ஸ்
taliana	அழிந்தன
taliahad	அலிபாட்
talha	அல்ஹா
talhami	அல்ஹமீத்
talhah	அல்ஃ
talgat	அழத்
talgar	அழற்
talfan	அழன்
talfah	அல்ஃ
talev	அலெவி
talevski	சலெஸ்கி
talespin	ஐஎஸ்பின்
talese	அலே
talentum	அழிந்தும்
taleka	அல்க
taleex	அலே
talecris	அலெக்சிஸ்
taldy	அல்டெய்
talca	அல்சர்
talbut	அழுத்
talbor	அலொர்
talbin	அலின்
talawa	அலா
tālava	லவ
talau	அலது
talath	அல்ஃ
talapady	பலபட்
talanx	அழன்
talano	அழன்
talamone	தழமொன்
talamh	அல்ஃ
talamban	வளமண்
talagi	அளை
talaga	அலா
talad	அல்யட்
talabani	வழானி
talaaq	அலா
takvam	அகம்
takuu	ஹகூ
takurong	குரோங்
takua	அகுல
taktu	தக்து
takrur	அருர்
takovski	கோவ்ஸ்கி
takovo	அகோ
takoradi	கொரட்டி
takon	நகொன்
takodana	அகோடா
takna	அகன
takmil	அமில்
taklimakan	தலைமகன்
takle	அக்லே
takko	அக்கோ
takkians	ஹக்கின்ஸ்
takken	அகென்
takkakaw	அக்காக
takikawa	அகீகா
takiji	கிஜி
takic	ஆகிச்
takhli	அஹ்லி
takhar	அஹர்
taketomi	அகெதமி
taketani	அகெதமி
takeru	கெரு
takeno	அகென்
takena	கென
takenaka	அகநக
takelmas	அக்னெலஸ்
takeichi	சகிச்ஹி
takegami	அகெதமி
takeda	அகெட்
takebe	அகே
takdir	அகிற்
takaza	அகா
takayu	ஆயு
takayuki	அகமுகி
ta-kau	அகௌ
takatō	அகத்
takato	அகத்
takatori	ஜகத்ரி
takatomo	அகத்தோ
takasaki	மகாகி
takasada	அகாடா
takarajima	நகாஜிமா
takapuna	அகப்புண்
takao	அகாஒ
takantshan	தகர்ந்தன
takano	கனொ
takanori	அகன்றிட
takane	ஆனெ
takanami	கனாமி
takamuko	அகமுக
takamori	கமோரி
takamine	அகைன்டெ
takamasa	தாமஸ
takakura	ககுரா
takako	அகக்
takakkaw	அகக்கண்
takaki	ஆகி
takaka	கக
takaiye	பகையே
takaie	அகை
takaichi	சகிச்ஹி
takaho	ஆஃஒ
takahira	கஹிரா
takahata	ஜாஹத
takahama	பகஹா
takagi	அகை
takae	அகலெ
takacs	அகஸ்
tajudin	தாஜுடின்
tajmar	அமர்
tajin	மஜின்
tajima	அஜிம்
tajihi	அஜீ
tajhat	அஹத்
tajfel	அஜெல்
tajes	அட்ஜெஸ்
tajdid	அடிட்
tajan	கஜன்
tajai	அஜனி
taiyo	ஐயோ
taiyi	மையி
tai-ying	லையிங்
taiye	ஐயே
taivu	அணிவு
taitung	ஸைத்துங்
taitt	ஐத்தி
taittirtya	தைத்திரிய
taittirīya	தைத்திரிய
taittiríya	தைத்திரிய
taiti	அதிதி
taithu	ஐது
taite	ஐதே
taitazak	ஐதாக
taitapu	அமிதாபு
taitale	அறிதலே
tàitai	இதை
taissir	ஐர்ஷைர்
taisiya	அபிஸியல்
taisia	ஐஸி
taisen	ஐஎன்
taisce	ஐசெ
tairua	ஐர
tairov	ஐரொ
tairon	ஐர்ன்
taironas	ஐரோன்ஸ்
tairi	ஐரிக்
taipu	தைபு
taipings	சிபிங்ஸ்
taipei	ஐபி
taipa	ஐபஸ்
tainui	அணுஇ
taintor	அணிந்தோர்
tainton	ஐந்தொவென்
taino	ஐனோ
tainos	ஐஒஸ்
taingakawa	அசிங்ககா
taine	மைனெ
taina	ஐனட்
tainaros	லைனர்ஸ்
taimu	ஐம்பு
taimni	ஐனி
taimi	கைமி
taimina	தைமினை
taima	ஐமன்
tailtann	அதில்தன்
tailside	ஐலிடே
taillard	மில்லர்ட்
tailford	இல்ஃபோர்ட்
tailey	அலெய்
taiki	அசிகி
taikei	ஐகெ
taika	ஐகய்
taijian	தைஜியன்
taiiku	ஈகு
taihu	பைஹு
taiho	தைஹொ
taihang	தைஹாங்
taigen	ஐஎன்
taiei	ஐஎஸ்இ
taido	ஐடோ
taichu	ஐசு
taichung	தைசுங்
taichi	ஐசி
taias	ஐபஸ்
taiap	ஐமப்
taian	ஐரன்
tahvilat	நவிலத்
tahsis	அஸிஸ்
tahsin	அஹின்
tahsil	அஹில்
tahra	அஹ்ரர்
tahora	ஹொர
tahoma	ஹொம
tahoka	அஃக
tahoe	அஹொரெ
tahnee	அனே
tahmima	தஹ்மிமா
tahmid	அமிட்
tahmasp	தஹ்மாஸ்ப்
tahlil	அஹில்
tahit	சஹித்
tahirt	அஹிர்
tahira	ஐர
taher	அஹெர்ன்
taheruddin	ஹெரௌல்ட்டின்
taherids	ஹெர்மிட்ஸ்
tahawi	அஹை
taharka	மஹர்கள்
tahap	அஹாப்
tahan	அஹான்
tahami	ஆமி
tahaki	ஹகி
taguvaramu	துவாரமும்
tagrit	அரித்
tagharan	சஹரன்
tagaya	ஆய
tagatame	ஆதமே
tagaro	ஆரொ
tagara	ஆற
tagant	ஆந்த்
tagand	ஆண்ட்
tagami	ஆமி
tafuri	ஔரி
taftan	ஃபதன்
tafrakin	வரகின்
tafnit	அணித்
tafna	அஃப்னன்
taflan	அழன்
tafira	ஃபிர
tafila	ைள
tafawa	அஃபா
tafaseer	ஆஷேர்
tafari	ஆரி
tafani	ஆநி
tafakkur	ஆக்கூர்
tafaki	ஆகி
taelon	எலொன்
tadyawan	அடியான்
tadun	அல்டுன்
tadulala	அடுகள
tadua	அடுத
tadrib	அட்ரி
tadrart	தட்ரார்த்
tadraq	அடர
tadmur	அமுர்
tadmor	அமொர்
tadmekka	அமெர்க்க
tadma	வடம
tadley	அலெய்
tadla	அடலஜ்
tadjik	அடிக்
tadje	அண்ட்ஜெ
tadin	ஜடின்
tadham	அஹம்
tadese	அடே
tadeno	அடென்
tadek	ஐடெக்
taddle	அட்டல்
tadde	அடடே
taddeo	அட்டொ
taddéoli	தட்டொலி
taddéi	அட்டி
taddei	அட்டி
tadda	அட்டா
tadataka	ஆதகட
tadas	அட்ஜஸ்
tadanaga	அடானா
tadami	ஆமி
tadamasa	தாமஸ
tadamaru	பாமரு
tadakuni	ஆர்குனி
tadaichi	அடைச்சி
tadahira	அட்மைர
tadadi	ஆடி
tač	த‌
tacui	அசுமி
taconera	சொநேர
tacom	அசோம்
tacola	சொல
tacna	பச்ன
tackholm	அச்க்ஹோல்
tacker	அசெர்
tachin	அஹின்
tacher	அசெர்
tachen	அசென்
tachanun	அசனுடன்
tachai	அஹை
tacey	நசெய்
taceno	அசென்
tacchi	அச்சி
tacchini	யச்சினி
taccales	அச்சிலெஸ்
tacaud	சௌட
tacape	அசப்
tacaná	அசன்
tabris	அரிஸ்
tabrar	அர்அர்
tabone	அஒநெ
tabnit	அணித்
tabley	அலெய்
tablat	அழத்
tabitu	ஐது
tabiji	ஐஜி
tabata	ஆத
tabassum	மாஸ்ஸும்
tabasi	ஆஸி
tabascan	ராஸ்சன்
tabart	ஆர்த்
tabari	ஆரி
tabariji	சாரிஜி
tabarian	ஆரிகன்
tabara	ஆற
tabaraya	ஆராய
tabang	ஆங்
tabane	ஆனெ
tabals	ஆல்ஸ்
tabala	ஆல
tabaka	ஆக
