โยคะ	오카
ง้	ㅇ
อุไร	구라리
ง่อง	貢
งอิธิ	기티
เองิ	겐기
อะไร	가라이
งอัลล	날일
อัลบะ	갈바
อะลัม	갈암
แง้ว	개와
อาระ	가아라
โนเร	노체
ยมัน	에만
ยก่อน	에콘
วิ่ง	윙
เวลล์	네엘
เทวัญ	에와유
อุตริ	으리
เนเน่	은테
เสฏฺโฐ	ペット
โตเน	페토네
เนสส์	내씨
เนสท์	에쎄
เนมิ	네모의
สลอน	에손
ซิกั	제시카
เนเฟ	넷에
อร์เรน	에렌
เลรอส	μέρος
เร่ร่อน	에론
โรเน	페론에
เดร็ม	메롬
โรลั	에롤
รมิน	耳鳴
เพริศ	메릿
เกริ่น	에린
อรินั	에리나
ริมั	네리마
เกริก	에리코
ริเค	엔리케
เรทั	베레타
เคอเรน	에렌
อรัง	애랑
ระกะ	라카
เปรั	페라
เดเปน	게펜
ปะทะ	파타
เป็นั	어나
เใน	언라이
แฟนนิง	헨닝
นคิน	엔키
นขัน	엔칸
เรเนส	제넷
เอมอร	에모리
เอมอร	모레
เลมอน	에몬
โมฆะ	모카
เยเมน	에멘
เมนส์	에멧
เอ็มเบ	엠버
เลไม	에마의
เหลเถ	젤테
โลเร	엘레
ลคิน	엘킨
แอลเค	젤케
เบลิซ	엘빗
ลิดั	엘피다
เลทั	엘타
เอลเด	엘데
เอลบา	엘바
คุเร	쿠레
โคมั	こま
เอกี	きみ
เอกเทศ	베켓
เอกา	카야
เอะกิ	에자키
เกิตทิง	데이팅
เอิร์น	에이린
เอิลส์	일소
เกิลล์	네일
อิเคะ	이케아
เนี้อ	에이지
เอเดน	레이덴
อิโช	에이호
เหิม	헤임
เอเดน	에덴
เลฮัน	和漢
อเน	네
อเน	네
โด่ง	动
โด่ง	可動
เดอโล	에더
เดลิ	베델이
อชิน	チン
บะบะ	바바
เอะ	에아
เอะมง	에당
ดยุ๊ค	유카
ดูม	두모
ดูดิ	두디
โดรฟิ	도리
โด่ง	동오
ดอนั	동아
ดอนั	돈다
ดิเย	다예
แดท	다레
ได้การ	다카하루
นูเบ	춥게
โจเร	초래
ช้	ㅊ
โนเน	노네
นอ่ะ	納
ยุคิ	사유키
โยง	다용
ยมัน	아만
นาร์	아야우
อายัน	아얀
าณะ	아야나
อัยา	아야가
พะวง	아왕
อาระ	아와라
ละไว้	아와시
ตุ้ง	악퉁
ถุนั้	나투나
ถุนั้	나투나
ทไธ	あたい
อัทสึ	あっ
ทรุ่น	아룬
โทเร	토레
ต่อมั	하토마
ละติน	아틴
ทินั	아티나
ต์ฮัน	아한
ต์ฮัน	아한
เทวะ	아트와
เทศะ	테사
เถระ	알테라
อะตอม	아톰
กะทัน	카탄
ทะนะ	아타나
อาลย	아탈
อาลิ	탈이
ทะเล	아태
กะตัก	아타코
นัสอะ	아스타
อัษฏา	맛타
ศริน	아린
ศรัณ	아란
อาศิร	아시로
ศิริ	아시리
ไออิ	아이오이
อัซฮัร	暗殺
าธิ	아산티
อัซฮัร	아사리
ไซร์	아사이
อารยะ	아랴
อร์วัล	아랄
อารุม	아룸
ะเรน	아텐
อาร์ตั	아라타
นะโส	나소
อะไร	아사이
อาร์เร	아라레
อร์เรน	아렌
รอนั	아로나
อาร์มั	아리마
อรินั	아리나
ริมั	아리마
ในะ	나리아
ะเระ	아레아
เรง	렝
ะเรน	아렌
รดอล	아돌
รดิน	아딘
ะเระ	아레아
คาร์บอนิ	아론이
กัรบะ	아리바
อารัญ	아라의
กะรัต	아라타
ระซุ	다라수
อาระ	아라라
ระณะ	아라나
รัลอิ	랄이
ไรน์	아랍인
ไรล์	라일
ระดะ	라다
ระดะ	아라다
รอับดัลอิ	라발의
โปเล	폴에
อัปเปอร์	아페리
ปะทะ	라파타
อาลิ	나팔이
ละออง	아롱
อะมัล	아말
น้ำนม	나눔
อัณฑะ	아투아
อันธิ	안티
อันเต	한텐
อันเต	아넬
นทัส	あんた
อัณฑะ	안타로
อันธิ	安泰
อัณฑะ	あんた
แลนซิง	안식
นพัน	アンパン
พัณณิ	안니
แฟนนิง	安宁
อันนะ	안나
นนัน	安南
นมอน	산몬
นมัน	단만
นลิน	檀林
นคิน	아나킨
อัณฑะ	아니타
ไอออน	애니온
นิเน	아니네
อันนะ	아니나
หันเห	안혜
โอะงุ	안구
องซ็	항소
มังคละ	養老
งอิซ	안기
สังหาร	장하리
งอัน	팡안
าเนส	아넷
แอดิ	애디
อะนัส	아닷
กันดาล	반달할
ปั้นจั่น	安川
นโชงิ	안치홍
กะจัง	안향
ฮันบะ	아니바
อายั	아나야
อะนัส	마나시
อะนัส	마나세
นอะกิ	아나키
ไนซ์	나잇
มุกิ	무키
ดำริ	암리
อำไพ	남파
ธัมมะ	암마
อะมัล	잠잘
มิเน	라미네
มิกิ	나미키
มิคั	아미카
มิดั	암이다
ะแม	탐해
เมตส์	մեծ
อะมัล	아달
ะแม	함대
ะแม	암바에
อะไม	麻子
ะแม	가마테
มะระ	아마라
อะไม	아마미
ซากุระ	카마쿠라
มะฆะ	마카
มะฆะ	나마카
อาดิ	아마디
ะแม	아마츠
ลภัส	알파
ตะลอน	알톤
อัลญะ	알리야
อัลฮับ	앓아
ทะเล้น	알켄
เลดิ	알게디
เลดิ	알게디
อัลดิส	알디
ลบิน	알빈
อัลอัยน์	알단
ตะคุ่ม	아쿠미
กปิล	아필
โกโซ	나코소
โกร๋น	아콘
ตะกอน	아콘
กอดั	사코다
กินั้	아키나
โอะกิอะ	아키아
อายั	아카야
กะวะ	아카와
คอะซุ	카수
อาระ	아카로아
คะเน	あかね
ระกำ	아캄
อามั	아카마
ซากุระ	다카쿠라
อักโข	아카코
สะแก	아카에
อาเด	아카드
กะดะ	아카다
กะบะ	아카바
ไอบะ	지바
อาระ	아자라
อาดิ	아자디
ไลยั	아이야
ไม้โท	아이토
ไอซ์ส	이싸
ไอออน	아이손
ไอรอน	아이로
ไนโรบี	나이로비
ไอรอน	愛染
ไบออส	άγιος
ไอน์ส	하인시
ไยง์	아잉
ไอนด์	차인다
ไฮม์อิ	아이미
ไอไม	아이마
ไอคอน	아이코
ไอซ์เด	爱的
กะจัง	台場
หยัน	아얀
อาหรั่	아후라
ยะโฮร์	아호로
ยะโฮร์	아호로
หมั้น	아만
หิมะ	아힘사
าร์ส	아핫
ฮันต์	아한
อะไหล่	아할
อาลิ	마할이
ระหัด	اتحاد
อะหมั	악마
อายั	아가야
อาศุ	나가수
สาขปัตนัม	나가파티남
านต์	아간
ซากุระ	나가쿠라
อาดั	아가다
แฟซซ์	했
แอ็ล	앱솔
แอ็ล	얼에
แแบ	아메바
อะดัม	아담
ดริน	아린
มะฎอน	아돈
อะดอลล์	아돌
ดิเน	디네
ดิเน	디네
ดินั	아디나
ระเด่น	아덴
เดเน	아덴에
เดลล์	아델
อายิ	나디아의
อัลดัส	아닷
าร์ส	아닷
อาระ	아다라
มะดัน	아단
ระบิล	카빌
บิลั	아빌라
บิคิ	나비키
อะเบล	갑을
อัลเบร์	아베리
อะเบล	아벨
านด์	아반
อัลบั้ม	알밤
อาดั	아바다
าซัล	아악사
าเน	안제
อามิส	아다미
อาเมน	あやめ
อาดั	아카디아
อาบี	바압이
ไม้เอก	災厄
โยเน	요네
อรินั	유리나
เยเรส	야렛
โยงิ	욕이
โยนั	노나
ยงา	용아
ยอันเด	陰德
ยลา	야사
เคเน	켄에
ยกัล	칼에
ยิงฟัน	英彦
เย	謁
เยนั้	체나
ยะงิ	얀이
แยส	쟈켓
ยอัช	瑤池
อ่วย	وي
วินย	윈의
วิณี	윈이
วิ่ง	윙
วิลัย	윌라
เวเน	文則
เวเน	원예
เวิ่น	웨인
วัฒนั	ワタ
วาร็	왜로
วาริ	わり
วงะ	관가
วัลคิ	활이
วัลเล	왈레
มูม	우음
เวิส	우웨이
ว่าน่	우와한
อุตสึ	うつ
อุตรา	우타라
อุทิศ	티소
อนุทิน	붙인
ติเน	루틴에
ทินั	붙이나
ติกั	우티카
มุติ	木田
อุเทศ	테시
เทศะ	무테사
เตกิ	ステキ
อุแท	우타르
อุทาน	우탄
สุรั	수라
ซุก็	수코
มุ่	沐
มูสส์	무쏘
อุสึ	우수에
โซเน	루손에
โซมั	소마
สกิต	웃키
ศิริ	부시리
สินะ	쿠시나
ซิกิ	후시키
เสต็	세토
เซ็ส	웃옷
เส็น	우선
อุศเรน	우선
มุสิก	우세의
อุสา	사사
สั่ง	우상
สกันดั้ม	무산담
อร์ทัล	우랄
อร์แท	우태
โรยั	무로야
รอง	우롱
โรเน	수론에
โรมั	로마
รเนน	우넨
รมัน	우리만
มูเร	木刻
ริโล	우릴
อร์ฟิน	우린
ทุเรศ	투렛
เรณุ	우르
รดิน	우딘
มูส	무릇
รบัน	우리반
ระซุ	クラス
อุไร	구라리
อรัง	让
อรัง	우랑
ระณะ	우라나이
รอัลต	우랄
รอะกิ	우라키
ไรล์	우라실
อุไร	라디
ระบะ	라바
พิง	우핑
เม็ทธ	もっと
มุนิ	무로이
ปุณโณ	운노
ปุณณะ	준나
นิดั	문이다
อุณหะ	운하
ฟุงุ	운구
งอุล	운구
งกุ	운구
มุงิ	웅이
ไง้	우가이
งับ	둔갑
นเดล	순델
นโช	운호
มไบ	뭄바이
อลคิส	툴킷
ลิ้ง	巨靈
คุรุ	쿠루
สุริยัน	独り言
ครั้น	우란
โคมั	こま
สุขิน	루킨
กินั้	쿠키나
กะทิ	두카티
อูรุ	무주루
เห้ง	玉衡
ดรัน	우란
มุนด็	무도
ดุดัน	우단
อชิน	チン
สุบิน	우빈
แอง	앵
ทว่า	와라
ทว่า	와파
ทุ่มเท	土门
โตนั	토냐
ทอด็	톤도
เทวะ	테와
ทะสึ	탓에
ทะนะ	탕아
วัติ	사티
ศุษณะ	수사
ศรัณ	샨
ซีดั	시다
สัสัน	사사
แซล	사헬
อรร์	ρρ
โร่	ろ
อร์นัล	린달
เรซิน	레시
อเรนจ์	仁和
อเรม่า	레마
อร์เบิร์	레이레
ไรส์อะ	라사
ระณะ	란마
รกัส	라카
พุ	葡
พุ	葡
ปูเล	풀에
ปอนด์	폰도
พอนั	폰다
พิเร	피레
ไพล็	필로
พิไล	필자
ปั้ง	盘古
โซย็อน	오용
ว์เด้น	おでん
ถุนั้	어투나
โอโซน	오손
ทริน	오린
โอ่โถง	오톤
โตโก	오토코
ธิติ	티티
ธิติ	티티
เถระ	테라
เตละ	오텔
ตะละ	오탈자
แตล	보탤
สุรั	수라
โอโซน	오톤
มโหสถ	못토
โอโซน	쏜
ศศิน	씬
ซมัน	옷만
สลิม	오심
สกุณ	오순
มอสโก	롯코
สก่อน	오콘
สคิน	옷인
โอเอซิส	오시수
ซิซิลี	씨실이
ออมสิน	옷인
ซินส	옷인
โมเสส	옵셋
เซนั	곳에나
เซลั	오세아
สดอส	옷도
โมะอิ	모라디
ขอสับ	오사베
ซาด้	ຊາດ
โอโซน	오손
โอรสา	오리사
อร์ซัล	오랄
ออร์เร	오리에
ออร์เร	오로르
ออร์โธ	모로토
รอนั	포로나
โรคั	소로카
คอร์นิ	오리니
มรณะ	모리나리
รมัน	오만
รมัล	오랄
ออร์เค	오키에
อร์เคล	오렐
โมรา	모자
อริยะ	오리야
ออร์โธ	오리토
ริ้ง	도링
อรินั	오리나
ริเค	리케
ออร์กี	오리이
ริเบ	오리베
โมรี	모리
โมหะ	모루아
ออร์โธ	오르토
ออร์เฟน	오렌
เรณุ	오르
เรณิ	오르니
ออร์เด	おでん
ออร์เด	おでん
มอร์ด	모다
รดัล	오달
ระยะ	올라야
ออร์โธ	라토
รอันท์	오란
อรัง	오랑
ออร์เน	오라녜
ออร์นด	오란다
ระณะ	오란다
ระเค	오래
ไรส์	올라잇
ไรน์	오래인
แรซ	오랫
แระ	오래다
ออร์ดิ	모라디
ขอรับ	오라비
เปลิ	오펠의
พั๊นซ์	오판
ประลอง	蟠龙
โมเม	모토메
นท้อน	몬톤
โอนเอน	온센
นรัก	온라
โคนอน	오논
นอง	도농
อ่อนน้อม	촌놈
โคลนนิ่ง	컨닝
นมอน	오논
โอนเอน	오켄
มอนิเตอร์	니트라
โอนิกซ์	오니시
โบนิน	오닌
นอินส	오닌
นอิง	모닝
นิดั	폰이다
โยงุ	종우
งอุล	옹을
โมโน	몽어
งออซ	온것
โปงิ	옹이
งอิล	손길
อองส์	온것
ทงช็อน	통혼
อองต	온가
งอัน	公安
เนสส์	오넷
โอนเอน	외엔
นเด็	몬데오
โอนเอน	おでん
โอชะ	お茶
นัสอะ	나사
ออนแท	보내
โมเน	모네
มอม็	코모모
โมขุ	磨く
ออมสิน	몸인
มิเน	오미네
ดอมี	오미의
โดเมน	오멘
โอมาน	오만
โอโซน	올손
โคลอน	올혼
ล็ง	올송
โลกั	오오카
โปลิส	πόλις
ลินส	올인
เลวั	외와
เลเซอ	외세
เลนิ	올니
เลนั	올레나
ออลเด	올댓
โกไล	돌아이
กว็อน	오콘
กริน	오린
ออกรับ	오쿠라
โคนั	노코나
โคมั	こま
โกเบ	코베
โกกิล	오킬
โลเกศ	소켓
โคเคน	오켄
เคนั	케나
โฟกัส	φωκάς
คะเน	오카나에
กะบะ	모카바
ออิง	포징
อิทัส	오이타시
โบโฮล	보홀
โรหิต	오히토
เหตุ	외투
โอหัง	오한
โอเอซิส	외시
เมดิ	메딕
โดเน	오도네
โดคิ	모도키
ดลิน	올인
ดินิ	오딘이
ดีน	ディーン
ออดิโอ	오디오
ออดิโอ	옵디보
โอโช	輟
โอชะ	お茶
โอโช	杻
โอบู	모부투
โมบิล	오빌
เบลล์	오벨
โอะซึ	오와세
โอะเระ	고아라
นงุ	운구
นิลั	니하
โง๊ะ	고마
เนิส	네시
นมอน	내몬
เนมิ	네미
นอ่ะ	納
นะโส	나선
มุสิก	무시
โมเดล	모더
มินสก์	민카
แลน	아덴
ขวัญ	쾌의
กะวะ	와와
คุบะ	쿠바와
คหา	하야
คะมำ	카마
กิกั	카시카
เอลเด	엘데
ยุคิ	미유키
โยธะ	니요타
วิทยะ	이타야
อิตัล	이탈
อิตัล	이탈
ทไธ	いたい
ตรอน	이론
ตมัน	이토만
อีโน	티노
ทินิ	티니
ทินั	밑이나
อิตัล	이탈
อินเทล	시텔
อิต้า	타타
ตะเฆ่	이오타케
อิต้า	이타카
ไทน์	이타인
อิศริ	비수리
สุรินัม	수리나
อิศเร	수레
อิสระ	잇타
ธิษฐิ	이세티
สทัล	이탈
ติสฺโส	있소
ศศิน	잇신
อิสระ	이소라
โซกิ	비소키
สลัน	일안
สคิน	이신
วิสิฐ	이시타
ศิริ	인시리
ศิรั	시라
สิ้ง	이싱
สินะ	니시나
เสโณ	이세노
อิศา	이사야
อิศา	이사와
อิศา	미사사
สะกิ	이사키
อิศา	이사카
ไศล	기사일
แซล	이사벨
อร์เรน	이렌
ไอรอน	이론
รมัน	임안
อร์คิน	이린
ริมั	키리마
ศิรี	이리니
อร์ฟิน	이린
พิเรล	이럴
ระยะ	이라야
วิรัต	이라티
หิรัณ	이란
รอันท์	이란
อรัง	이랑
ไรส์	라잇
ไรล์	라일
ระดะ	히라다
ลิปโซ	싶소
นญัค	이냐키
อินทุ	인투
อินทุ	인투
ปิ่นโต	킨토
นท้อน	윈톤
นอง	이농
นนัน	인난
นคิน	신킨
อินี	피니시
อินี	이닝이
มีม	리니모
นฮัส	인하
อิงิ	行義
อิงิ	明細
งอุส	인구시
งอุณ	인군
อิ้งค์	인구
คิงสตัน	잉탄
มินตั๋ง	廳堂
อิงิ	定期
ถิงฟง	鳴鳳
เงร์	잉에
งอัย	인가요
งอั้ว	인가와
งอัศ	인가
งอัน	인간
งัด	인가도
เนตั้	미네타
เนง	機能
เนเน่	미네네
ซินด็	インド
ซินดิ	インディ
นเดล	핀델
นโช	인호
นอะกิ	히나키
มุง	이문구
อิมเร	임레
อิม่า	키마타
มะระ	임하라
มัณฑ	임안
อิม่า	치마나
มะคิ	이마키
อิไม	이마지
วิลยั	일야
อีลุ้ม	일품
โลร็	일로로
โลเร	일레
โลเน	실온에
ลมัย	일마
ลมัน	일만
วิลเลิม	빌헤임
อีโต้	일기토
ลิตั	利他
ลิ้ง	일인가
ลินด์	일인데
อีกั	일카
อิลัม	일임
อิลัม	일함
กิเลน	일엔
เลเน	일레네
เลนั	일베나
อิเลฟ	일어
ลดัน	일단
ลดำ	필담
อิโช	일호
อิมัลชัน	일치한
ลัวะ	일가와
ฟิลัส	길앗
อิไล	일만이
ลั้ง	일강
กุระ	이쿠라
คุมั	이쿠마
ลิกขะ	이코카
กิโฆ	미키코
อิเคะ	이케아
กะวะ	이카와
กะทิ	카티
ปิคัส	이카사
ปิกัล	티칼
ไกล๋	미카일
แคล	아이캘
มิ้นซ์	미넷
มีนั	이이나
หล่อน	이혼
อีโต้	리히토
มหา	미하타
ไหล	이하일
แหล	이해일
มิเตอร์	메테
โด่ง	이동
โดคิ	도키
มิดั	미다
ดลิน	일인
มิดั	미다
เด็น	이데온
เดนั	데나
อิเดะ	이데리아
อิโช	哀愁
จ้อน	이혼
ชนิ	いち
ดิจิตอล	이치토
อิโช	いちご
ชิฟ	いち
เจ็	이허
ทิชั	體察
ชะอม	이함
มิ	禰
หุ	户
ลับั้	喇叭
หาริ	ハリ
แฮ็ล	한올
ไหล	호일
อันนะ	한나
หิริ	히리
หิริ	하이리
ยุ้ง	어융
ยลิน	惡因
เอเย่นต์	에셴
ถวัล	에탈
มอเตอร์	메테레
เอตสึ	えっ
เมษิ	みつい
ทรัน	에란
เมโทร	에토레
เลธอน	메톤
ทินั	레티나
เอทิล	에틸
เท็ส	텃
มะลิ	메탈이
เนซึ	예수에
ศศิน	씬
เอะโสะ	페소아
เมษิ	멘의
สลัม	에삼
สเกล	에셀
เมิด	엣지
สินะ	예시나
ซิกั	제시카
สหัน	葛山
เซ้นซ์	에센
เซเน	에센에
เซดิ	세디
ซะบะ	메사바
รสิน	에린
รสัน	에산
รสัม	에삼
เดร็ม	메롬
โรลั	에롤
โรคั	에로이카
เบอร์นั	에리나
รมิส	에밋
รมิน	耳鳴
มรกต	메리테
ริฒิ	리티
เอร์เร	에이레
เกริ่น	에린
อรินั	에리나
เบริล	에릴
อเมริกัน	아메리카노
เทริด	에리두
เรเธ	에레트
เรณิ	에렌이
เรเน	에이렌에
เคอเรล	에리엘
รดิน	에딘
เวอร์ชั่น	耳川
เอร์นัน	에란
รอันท์	에란
เอร์นันเดซ	그란데
เนรัล	제랄
รอะกิ	라키
ระกะ	라카
ปรอน	에론
ปเปน	てっぺん
เอนู	누주
เลณฑุ	本土
นท้อน	펜톤
นเธส	엔테
มณฑน์	텐텐
เท้งเต้ง	에넹
เใน	文太
แลนซิง	센싱
เมนส์	옌센
เมารี	메나리
นอร์อะ	에놀라
นอง	儂
แฟนนิง	헨닝
เปนเน	펜네
นนัส	엔나
อนิจ	메니
เองิ	朋子
เองิ	藤崎
เองิ	能力
งอิซ	엔기
เองุ	捧ぐ
เงร์	엔게
เงน	엔겐
งเด	等地
งอัลไล	蓬萊
เรเนน	케넨
นโฎน	ήδων
แอนดิ	엔디
เรนเดอ	엔데
นเดอส์	엔데
เรนัน	文案
นั่ง	페낭
เซมพิ	엠피
เลมอน	에몬
โมนส์	에몬
มนอน	멤논
มนอน	멤논
เยเมน	에멘
เอ็มเบ	엠버
เดโลร์	엘오로
โลนิ	어니
เอลเน	에네아
เคลม็	엘모
ลมอน	엘먼
ลมัน	겔만
ลคิน	엘킨
ลกี	엘키
ลิตั	利他
เพลิน	엘킨
ลิเน	＿
เอลเด	利得
เอลเบ	엘베
ลดอน	엘돈
เอเดน	헬덴
ลดัล	엘알
เอลเบ	엘베
เอลเบ	엘베
เอลา	엘라라
กุฏิ	쿠티
ครั้น	에란
เยฆอน	에콘
กอนส์	에콘
โคเน	에콘에
เคอเร	에케뢰
เคนิ	헤켄이
เคเล	可樂
กะเร	카레
คะเน	어칸에
เอี๊ยคัง	웨이양
เอิร์น	페이룬
เอิร์น	에이런
เอิร์ส	에이라
เอินซ์	미넷
เอินซ์	미넷
เอเดน	레이덴
เหติ	合體
เอเดน	에덴
เลฮัน	和漢
เอเดน	에덴
เรดอน	ήδων
เอเดน	에덴
ดลิน	에딘
เอเดน	에덴
เรดิธ	에디타
ดินิ	디니
ดิ้ง	헤딩
ดิเน	디네
ดินั	디나
ดิกั	메디카
ดีส์	에딧
เอเดน	디엔
เวเดส	에데사
เดนิ	에덴이
เดนั	에드나
เยเดล	에델
เดลล์	에델
เอเดน	에단
เอะฉิ	エッチ
เอบ	엡
เอแบค	에바에
เอะกิ	아킨
เอเดน	아덴
เอะบะ	아반
มดัช	大赦
ดาต	단팥
อชัน	諂
ไลน	차인
ชนุ	處女
ไบน์	바인
บิลั	뷜
เวณิ	베니
บวา	봐야
บูทิ	부티
อุทิศ	부티
บุรุษ	ぶる
บุรี	부리
บุนด์	운두
บุนด์	분다
บูเค	부케
เรทิ	레티
โบโล	보올
บอช	保持
บิณฑิ	비티
บิณฑิ	빈이
อบิง	빙우
บิดั	빈다
บิลั	빌과
เบญัต	베야
เบธเล	베테
เบอร์นั	베라
เบนั	벤가
เบลอั	벨과
เบคิม	베키
เบเร	베레
บาเย	바예
บาตั	바타
บำเรอ	バレ
แบค	バレ
บรัก	바라카
ะงิ	방이
บั่ง	방아
ไบเล่	발에
บาลั	巴拉
บากั	바카
มั้	马
แมธิ	麻子
อ่าง	大蔵
อามั	ざま
อายุร	아유루
โยซ็	요소
อะลัม	아얌
อัยกา	아야카
ยิง	大英
เยร์ส	아예렛
แอดั	예다
อายัต	아야타
อัยา	가야사
อาระ	아얄라
อานนฺ	아얀
าณิ	카야니
าณะ	아야나
อามั	아야마
ยะกิ	아야키
อัยา	야차
วุฒิ	物體
วนัน	아난
อาระ	아와라
ตะวัน	아완
านด์	아완
อาแว	자와에
อ่าง	아앙
ะเรน	아우른
ะเระ	아우레아
อุไร	아우라지
อะเลส	아울렛
มัติ	마티아
กะทู้	アッー
ธุตั	바투타
อัฏฐิ	アット
อัฏฐิ	아틴
อัตถะ	아티아
อัตถะ	아타우
ทไธ	あたい
ทริม	아림
ทรัน	아란
อัตถะ	토타
วะฏ็อน	아톤
ท็อนส์	아톤
โตนั	알토나
อะตอม	마토메
ต่อมั	하토마
โธโล	아톨
โทคิ	사토키
โตกั	とか
พะโต๊ะ	아토차
อะตอมิ	아톰이
ทลิน	아틴
อัตคัด	아티카
ตกัล	아탈
ทิตั	티타
ตอิโล	아틸로
ติลั	아틸라
ติกั	아티카
ไอบะ	티바
มธุร	마후라
แมว	마헤
ทไฮ	あたい
เทรน	아텐
เถระ	알테라
เท็ส	텃
เธเน่	아테네
เตโล	아터
สะเต๊ะ	아테나
อายั	하타야
มทัส	탓에
อาระ	하타라
กะทัน	카탄
าเน	사탄에
ทะเล	아태
ตะละ	아탈라
ตะโก้	아타코
ทะกิ	파타키
อัตลัด	اتحاد
อาดิ	파타디
สุมะ	아스마
ซุกุ	マスク
ซุก็	아스코
สุคิ	바수키
ซุกั	아슈카
อัษฏา	맛타
สตั้น	استان
อัศวั	쏴
มัสสุ	앗슈
ศศิน	아사신
โซนั	소나
โซโก้	앗토코
สลอน	아손
สคิน	앳킨
สกัน	갓칸
ซิวั	마시와
อาศิร	아시로
อัศวิน	아신
ซิกั	야시카
อัซฮัร	暗殺
สหัน	愛山
เซง	阿僧
เซิ่น	카세인
อายั	아사야
ษัทอะ	사타
ศะศิ	나사시
อาระ	라사라
าภิ	사피
สัสัน	아산
าณิ	아사니
าเน	아산에
านด์	아산
าณะ	아사나
าเล	타살에
สะกิ	아사키
ใส่ใจ	아사이치
อาดั	아사다
ซะบะ	아사바
ะเรน	아렌
ะเรน	아렌
ะเรน	아렌
ะเรน	아렌
อรุณิ	자루니
อารุม	아룸
มาตุ	マル
อาร์โธ	아루토
ะเระ	아레아
อาร์ตั	아라타
อรสุม	아룸
รสิน	아신
รสัน	아라산
อร์ซัล	아랄
อะไร	아라이
อัรร็อย	⇐
อร์เรน	아렌
อร์พิน	아핀
โรเร	로레
โรเน	아론에
อาร์เน	아론에
อาร์เน	아론에
รนัน	아난
อร์นัล	아레날
รมอน	아몬
อาร์มิ	아롬이
ะเรน	아멘
อร์มัส	아맛
รมัล	아말
ดาร์ลิง	아링
ะเรน	아렌
ะเรน	아라켄
อร์เคล	아켈
รกันดั้ม	아란다
รกับ	아랍
อริยะ	아리야
ริฒิ	아리에티
มริส	가리옷
ไอออน	아리온
ริ้ง	아링
รมิเนนซ์	아리는
ไอนด์	아린
ริคิ	아리키
ริเค	아리아케
ริกั	아리카
อารี	아리이
ะเรน	마리엔
มะริด	아리다
ะเรน	아렌
อะไร	아라이
ะเระ	아레아
ะเระ	아레아
เรนส์	아렌
เรเน	압레네
ะเระ	아레나
เรเค	아르케
เริส	레잇
ะเระ	카레가
ะเรน	아렌
ะเระ	아레아
ะเระ	아레아사
ะเรน	아란
รดอล	아돌
รดิน	아딘
ะเรน	아덴
รดัส	아닷
อร์ดัม	아담
รบิน	아랍인
อะเบล	아벨
ระยะ	아라야
อะไร	알라위
อะไร	아라이
กะรัต	아라타
สารัตถะ	아라타
าภิ	라피
อาเป	라페
รอันท์	아란
านซ์	아란
าณิ	아리아니
รังไข่	아랑이
านด์	아란다
อะไร	아람인
อามั	자라마
ระกะ	아라카
อะไร	파라지
ไรน์	아랍인
อะไร	아라이가
อาดิ	파라디
ระดะ	아라다
อราล	아랄
ตะพุ่น	하푼
ปปิน	아핀
ผลิน	아핀
อาเพศ	카펫
อัพภัน	아판
อำไพ	하파이
ไวโอมิง	마오밍
อะนัส	아냐
ณยัม	아얌
นวัน	완완
อันเต	카누테
มันส์	만시
อันธิ	안시
อันตรธาน	安曇
อันตร	안토
นทิน	안토인
นทิก	안티카
อัณฑะ	岸田
กันตัง	安堂
อันเต	안테
อันเต	안터
อันธิ	안테이
อันเต	단테에
สัณฐาน	다타란
อัณฑะ	あんた
อังศุ	안수
ฮันซ็	안소
กันแสง	安勝
นอร์อะ	가노라
โนเน	노네
อันนะ	안보나
อะนัส	아노아
นน่อน	안농
พัณณิ	안니
นเนท	안네
อันนะ	안네가
อันนะ	안나
อันนะ	安奈
อันนะ	안내
นมัน	단만
นคิน	아나킨
นขัด	안카
ไอออน	애니온
นอิง	안팅
อานิสงส์	아닌것
อาณิก	아니키
ไอเค	아니크
นิดั	아니다
งอุส	안구
งุ่ม	아굼
ะงิ	板櫃
กังหัน	唐山
อย่างไร	앙리
ดังนี้	장이지
มัณฑิ	마니
ะงิ	아기아
อังส	아넷
งเด	當得
งอัน	팡안
เนสส์	아넷
เนโล	아넬로
เนกิ	아네키
อะเงะ	안에다
อันเดอร์	한데
กันดาร	완다와
ลันช์	アンチ
นโช	안치호
คันชีพ	アンチ
กันชิง	アンチ
พันจ่า	안찰사
นไบ	아바이
นัสซอ	않았
แนสซัส	안았다
อะนัส	마나세
อาระ	아나라
อานนฺ	아난
อามั	마나마
าโล	아날
อาลิ	안달이
นอะกิ	아나키
ไนซ์	나잇
ในร	아나이
ในะ	나이아
แนม	냄
อาดั	아내다
อันดับ	안압
อาเบ	아나벨
ละมุน	아문
มุกั	자무카
สำเร	암르
อัมพร	암파로
มะแม	맘에
อามิส	아미시
เมธั	메타
เมโลดี้	마멜로디
เมเด	아메데
เมดั	가메다
มไบ	암바이
อะไม	사마위
ะแม	가마테
กาสิโน	마시노
อะไม	아마리
มะระ	아마라
าณิ	아마니
านด์	아만도
อะมัล	아말라
มอักษ	아맛
ไมน์	악마인
อะไม	아마이아
อาดิ	아마디
อัลอัยน์	الدين
อัลญะ	아얀
อัลทิ	알후티
อัลทิ	알틴
อะเลส	알테
อัลทัว	알타
รัลเร	말레
ลภัส	알파
าโลส	갈옷
ตะลอน	알톤
