zoa	ζωα
apollodorus	απολλόδωρος
apogonoides	απολλωνίδης
aphrodisias	προδικασίας
apanchomene	ανερχόμενη
antofagasta	αντοφαγάστα
antilibanos	αντιλίβανος
antibiotika	αντιβιοτικά
anthoupolis	ανθούπολης
anthestḗria	ανθεστήρια
anomodontia	ανομοδόντια
angustidens	αυγουστίδης
anglosaxony	αγγλοσάξονα
anfitheatro	αμφιθέατρο
andromachus	ανδρομάχης
andamanense	ανταπάντηση
andalusians	ανδαλουσίας
anchisiades	χαρισιάδης
anaximander	αναξίμανδρο
anastasakis	αναστασάκος
anagennisis	αναγέννησις
amfiteatrov	αμφιθέατρο
amerikanska	αμερικάνικα
ambrosianus	αμβροσιανής
amalgamator	αμαλγάματος
almoravides	αλμοραβίδες
alembertian	λαμπερτιανή
alejandrina	αλεξανδρίνα
alcisthenes	κλεισθένης
alberobello	αλμπερομπέλο
akademician	ακαντέμιγια
agorákritos	αγοράκριτος
agoracritos	αγοράκριτος
agiorgitiko	αγιορείτικο
agathocleia	αγαθόκλεια
agathemerus	αγαθήμερος
agatharchus	αγάθαρχος
agapostemon	αποστημάτων
aérostation	προστάτιδων
aeronautico	αεροναυτικό
aeronautice	αεροναυτική
aeroliménas	αερολιμένας
aenigmatica	αινιγματικά
adrianapole	ιντιανάπολη
adramyttium	αδραμυττίου
adramyttion	αδραμυττίου
actinologia	ακτινολογία
acropolites	ακροπολίτης
acherousios	χερουβικός
abouguendia	βουργουνδία
abbandonato	μπαντουντάτο
ὀdysseús	δυσσέας
θne	νε
η-allene	παλλήνη
ἀléxandros	αλεξάνδρος
ˁabdu	αβδού
ʿesato	σατό
ʿarabi	ραβί
ʾdr	δρ
ʾāmana	μανά
ʾal	αλ
ʾalif	σαλίφ
ʼhoan	χοάν
ƿitena	ιένα
þriðna	ρίνα
þjalfi	άλφι
þiuda	ιούδα
zyz	υζ
zyris	υρίας
zyrianov	συριανό
zypries	κυπρίτης
zypper	υπηρ
zypern	υπηρ
zymen	υμένα
zyman	υσμάν
zyl	υλ
zylstra	υλεστέρα
zylons	υλών
zylka	υλικά
zyliss	υλίς
zykina	κινα
zygos	υγρός
zygon	υγρών
zydon	λυδών
zyb	υβ
zyberk	μπερκ
zyberi	μπέρι
zybach	μπάχ
zxpand	παντ
zwicka	ζίκα
zwerling	έρλινγκ
zwerin	έριν
zwemer	έμερ
zweden	εδέν
zwarte	άρτη
zwanenberg	τάνενμπεργκ
zvolen	ὅλην
zvezda	ζέζα
zvanka	άνκα
zvani	ζανίν
zuzana	ζανα
zuylen	υλέν
zützen	τζην
zutto	λύττο
zutra	λύτρα
zusak	ουσάκ
zür	ζρ
zurita	ρίτα
zürich	ριχ
zurich	ριχ
züricher	ρίχτερ
zurara	ράρα
zupas	γύπας
zuolin	ολίν
zunino	νινό
zungo	ούγκο
zunes	βύνης
zündel	ντελ
zundel	ντελ
zunda	ξύνδα
zumstein	μαστέιν
zumoto	μότο
zumbo	τύμβο
zumbiel	ουμβριήλ
zumbach	ρούμπαχ
zumate	μάτε
zuman	ουμάν
zumaia	μαία
zulma	ούλμα
zulily	λίλυ
zulian	λιάν
zulema	λήμα
zuleika	σουλέικα
zuleide	ευκλείδη
zukin	ουκίν
zuker	ούκερ
zuist	ουίστ
zuiko	μυικό
zuiker	ίκερ
zuidas	ίδας
zugram	γραμ
zuglio	ύλιο
zugelder	γκέλντερ
zuercher	μπέρχερ
zudora	δόρα
zuchoski	χόσκιν
zucholin	χόλινς
zubler	μπλερ
zubiza	βίζα
zubiri	μπίρι
zubin	ύβριν
zubes	ύβρης
zübert	βερτ
zubero	βέρο
zuberi	μπέρι
zubefinden	ζουμπεϊντέ
zubeen	βέεν
zubea	ουβέα
zubara	μπάρα
zubani	βάνι
zubair	μπαιρ
zuata	ύδατά
zuari	ουάρι
zuanne	άννε
zuanga	αγκά
ztolp	τουλπ
zta	τα
zshell	σελλ
zseliz	ελίζ
zselic	σέλι
zsazsa	σάσα
zsajka	σακά
zrt	ρτ
zrinskis	ζρίνσκι
zrinjski	ζρίνσκι
zraly	ράιλυ
zprime	ριμέ
z-plan	πλαν
zozula	ουλα
zoysia	οσία
zox	οξ
zouks	φουκς
zouerate	μουράτη
zouche	οχε
zoucheng	μπουχέν
zoubi	ουΐβι
zoubeir	ουβερτίρ
zouar	τουάρ
zouart	ουάτ
zottola	φρόττολα
zotti	τόττι
zotom	οθωμ
zotob	οκτώβ
zotepine	φωτεινή
zosimus	όψιμους
zosen	πόσην
zosel	κόσελ
zoscales	ροσάλες
zor	ώρ
zorzo	ορίζω
zorzi	ζόρζι
zorzin	όριν
zorzal	οζάλ
zorya	όρυγα
zorus	ὄρους
zorros	ωρος
zorra	βορρά
zoromski	ζορόσκι
zoroasters	ζωροάστρης
zorns	όρνις
zorki	όρκοι
zorita	ρίτα
zoril	οριόλ
zorik	μπόρικ
zorig	οράιγ
zorich	ριχ
zorica	ὅρια
zords	ορδάς
zorbo	κόρβο
zorba	ζορμπά
zo-ran	ώραν
zorander	ράντερς
zoram	όραμά
zoramite	μωραϊτη
zorak	λόρακ
zoraide	ορφανίδη
zop	όπ
zoppo	πόππο
zoppi	κόππι
zopher	όπερ
zopfli	ζολί
zootaxa	ομοταξία
zooropa	ομόρροπα
zooras	οράς
zoopla	οπλα
zoomlion	ομιλιών
zoomer	ομέρ
zoomdata	ονοματα
zooma	ονομα
zoomar	ομάρ
zooman	ομάν
zoolites	οπλίτης
zooline	ορόκλινη
zoole	ουόλε
zoola	όσολα
zonzon	όζον
zontar	όναρ
zonks	τονκς
zonko	ρόνκο
zonker	ονέρ
zonkers	γιόνκερς
zongyi	όγκι
zongxi	όγκι
zongnan	μπόγκνταν
zongmi	όγκι
zongli	όγκι
zongji	όγκι
zonget	γγετ
zonga	κόγκα
zoneshio	ονήσιλο
zoners	όνης
zonen	όντεν
zonds	ποντς
zondek	ντεκ
zonday	όντυ
zonchi	οχι
zonana	νανὰ
zonama	ναμα
zom	ωμ
zompos	οπως
zomira	μιρά
zomia	όμοιά
zomby	λόμπυ
zombodze	πομπώδη
zombis	όμπι
zombiai	ομπέλιαϊ
zomba	ζόμπα
zolti	σόλτι
zolta	βολτα
zolotoi	θολωτοί
zoloft	όλοφ
zollo	πολλώ
zolle	κόλλε
zolla	ούλλα
zollars	κολλάρος
zolee	ωλένη
zolar	πόλαρ
zolak	πόλακ
zokei	όκλεϊ
zokar	οσκάρ
zoi	οἵ
zoilus	ιλύς
zoilo	κοίλο
zoila	κοίλα
zoiks	οίκος
zoige	ολίγη
zohre	ωχρή
zohra	ώχρα
zohran	ώραν
zograf	γραφ
zogota	γκότα
zoglo	ογλού
zoglin	γκλιν
zogge	ωγύγη
zogde	ογδόη
zogbia	όγια
zof	ωφ
zofran	φραν
zofingia	κοφίνια
zofia	λοφία
zoetis	ήτις
zoelle	ελλη
zoelen	έλεν
zoega	ωμέγα
zod	οδ
zocchi	οχι
zob	οβ
zoboi	λοβοί
zobel	λόβελ
zobeir	όβερ
zobda	οβίδα
zobas	νόβας
zoa	όα
zoarites	αγρίτης
zoara	ωάρια
znorić	νόρι
znojmo	νομο
znf	νφ
znanie	νάνι
znamya	ναμα
znamensk	ράμενσκ
znaki	ναόκι
znaimer	ντάιμλερ
zmuda	μύδια
zmorge	οργή
zmirak	ιράκ
zmetie	μετέ
zluky	λούκυ
zło	ζω
zlomke	λόκε
zlokić	λόκι
zloba	λόβατ
zli	λί
zlivka	λίκα
zliten	ίτεν
zlenko	λένο
zlatne	λάνε
zlatitsa	ατσίτσα
zlatarov	λάτζαρο
zlataritsa	πλατανίτσα
zkt	κτ
zki	κι΄
ziz	ιζ
zizina	ζίνα
zizhou	ίζου
zizers	ιζέρ
zizen	μπιζέν
zizek	ιζεκά
zizang	ζαγκ
zizak	ιτζάκ
zix	ιξ
zitta	κίττα
zitro	ιατρό
zitronen	σιτροέν
zitronella	πετρονέλλα
zitone	τώνη
zitan	είταν
zistel	στηλ
zissu	ισσού
zisse	βίσση
zisling	κίσλινγκ
ziskrout	σκρουτζ
ziska	ρίσκα
ziser	τίσερ
ziron	αίρων
zirid	ίριδα
zirbi	κίρμπι
zirato	ράτο
zirara	ράρα
zipser	ιπέρ
zippor	ίππο
zippe	ιππής
zipoetes	ποιητὴς
zipner	ίνερ
zipes	ιππής
zipatoni	πλατώνι
zipani	πανί
zipang	παγκ
zions	ίωνες
zinter	ίνερ
zinser	ίνερ
zinobia	κοινόβια
zinno	ίνγκο
zinni	ίνγκι
zinna	ίνγκα
zinkil	ικιλ
ziniu	ινίου
zinin	ίνιντ
zingst	γγστ
zingaran	τίγκραν
zingales	αγκάλης
zinebi	νέβι
zindata	σιντάρτα
zindagi	ιντζάγκι
zinam	ινάμπ
zinaida	πινακίδα
zim	ιμ
zimra	ίμερα
zimran	ιραν
zimony	ίμον
zimonten	ίμοτζεν
zimmy	τίμμυ
zimler	ιλέρ
zimin	ιμίνη
ziming	μιγκ
zimering	μέρινγκ
zimba	πίμπα
zilzer	ιζέρ
zilver	ιλέρ
zilong	λογκ
zilnon	ινών
zilnic	ζιλί
zilly	βίλλυ
zillu	τιλλύ
zillo	ίλλου
zilli	μπίλλι
zille	λίλλη
zilinsky	ιλίνσκι
žilinská	ιλίνσκι
zilil	έιλιλ
ziliao	λιάο
ziliak	ίλια
zileri	λέρι
zilei	κίλεϊ
zilant	ίλαν
zilal	ιλάλα
zilah	ιλάχ
zik	ικ
zikris	κρίς
zikim	σικίμ
zikas	νικάς
zikai	σικάι
zigzagia	ζιζάνια
žigon	αιγών
zigong	γκογκ
zigliani	βίλιανι
zigler	ιλέρ
zigel	μιγέλ
zigar	ίγκαρ
zigaba	γκαβά
zietil	ιτίλ
ziethe	ήθη
zieten	ίτεν
zieske	εσκή
ziese	πίεσή
ziesar	ισάρ
ziesak	εσακ
zierke	ιερή
zierer	ιερή
zierenberg	νίρενμπεργκ
zierbena	βέρβενα
ziemke	έμκε
ziemer	έμερ
ziemba	έμπα
zielonka	ζιέλονα
zielke	ήλκε
ziele	γιέλε
ziege	διήγε
zieber	έβερ
ziebach	ίτενμπαχ
zid	ιδ΄
zidler	ιλέρ
zider	ίντερ
židan	είδαν
zidan	είδαν
zicker	ίκερ
zichi	τίχι
ziche	ίχνη
zichem	χεμ
zichao	χάο
zicatela	πιατέλα
zibor	άιβορ
zibell	μπελλ
zibechi	ντιβέχι
zibanu	ιβαν
ziatha	ιατα
ziani	γιάνι
ziang	ιάγκο
zialo	γιαλό
ziais	ίασις
zhura	θύρα
zhoushan	ουσχάν
zhouling	κούλιγκ
zhora	θώρα
zhongyan	χόγκαν
zhongwai	χογκάι
zhongsan	χόγκαν
zhongnan	χόγκαν
zhonggou	λόγγγου
zhones	όνης
zholy	χόλυ
zhizni	ζίζι
zhitomir	ζιτόμιρ
zhining	χίντιγκ
zhili	χίλι
zhilin	ίλιν
zhilino	χιλιανό
zhilian	χιλιανά
zhezong	χέρζογκ
zhenzing	χένιγκ
zhenxing	χένιγκ
zhenren	χέντρεν
zhenqing	χένιγκ
zhennian	έννοιαν
zhenlin	χένλαϊν
zhenlan	χένλαϊν
zhenjing	χένιγκ
zhenia	ηνία
zhendong	χέντον
zhenai	έναι
zhelezna	χέλενα
zhatong	χάρτογκ
zharnel	χάρτνελ
zhari	χάρι
zhane	χανέ
zhalta	άλτα
zhala	χάλα
zhaan	χάαν
zguraj	γύρα
zgrass	γκρας
zgoda	γόδας
zgheir	γκέιρ
zghari	γκάρι
zezuru	ευρύ
zezima	ζίμα
zêzere	ζερέ
zexal	έξαλα
zevallos	έξαλλος
zeuxo	ζευξώ
zeuxidas	ευεξίας
zeuthen	ευθείαν
zeuta	εαυτά
zeurah	ευρα
zeuner	ένερ
zeumer	έμερ
zeugnis	ευγενείς
zetzner	μέτζγκερ
zettner	φλέττνερ
zettler	κέττελερ
zetti	μπέττι
zette	μέττε
zetterberg	ζέτερμπεργκ
zettel	έτελ
zetski	εσκί
zetska	εσκα
zetsche	μετέσχε
zetro	ρετρό
zetra	μέτρα
zetor	ρήτωρ
zetlin	έλιν
zethinae	έφθινε
zetas	φέτας
zestiria	εταιρία
zerwas	ήρας
zervos	έρως
zervas	ήρας
zertuche	ευτύχη
zertal	ερτλ
zerries	ερριέτας
zerrenda	μερέντα
zerolo	ρόλο
zernov	έρνο
zernim	ερίμ
zernicke	ζερνίκε
zernez	ενέζ
zermiani	ερμίνια
zerline	γκερλίντε
zerka	βέρκα
zeringue	ερινύες
zerhouni	πηρούνι
zergling	έρλινγκ
zerega	ρήγα
zerdin	έριν
zerbo	έρβιο
zerbib	έρβι
zerang	ραγκ
zeralda	εραλδικά
zeraín	ήραν
zep	επ΄
zepto	λεπτο
zepset	εσετ
zepplin	ζέππελιν
zephon	επον
zephen	επεν
zephan	επαν
zephania	εσπάνια
zepagain	έσπαγαν
zeo	ηο
zenzes	εζεσ
zenzai	έναι
zenzai	έναι
zenyatta	κενυάτα
zentropa	έκτροπα
zentren	τέγκτρεν
zentis	ήτις
zenter	ένερ
zentene	ενέτεινε
zentella	εστέλλα
zenta	ένθα
zenran	ήραν
zenprise	έγκριση
zenor	ένσορ
zenon	λένον
zenodo	έντο
zenodot	ζηνόδοτο
zenobi	νόβι
zenobie	ζηνόβιεφ
zénobe	νόβε
zenobe	νόβε
zenoah	ενοα
zenne	νέννη
zenkl	ένκελ
zenkat	εκατ
zenkai	ε΄και
zenit	εντίτ
zenica	ηνία
zeniba	νίβα
zengi	εγκίρ
z-engine	ρεγκίνε
zengbo	έγκο
zeners	ένες
zenel	πένελ
zeneida	ενδηίδας
zenea	ένεκα
zendry	έντυ
zendrini	ντρίγκι
zendesk	τεντέσκο
zendejas	ένδειας
zenawi	έναι
zemun	ήμουν
zempter	ημίπτερα
zempel	επελ
zemmer	έμερ
zemli	εμιλί
zemliansky	τσεμλίνσκυ
zemla	έμπλα
zemiri	εμιρ
zemganno	ερμάννο
zemes	εμέρς
zemestan	ήμασταν
zement	έμετ
zemel	μέμελ
zemeckis	ζεμέκις
zemanit	νεμάνιτς
zemail	μαιλ
zel	έλ
zelzer	έλζε
zelzal	έλζα
zelzah	έλζα
zelvia	ηλια
zelus	έλους
zelpha	ελπα
zelma	τέλμα
zells	έλλις
zellik	έλλι
zellig	έλλι
zellerfeld	έλμπερφελντ
zellem	ελλη
zellee	ελλη
zellar	έλλα
zellandine	ελεφαντίνη
zellaf	έλλα
zelko	βέλκο
željka	έλκα
zelili	λιλί
zelikman	πέλικαν
zeliha	ηλια
zeliff	ελίφ
zelica	ηλια
zelgli	έλλι
zeleza	έλζα
železara	ελεάζαρ
zeleny	έλεν
zelem	μπελέμ
zeldin	έλιν
zelden	εδέν
zelazo	λάζο
želary	λάρυ
zelah	ελάχ
zekrom	κρομ
zekley	κλέυ
zekharia	δεκάρια
zeitoun	πείθουν
zeitouni	ζητούνι
zeiten	ίτεν
zeitel	έτελ
zeitels	ημιτελές
zeist	είστε
zeisterbos	δνείστερος
zeiss	έισις
zeisl	έισελ
zeise	είστε
zeiri	λειρί
zeira	εγίρα
zeipel	επελ
zeinab	είνα
zeilinga	δειλινά
zeile	ειλεό
zeila	δειλά
zeilan	ίλαν
zeier	μέιερ
zeien	εἶπεν
zeichner	λέχνερ
zehner	ένερ
zehneria	εναέρια
zehmer	έμερ
zehenden	μπέηντεν
zehden	εδέν
žegra	εγίρα
zegna	έγινα
zeger	μέγερ
zegama	γκάμα
zef	έφ
zefur	εφύρα
zefir	κεφίρ
zeferino	ημερινό
zeesse	έσση
zeese	έφεση
zeena	έλενα
zeelst	ελστ
zeelandt	ζέελαντ
zeegers	εξέγερσή
zeebra	εβρά
zeebo	έφηβο
zeeba	έφηβα
zedong	εδον
zedoaria	δοκάρια
žednik	ενικ
zednik	ενικ
zeder	φέδερ
zederik	εντερικό
zedekiah	σεδεκία
zedeck	εδεκ
zedda	εεδδα
zedar	έδγαρ
zedan	είδαν
zectron	εχθρών
zechs	ἦχος
zechor	χωρ
zecharya	εσχάρα
zeb	ηβ
zebroski	βρόνσκι
zebraman	έβραζαν
zebracon	βράχων
zebon	έιβον
zebio	ηβικό
zebib	εβίβα
zebel	νέβελ
zebee	ήβενη
zebede	εεδε
zebedee	εμπέδηση
zeani	είανι
zeamer	αμερ
zealands	αλιάντς
zeada	εξάδα
zdots	δότες
zdorovenko	ντοροσένκο
z-dike	δικη
zdenko	δεκο
zdeňka	δέκα
zdenka	δέκα
zdenek	ενεκ
zdena	δεινά
zdanskyi	τζάνσκι
zbruch	βρχ
zborov	μπορώ
zboriv	βόρι
zboray	μπόρα
zblorb	μπλορ
zbiroh	μπιρό
zbirka	βίκα
zbaraż	μπάρα
žbanić	βάνι
zazou	ανζού
zazie	αζίνη
zazel	μπάζελ
zazas	μπάζας
zazai	αζαλί
zaysan	ασάν
zayre	άκυρη
zayra	άκυρα
zaydan	αδάν
zax	αξ
zawila	άιλα
zavida	αΐδα
zau	αυ
zaurak	αράκ
zauner	ἀνήρ
zaumel	αμέλ
zauer	άουερ
zauana	άανα
zatyka	άτκα
zattere	κατώτερη
zatsepin	τσέλπιν
zator	κατόρ
zatopeks	ζάτοπεκ
zatoka	τόκα
zatoichi	τοιχίο
zatmenie	ατένιζε
zatko	ράτκο
zatikian	αθίκια
zatelli	μαρτέλλι
zatarain	μπαταράι
zatanna	κατάνγκα
zatae	ατάλη
zas	ασ
zasius	ασίς
zarzis	άρις
zarza	αρζάν
zarzar	αζάρ
zaruma	αϋμα
z-arts	αρτς
zartanah	σαρτανά
zarre	σαρρή
zarnab	αραβ
zarley	αρλέ
zarlenga	μαρέγκα
zarkov	άρκο
žarki	σαρκί
zariski	καρίμσκι
zarins	άρις
zarifi	αρίφ
zarghona	αραγώνα
zargar	άγαρ
zarex	πάρεξ
zaret	άρνετ
zarer	κάρερ
zarem	αρτέμ
zarek	μάρεκ
zared	άρεντ
zareb	νάρεβ
zardu	φαρδύ
zardo	άραδο
zardis	άρις
zardari	ζαρντάρι
zarco	άρχω
zarchy	αρχ
zarbah	άρβα
zaratras	αροτράς
zarasai	καρατσάι
zaranj	αράν
zărand	ράντ
zaránd	αρντ
zaramo	ραμώ
zarakzai	μαρακάι
zarakolu	σαράκου
zarai	σαράϊ
zarafiants	σαραφιανός
zarad	άραδο
zapple	απλή
zappi	άππια
zapotecs	απλότης
zapoteco	απόηχο
zapotalito	αποκαλείτο
zápolyas	πολυλάς
zapolska	απόσκια
zaplatin	πλατινί
zapiga	αίγα
zaphon	απόν
zaphod	απόδ
zapatism	άπατρις
zapak	κάπακ
zaoui	τάουι
zaoua	νάουα
zaoral	οράλ
žan	άν
zanzotto	ανώτατο
zanzibaris	ζανζιβάρης
zanto	ανθό
zanthier	ανθηρά
zanten	ατην
zantel	ανέλ
zantees	ανώτερες
zanscare	λάνσαρε
zanra	ἄνδρα
zanqat	ανάτ
zanpa	ανάπα
zanotti	ανώτατοι
zanon	μανόν
zanobius	άνουβις
zannekin	ανήκειν
zannah	αννα
zanmai	αναΐ
zanla	ανάλα
zankov	άνκο
zankou	άκου
zanki	σάνκι
zanjan	ανάν
zanis	τάνις
zaniroli	μπανιόλι
zanin	κάνιν
zaniah	άνια
zangy	μάγκυ
zangulah	αγκύλια
zangthal	αγκάθα
zangief	σανέγιεφ
zangid	άγκι
zangids	αγγλίδες
zanghi	άγκι
zanfield	άνφιλντ
zanes	κάνες
zanen	ανζέν
zand-i	άντι
zandig	άντι
zanderbeek	φάντερμπερκ
zandeh	αντε
zandberg	αντόβερ
zancas	ανάς
zanaros	κανάριος
zanak	νανάκ
žam	άμ
zam	άμ
zamzar	αζάρ
zamzam	αζάμ
zamyn	άμυνα
zamudio	αμύνταιο
zamuchen	αυχένα
zamski	ασκι
zamrak	αράκ
zampelli	ραμέλλι
zampa	αμαπά
zamosc	άμος
zamong	μογγ
zámoly	μόλυ
zamolo	μόλο
zamna	άμυνα
zammit	αμίτ
zamil	άμιελ
zamia	αμιάν
zamet	μάμετ
zames	ραμές
zameen	αμήν
zambu	αμπύς
zambullo	καμπύλο
zambesia	αμνησία
zamberti	αλμπέρτι
zambac	άμπα
zamarron	καμαρών
zamarons	μάρωνας
zamanı	αμάν
zamami	μάμι
zamama	μάμα
zamacona	αμαζόνα
zalpa	σάλπα
zaloo	άλογό
zalom	σαλόμ
zalog	άλογη
zalocostas	ζαλοκώστας
zalmo	μάλμο
zalmi	καλμί
zalmay	αλμα
zallu	αλλου
zalka	βάλκα
zalinski	ιλίνσκι
zalim	αλίμι
žalica	αλία
zalgo	άλγος
zalem	σάλεμ
zalemni	αλεμάνια
zaldapa	αλλοδαπά
zalbki	άλμπι
zalbag	άλμπα
zalaz	αλμάζ
zaladane	λάβδανη
zalaca	αλάα
zak	ακ
zakura	κύρα
zakkour	μακκλούρ
zakki	λακκί
zakkai	κκαι
zakir	ζακίρ
zakia	άκρια
zakher	άκερ
zakhar	ακάρ
zakharia	ζακαρία
zakhara	σάκχαρα
zakath	καθ
zakary	κάρυ
zakaryan	ακαρνάν
zakariya	ζακαρία
zakarine	κάριανη
zakarids	ακρίδες
zakani	κάνι
zajsan	ασάν
zajman	αμάν
zajdel	αδελ
zaısan	ασάν
zairians	καίριας
zaire	μαίρη
zairab	αραβ
zaini	σαΐνι
zaine	μάινε
zaina	άτινα
zaimu	αίμου
zaimov	αίμο
zaimis	άμις
zaillian	λίλλιαν
zailiski	ιλίνσκι
zaiko	ράικο
zaikin	ακίν
zaika	καΐκα
zaifeng	καϊφένγκ
zaide	αϊντέ
zaidao	αιδώ
zaidal	αΐδα
zaichun	αισχύνη
zaibach	μάιμπαχ
zaiat	αγιάτ
zaian	αμιάν
zahur	αθύρ
zahri	άχρι
zahren	αρεν
zahran	αράν
zahor	αθώρ
zahner	ἀνήρ
zahle	αχλή
zahlen	αλεν
zahira	άιρα
zahida	αΐδα
zaharia	σαχάρια
zahamena	χαμένα
zagreb	γκρεβ
zagrab	αραβ
zagor	ἀγορᾷ
zagipa	αγιά
zaghouin	άνγουιν
zager	αγέρι
zagen	αγενή
zagat	αγκάτ
zagats	γκατς
zagars	γκαρς
žagare	γκαρή
žagarė	άγαρ
zagarese	αγάπησέ
zagao	αγάλω
zagan	αγιάν
zaganus	αφγανούς
zagam	άγαμη
zagal	αγάλω
zafir	καφίρ
zafira	άιρα
zaffrani	σαφράνι
zaffar	αφάρ
zafer	άλφερ
zafeirakis	ζαφειράκης
zafarani	φαραγγι
zaetta	ήττα
zaeske	εσκή
zaero	αέρος
zaelis	ήλις
zaedno	αέδο
zadrani	αδρανείς
zador	άντορ
zadok	σαδώκ
zadokite	αδόκιμη
zadoi	άδωνι
zadko	άδικο
zadir	ναδίρ
zadipranta	αδιαπέρατα
zadik	αδική
zadig	αδίγη
zadie	αδική
zader	αντέρ
zacuto	αὐτῷ
zacron	άρων
zacour	άουρ
zachs	αχσά
zachow	άχο
zachmann	αχανών
zachlumian	ζαχλουμία
zachi	άχτι
zachariä	μπαχάρι
zacchini	ταχίνι
zacaria	σαχάρια
zabyan	αβάν
zabuza	βύζα
zabrze	αβρέ
zabrozi	αμπρόζιο
zabreg	αβρέ
zabrđe	αβρέ
zabrag	άβρα
zabou	σάβου
zabol	άβολα
zable	άβολη
zablan	μπλαν
žabka	άβακα
zabka	άβακα
žabkar	ακάρ
zabit	άβιτο
zabil	κάβιλ
zabid	δαβίδ
zabibe	βιβή
zabeth	μπεθ
zaber	ξάβερ
zabergan	μπέργμαν
zabell	μπελλ
zabele	βέλε
zabda	λάβδα
zabbai	αβαΐ
zabar	άιβαρ
zábalo	βάλω
zabad	αβάντ
zababa	μπάβα
zaaren	αρεν
zaara	αμάρα
yze	ζε
ýyl	υλ
yxnes	ξυνής
yvy	υυ
yvelines	πήλινες
yuzaki	ζακί
yuting	τιγκ
yutian	τιαν
yuthok	θοκ
yutas	αυτάς
yutar	ουτάρ
yutaro	ταρό
yutani	τάνι
yutang	ταγκ
yutaka	τάκα
yutai	αυταί
yuste	μύστη
yustas	στας
yusoki	σόκι
yusen	τύσεν
yurong	ρογκ
yuroks	ροκς
yurko	κύρκο
yurka	ούρκα
yurin	ύβριν
yurena	ρένα
yuping	πιγκ
yupia	ύπτια
yupian	πιαν
yunona	νονά
yunomine	ντόμινε
yuning	νιγκ
yunian	νιαν
yungst	γγστ
yunga	λύγκα
yunel	ουνέλ
yundi	ούντι
yunda	ξύνδα
yundao	ντάο
yunas	ούνας
yunani	νάνι
yumura	μύρα
yumoto	μότο
yuming	μιγκ
yumiko	μίκο
yumika	μίκα
yumeno	μένο
yúmare	μαρέ
yuman	ουμάν
yumans	μανς
yulon	φύλων
yulong	λογκ
yulita	λιτά
yuling	λίγκ
yulian	λιάν
yuleba	λέβα
yulara	λάρα
yulan	ουλάν
yukou	σύκου
yukos	λύκος
yukope	κοπε
yukon	λύκον
yukoners	κόρνερς
yukito	κίτο
yukio	λύκιο
yukimura	κιμούρα
yukimi	κίμι
yukiko	κίκο
yukich	κιχ
yukian	κιαν
yukana	κανα
yukaba	κάβα
yukaba	κάβα
yui	υι
yūgure	γύρη
yugria	γριά
yugos	ούγος
yugori	γκόρι
yūgiri	γίρι
yuganda	ουγκάντα
yugala	γκάλα
yuese	μύησε
yueren	έρεν
yuelin	έλιν
yuele	ουέλε
yueban	έβαν
yudoma	δώμα
yuden	ουδέν
yudelson	ντέλσον
yuchis	χις
yucha	ούχα
yuchasin	χασίνα
yuchai	χαι
yubis	ύβρις
yubin	ύβριν
yubaba	μπάβα
yuanzi	ανζί
yuanrang	αντράγκ
yuande	αντε
yuanda	άντα
ytv	υτ
ytree	τρελή
yto	το
ytong	τονγκ
yterce	τερέ
ystradau	στράντα
ystad	σταντ
ystads	στας
yssel	σεσέλ
ysopete	σκοπετέα
ysobel	σοβέ
ysleta	λέτα
yslas	σέλας
yseult	σελτ
ysengrin	εγκρίνω
ysd	σδ
ysatis	στίς
ysanne	άννε
ysabele	σκαρβέλη
yrvind	ριντ
yrisch	ριχ
yriarte	ουριάρτε
ypi	πι
ypiranga	παράγκα
yoz	όζ
yozora	ζόρα
yozma	οζμαν
yozis	οζίας
yozel	μοζέλ
yozei	σώζει
yoyes	οξυές
yox	οξ
yowaka	οακα
youyan	ουάν
youxi	ρούξι
youwen	ουέν
youtz	λουτζ
youtoo	οὕτω
youssouf	ρούσσου
yousri	ούρι
yousra	ουρά
yousaf	ούσα
yousafzais	γιουσαφζάι
yousafi	μουσταφί
youpon	οπών
yount	ουνστ
younts	ουτς
youns	λουνς
youngson	πόγκσον
youngren	μόγκρεν
youngkio	ουγγιών
youngkin	ουγγιών
younesi	κουνήσει
youmi	μπούμι
youmex	ουμε
youloumain	κολουμπαϊν
youliu	ούλι
youliang	γκούλαγκ
youki	κουκί
youkhana	τουκάνα
youke	φουκέ
youhei	ουέι
yougov	ούγο
youette	σουζέττε
youenn	ουέν
youell	ουέλ
youdi	γουδί
youcat	ουάτ
youcai	ουαι
youatt	ουάτ
youart	ουάτ
you-an	ουάν
yot	ωτ
yotoku	ότου
yotes	νότης
yoter	όλτερ
yotek	τότεκ
yotaro	ταρό
yotam	νοταμ
yosui	οσουί
yossi	ρόσσι
yosri	όσρικ
yosko	ρόσκο
yoshio	όσιο
yoshin	οσίν
yoshafat	ιωσαφάτ
yoseph	οσεπ
yoseikan	οσετικά
yosegaki	σεγιάκι
yoseftal	τοσεφτά
yosami	σάμι
yorozu	ορού
yorok	ορλόκ
yoroku	ορού
yorktown	ορκωτών
yorks	ρορκς
yorkina	μπουρκινα
yorke	ωρική
yorkey	οκέυ
yorito	όιτο
yorisada	ορμίσδα
yorinobu	ορεινού
yorim	ώριμη
yorgi	όργιο
yorga	όρυγα
yordi	ζόρδι
yorda	κόρδα
yordano	ιορδανών
