zya	زيا
sitankan	تانكيان
sisya	إسكيا
sistol	إستل
sistiana	إسطوانة
sistel	إستل
sistas	ستاس
sissay	إساي
sisley	إسلي
sisler	إسلر
siskia	إسكا
sisir	یشیر
sisin	هـِـسـِّـن
sishun	شُن
sishi	یشیر
sischy	إشي
siscar	إصار
sisavath	إصاباته
sisan	إحسان
sisam	إجسام
sisalana	سالدانا
şir	إر
şirvan	إران
siruma	إرما
sirtle	إرتل
sirsa	إرسال
sirry	إرتري
sirra	إرورا
sirras	إراس
siroza	إرزا
sirona	إرنا
širola	إرلا
sirola	إرلا
șirnea	إرنا
sirnau	إرنا
sirmia	إرما
sirmans	إيرماناس
sirkwa	ركوة
sirjan	إران
sirina	إِنَّ
sirima	إِما
siriad	ریاض
sircam	إرَم
sirak	إدراك
sirai	ایرانی
siraf	إطراف
siptah	پتاح
sioras	إراس
sionna	إنّنا
sioban	إبّان
sintow	إنتو
sintia	إنتا
sintel	إنتل
sinstadt	نوستادت
sinova	سِنة
sinnar	إنّنا
sinnai	إنّنا
sinkey	إنكي
sinkel	إنكل
sinkai	إنكا
sinjin	إنجن
sinistar	إنشطار
sinisa	إنسى
singstat	إنستانت
singhm	نغم
singhi	إنغ
singhana	إغوانة
singhala	إغوالا
sinety	إنتي
sinestry	إندستري
sinds	إندكس
sindri	إندر
sindor	إندر
sindi	عِندِ
sindikat	عِنْدِكَ
sindia	إندا
sindh.	إنده
sindal	ندال
sincks	إنكس
sinate	إنات
şinasi	إناس
sinar	إنهار
sinan	سِنّاً
sínand	ناند
sinajana	إنتاجاً
sinai	ینایر
sinais	إناس
sinaia	إنَّا
sinaht	ناحت
sinaga	إنَّا
sinaan	إنَّا
sinaai	إنَّا
simta	إمطار
simsky	مسكي
simsa	إمساك
simont	إمنت
simmba	إمبا
simmas	مماس
simlai	إملأ
simkin	یمكن
simkha	مخا
simka	إمكان
simitli	بِمِثْلِ
simhat	محاطٌ
simhar	مهار
simham	محام
simbad	إباض
simas	إيماس
simard	مارد
simarc	إمار
siman	بِمَنْ
simant	إمنت
simak	إمامك
simaga	إمَّا
simaetha	إماثيا
silwan	لوان
silsilat	الصِلات
silsby	لصبي
siloam	إلام
silmi	عِلْمِ
silliman	للإيمان
silley	إللي
sillas	للأس
sillan	للأن
sillac	إللا
silki	إليكِ
silkar	إلكا
silja	إليجا
siljan	لجان
silizium	إیلیزیم
silgan	إلاً
sildre	إلدر
silda	إيلدا
silby	إلبيو
silber	إلبر
silawa	لاوى
silas	إيلاس
silar	إلارا
silang	إلاً
silangan	لانغان
silame	إلام
silal	إعلال
silahtar	لاحتقار
šik	یک
sikth	إخذ
siksha	كشا
sikma	إكمان
sikima	إِما
sikhwaji	إخراجِ
sikhs	إختص
sikhet	إخت
sikha	إيخا
sikdar	كضار
sikand	كاند
sikandar	إسكندار
sikameya	إكرامية
sijil	ســِـجــِـل
sijan	إيجان
sijam	إحجام
sihanaka	هاناوكا
siham	إفهام
sihah	إلحاح
sigrid	یرید
signat	إنات
sigmar	إمار
sigita	گیتا
sigala	إالى
sifar	إفارت
sienta	إنتا
sieghart	إغارات
šid	إد
sidyma	ديما
sidwaya	إزدواجية
siduna	إدنا
sidsel	إدسل
sidora	إدرة
sidlakan	إدراكاً
sidini	إِنِ
sidhwa	ضحوا
sidha	إضحاك
sidell	إدلل
siddar	إدار
sidari	دارِ
sidani	إدان
sidang	إدان
sidamo	إدام
sidal	إبدال
sidak	إدارك
sidae	سيِّدة
sibuan	إبّان
sibta	إبطاء
sibson	إبسن
sibret	إبرت
sibnia	إبنا
sibley	إبلي
sibler	إبلر
sibini	إِنِ
sibila	بِلا
sibert	إبرت
sibela	إبلا
sibal	إبدال
sibaltan	بالكتان
siayan	آيان
siawan	آوان
siata	إناطة
siasi	سیاسی
siary	إساري
siani	ایرانی
siana	إلانا
siamsa	أمسى
siamea	سامّة
siambr	آمبر
siamak	أماك
sialis	الإس
sialia	إالى
siaka	إنَّكَ
siakam	اكام
siaan	إبَّان
shyri	غيرِ
shyris	هریس
shymkent	شيمكنت
shyiks	هيكس
shyian	هيان
shyami	هيام
shweta	حوتة
shvarn	هارن
shuʿba	حُبَّ
shuya	هُيام
shuyan	هيان
shuyak	حياك
shust	حُصرت
shurz	هُرمز
shury	حُرية
shuru	حُرُمٌ
shurstad	هارستاد
shurland	هيرلاند
shuri	حُرِم
shurer	حُرر
shurba	حربة
shurai	حُرة
shuqun	حُقن
shuqin	حُقن
shuqba	حقبة
shunza	هُنَّ
shunk	هُناكـ
shungo	شُن
shunda	هندة
shumou	هُمُ
shumka	هُما
shumi	حُمِل
shultz	حُلّت
shults	حُلّت
shulte	حُلّت
shull	حُلول
shuley	حُلي
shulba	حلبة
shukyu	حُكي
shukr	ذُكر
shukla	حُلَّ
shuki	حُكِم
shukh	حُكمه
shujah	هجاه
shuhda	هُدى
shuhba	حُبَّ
shufu	شرفُ
shuff	خُفف
shudi	حُدِّد
shudha	حدها
shudan	حداً
shubur	حُبُّ
shubra	حبرا
shubny	حبني
shubna	حبنا
shubho	حُبّه
shubha	حبّها
shubao	حُبَّ
shubad	حباد
shuart	حارت
shuara	حـارة
shuan	حُباً
shturm	حُرّم
shtart	تارت
shtamë	حطام
shryne	حرين
shryff	حريف
shruta	هرتا
shrum	حُرُمٌ
shrubb	حُبب
shriya	هِيَ
shrim	حُرِم
shreya	حرّية
shrestha	فهرستها
shrdak	رضاك
shrava	حرَّة
shrake	حراك
shraga	حرَّة
shradh	حاده
shōzan	حزان
shozan	حزان
showan	هوان
shotland	شتلاند
shosky	هسكي
shorys	حريس
shortz	هرتز
shorta	هرتا
shorland	هيرلاند
shoran	هران
shoqan	حقّاً
shontz	هنتز
shonda	هندة
shōnan	هنان
shonan	هنان
shoman	همان
shomal	همال
sholan	حلان
sholam	هلام
sholak	هلاك
shokra	حكرًا
shobna	حبنا
shobha	حبّها
shoban	حبان
shobab	حباب
shoard	هارد
shoara	حـارة
shnurr	حُرر
shmura	مُرة
shmuly	حُلي
shmona	همنا
shmida	حِدة
shmesh	همش
shmari	مَرِّ
shmalz	هالز
shlema	هلما
shlain	حلان
shlaim	هلام
shk	حك
shklar	كلار
shkand	كاند
shiyao	هِيَ
shiyan	إيان
shiwan	إوان
shiwah	حواه
shisun	حِسن
shishman	إسهاماً
shiryu	حِرُ
shirys	إريس
shirwa	حروة
shirtz	هرتز
shirta	إرتا
shirou	حِرُ
shirly	إرلي
shirland	هيرلاند
shirky	إركي
shira	هِجرة
shirazis	شیرازی
shirat	حرات
shiras	إراس
shiran	إران
shirak	حراك
shioya	هِيَ
shioda	حِدة
shinya	إنيا
shinwa	إنوا
shinra	هنرى
shinkman	إنكرمان
shinka	إنكا
shindō	هِنْدٍ
shinde	هِنْدٍ
shinawatra	شيناواترا
shinas	إناس
shinan	هنان
shimpa	حِمى
shimna	همنا
shimla	إملأ
shimea	حِمى
shimas	حماص
shimao	حِمى
shiman	همان
shimai	حِمى
shilu	شمیل
shilla	إللا
shilka	إلكا
shilha	إلهة
shilah	إلٰه
shikwa	إكوا
shikma	حكمًا
shikha	حكها
shika	حِكَم
shikak	حكاك
shiina	إِنَّ
shihab	إهاب
shifra	إفرا
shider	حیدر
shidea	حِدة
shidanta	إدانتها
shibly	إبلي
shibar	هبار
shiban	إبّان
shibal	حبال
shiat	حیاته
shiar	حِصار
shiant	هانت
shiah	حیاته
shfela	حفلة
sheyna	هينا
sheyla	هيلا
sheya	هئية
shewan	هوان
shetan	هتان
shetak	هتاك
shesha	هشة
sheryn	حرين
sherts	هرتس
shermy	هرمي
sherma	هرمة
shermann	حرماناً
sherland	هيرلاند
sherkhan	شرخاً
sherfy	هرفي
sherby	حربي
sherba	حربة
sheratan	غراتان
sherar	حرار
sherarda	شراردة
sheran	هران
sheram	حرام
sherak	حراك
sherab	هراب
shenwa	حنوة
shenna	حننا
shèng	شنغ
shendl	هندل
shenda	هندة
shemya	حميّة
shemshad	شمشاد
shemma	حممة
shemar	حمار
shemarya	غمارية
sheman	همان
shemakha	شماخة
shelta	حلتا
shelstad	هيلستاد
shella	هللة
shelha	حلّها
shelby	حلبي
shelat	حلات
shefar	حفار
shedyt	حضيت
shebna	حبنا
shebib	حبیب‌
shebat	هباط
shebaa	حبَّة
sheary	هاري
shearn	هارن
sheard	هارد
sheara	حـارة
she-al	سهَّل
shealy	هالي
sheads	هادس
shazia	حازة
shazer	حَظر
shaytown	هايتيون
shayon	هاين
shayol	هايل
shayok	حايك
shayni	حينِ
shayne	هاين
shayi	هَيِّنٌ
shaye	هائم
shayegan	هائلاً
shayad	آياد
shawon	هاون
shawno	هاون
shawne	هاون
shawki	هاوك
shawiana	شعوانة
shawanda	هولاندا
shawanaw	شاوانو
shavah	هَاهْ
shauli	حالِ
shaula	اُلة
shaugh	هاغ
shatt	حافطت
shats	هانتس
shatsk	هاسك
shatoy	هاتي
shatin	هاتِ
shatby	حابي
shatakam	أتاكاما
shatai	هاتِ
shastrarth	استمراريته
shastina	خاصتنا
shassi	حاسس
shashtri	شاشتر
shasho	هاش
shashe	هاش
shashamane	غاتشامان
sharyō	هاري
sharyo	هاري
sharva	حـارة
shartash	ارتعاش
sharr	هارير
sharow	هارو
sharot	حارت
sharof	هارف
sharmila	حامِلاً
sharkian	خاکیان
shariq	حارق
sharim	حارم
sharih	حاره
sharīf	هارف
sharīa	حـارة
sharfu	هارف
sharey	هاري
sharem	حارم
shardana	هاريانا
sharawan	حمراوان
sharav	حـارة
sharapan	هارابان
sharanas	أرانساس
sharah	أراح
sharaf	حراف
sharafat	خرافات
sharaabi	شَرَابٌ
shaqra	أقرا
shaqiu	حَقُّ
shaqab	حَقًّا
shapsh	هاش
shaoyang	هايانغ
shaoshan	حاشداً
shaodi	حَدِّ
shanzu	هانز
shanyuan	ثانياً
shanwang	هانومان
shantwon	هانستون
shanto	هانت
shanté	هانت
shante	هانت
shantala	انتحالا
shansi	هانس
shanqi	حانق
shann	هانكن
shanku	هانك
shankley	شانكلي
shanid	هاند
shania	حانة
shanhe	هانه
shangy	هاني
shanghua	غانغا
shanga	حانة
shangana	هاغانا
shane	حانە
shaney	هاني
shanet	هانت
shanes	هانس
shands	أندس
shandi	حَدِّ
shandera	شاندرا
shanahan	غاناها
shamu	حَمْضُ
shamso	حامس
shamsi	حامس
shamsher	هامبشر
shamshakan	المشاركان
shamos	حامس
shamon	هامن
shamni	أمنِ
shamma	اممى
shamlu	حالُ
shamkani	المكانِ
shamis	حامس
shamin	امین
shamia	هاما
shamet	حامت
shamer	هامر
shamberg	هامبرغ
shamakhi	هامباخ
shamakha	المَخا
shamaiya	هارمايا
shalva	حالّة
shaluf	هالف
shalor	هالر
shalon	هالن
shalli	حالِ
shalimar	الإمارة
shalhi	حالِ
shalgi	حالِ
shalford	هالفورد
shalet	حالت
shalës	هالس
shaler	هالر
shalen	هالن
shaleh	هاله
shalag	حالّة
shakur	هاكر
shakuntala	شاكونتالا
shakua	حاكة
shakstad	هارستاد
shakrain	ذاكراً
shakka	حاكة
shaki	حاكِم
shakiyla	وَكِيلًا
shakir	هاكر
shakil	هاكل
shakhray	أخرىين
shakho	هاخ
shakhi	هاخ
shakhe	هاخ
shakea	حاكة
shaitana	شاتانا
shaish	هاش
shain	حَسِّن
shainman	هانيمان
shaim	حاكِم
shaiba	حَبًّا
shahzadi	شاهزاد
shahwana	اخوانى
shahryar	شهريار
shahrukh	شاهرخ
shahrokh	شاهرخ
shahriar	شهریار
shahrdad	شهرداد
shahrani	شاهراً
shahrain	شاهراً
shahn	شاحن
shahk	شاحك
shahiya	خَشِيَ
shahidan	حاشداً
shahd	شاهدٌ
shahanga	هاغانا
shahanam	هاغانا
shagya	حَيًّا
shagwa	هاوى
shagrath	حواراته
shafto	حافط
shafi	حافةِ
shafir	هافر
shafia	حافّة
shaffy	حافي
shafer	هافر
shafaqat	اتفاقات
shaer	حائر
shael	حائل
shadis	هادس
shadie	حَدِّ
shadid	حَدِّ
shadia	حادّة
shadhi	حَدِّ
shaden	هادن
shadel	هاضل
shadeans	هادئاً
shadds	هادس
shaday	اداي
shabur	هابر
shabir	هابر
shabhash	حبتهاش
shabd	هابرد
shabba	حَبًّا
shabbath	حبيباته
shabaash	أبالاش
shaaw	هاناو
shaastra	الأسترة
shaaray	هاتاراكي
shaan	حادّاً
shaam	هالام
shaami	أَمِ
shaal	هاسال
shaadi	حَدِّ
shaab	هَابل
sgarlata	أرلاتية
sftran	تران
sfpark	پارك
sforza	فرزة
sfinks	إنكس
sfarti	فارت
sfarmă	فارم
sfarim	فارم
sfakia	فاكا
səraya	رايا
sezawa	زاوا
sezana	ظانة
seyran	يران
seyhan	يهان
sewart	وارت
settra	تطرأ
settar	تتار
sethna	ثنى
setana	تانة
sestak	ستاك
sesmat	سماتٍ
seskar	سكار
seshin	شِن
seshayya	شَيْئًا
seshat	شات
seshan	شأنٌ
sesban	سباً
sesana	سانى
serwar	روار
sertab	رتَّب
sersland	ريسلاند
serman	رمان
sermak	رماك
serkland	روكلاند
serkan	ركان
serhat	رهاط
serhan	رهان
serhal	رحال
șerban	ربَّن
şerban	ربَّن
serban	ربَّن
seraya	رايا
serama	رامَ
seqaya	قايا
senzar	نزار
senwar	نوار
sentra	نطرة
senjak	نجاك
sendra	ندرةً
sendha	نضحة
senaya	نايا
senaty	ناتي
senats	ناتس
senath	ناث
sénart	نارت
senart	نارت
senara	نارى
senana	نانا
senakw	ناكو
senaka	ناكا
senaja	ناجى
senada	نادى
semyaz	ميَّز
semsar	مسار
semrad	مـراد
semnan	منان
semnal	منال
semirara	مِراراً
sembra	مبرة
semawa	ماوة
sematary	ماتزاري
sémard	مارد
semara	مارًا
semarang	مارانغ
semans	مانس
semakh	ماخ
semaan	ماأن
selwyn	لوين
selway	لواي
seltmann	ليتمانن
selmar	لمار
selman	لمان
sellis	للإس
sellin	للإن
seljan	لجان
seljak	لجاك
selina	لإنَّ
selima	لِما
selattyn	بلاطتين
selank	لأنك
selams	لامس
selama	لامة
sekula	كُلَّ
sekban	كبان
sekaya	كايا
sekara	كارا
sekani	کانی
sejats	جاتس
seirawan	إيراوان
seins	سِنسي
seijas	إجاص
seiban	إبّان
sehwan	هوان
sehara	حـارة
seghir	غیر
seghal	غال
sefard	فارد
sedway	دواي
sedwards	إدواردس
sedrak	دراك
sedala	دالا
sedaka	داكا
seblat	بلاط
sebkra	بكرة
sebkha	بخة
sebjak	بجاك
sebhat	بهات
sebbar	ببار
sebayt	بَيْتٍ
sebald	بالد
sebagh	باغٍ
seawth	أوث
seathl	أثل
seasta	أستا
seasat	أسأت
searbhan	أرباحاً
searah	أراح
seanna	أننى
seanan	أناً
sealyham	الإيهام
sealts	التس
sealth	الذ
seally	اللي
sealladh	القلاده
sealab	الاب
seafar	أفار
séadna	أضنة
seadna	أضنة
seabra	ابرا
seabat	آباط
seaakara	أَنْكَرَ
sdobba	دببة
ṣdn	ضن
sdj	ضج
scytha	يطهى
scyras	يرأس
scylla	يللا
scryfa	ريفا
scryed	رئد
sclayn	لأين
sciras	إراس
scilly	إللي
scilla	إللا
schwyz	هويز
schwaz	حواز
schwartz	شوارتز
schwarts	شوارتس
schwan	هوان
schwantz	شوانتز
schwanda	هولاندا
schwam	هوام
schurr	حُرر
schult	حُلّت
schuf	شُفي
schubb	حُبب
schram	حرام
schrad	حراض
schrab	هراب
schraa	حرَّة
schmid	حمید
schmal	همال
schizm	حِزم
schein	شِن
schart	حارت
scharn	هارن
schara	حـارة
schan	چان
schanz	هانز
schank	هانك
schams	حامس
schama	هاما
schalm	حالم
schalk	هالك
schala	حالّة
schady	هادي
schadt	حاضت
schaad	هَادٍ
scawby	اوبي
scatha	آذى
scarth	أرث
scarff	ارفف
scarba	أربى
scanza	أنزا
scanland	انجلاند
scalza	الزى
scalfi	ألفِ
scalfari	الفارسی
scalby	ألبي
scagha	آغا
scadan	آدان
scadanan	آبدانان
sbx	صب
sbrodj	بردج
sboarina	بارسینة
sbk	بك
sbisa	بِصفةٍ
sbikhat	بإتخاذ
sbiba	بإبرة
sberla	سبلة
saʿumu	أُمُّ
sazman-i	الزمانِ
sazköy	ازكي
sazgaran	مازاران
sazan	أنزان
sazanami	الأنامِ
sayyidna	تأييدنا
sayyâr	أيير
sayyar	أيار
sayyad	آياد
sayyab	اياب
sayula	اُلة
sayres	آيرس
sayliyah	الإيضاح
saylis	الإس
sayigh	ايغ
sayful	آيفل
sayfol	آيفل
sayfam	افام
sayes	سائس
sayer	زائر
sayen	بائن
sayem	أئمّة
sayeh	ائحة
sayeds	أيدس
sayearth	أياريث
saydel	أيدل
sayazz	أياز
sayaun	آيان
sayani	أَنِ
sāyana	يانا
sayako	اياك
sayakhat	ايضاحات
saxman	امان
sawulu	أولُ
sawrey	اوري
sawney	أوني
sawley	أولي
sawers	أورس
sawel	أوئل
sawdon	أودن
sawdey	آودي
sawatari	أَثَرِ
sawano	آوان
sawangan	ألواناً
sawamura	اوامرها
sawall	أوال
sawaku	أواك
sawako	أواك
sawaki	أواك
sawad	أكواد
sawāda	أودا
sawabi	أواب
sawaal	أوال
savtah	اتاح
savska	أسكى
savra	أڤرام
savnja	انجا
savila	اِلى
savas	أڤاست
savaskan	الاسكان
savard	أَرض
savan	ايڤان
savani	أَنِ
savana	أَنا
saval	لاڤال
savali	آَلِ
sauzal	ازال
sautoy	أُتي
sautèr	أُطر
sauter	أُطر
sauta	أُعطى
saust	أُسست
saussy	أُسي
sauska	أسكى
sausi	أُسِّس
sauser	اُسر
sausal	أسأل
saurid	أرید
saura	أُسرة
sauras	أراس
saurashtra	مهاراشترا
saurani	الْقُرْآنِ
sauny	أُنيس
saunt	أُنتج
saund	أُسند
saumer	أُمر
saults	التس
saulsaye	السائس
sauli	أُلِّف
saulat	آلات
saukel	أُكل
saukdara	أُخَرَ
sauda	اُدام
saudan	آدان
saubat	آباط
şat	آت
satza	أطرزة
satyri	أطير
satyrane	الطّيران
sat-ya	اتية
saturday	اتردايس
satuq	اتُفق
satuan	أتان
sattwa	تطوى
satschan	أوتشان
satsanga	اتصالنا
satsai	اطسا
satria	أترا
satrae	أترا
satpathy	اتاتشي
satpal	أتال
satoya	اتية
satory	أطري
satnam	آطام
sătmar	تمار
satkhira	سَخِرَ
satkarma	الكارما
satish	أتش
satinath	الإناث
satidama	الإدامة
sathyu	اذي
sathi	أثرِ
sathiyam	أَثِيمٍ
sathit	آذت
sather	آذر
sathaye	الذائد
sathapatha	امتحاناتها
satendra	التندرة
satena	أتنا
satcam	آطام
satavahana	ساتافاهانا
ŝatas	أتياس
satas	أتياس
satanika	التانكا
satanaya	باطنايا
satake	أتاك
sasul	السُل
sastri	اسطر
sasthi	سطحِ
saß	سَ
sasson	أسسن
sassia	أسسا
sasshi	اسسه
sassen	أسسن
sassas	أساسٍ
sassaman	سوسامان
sassal	أسأل
sasoli	أصلِ
sasnuu	أسنُّ
saslow	اسلو
saski	اسمكِ
saskia	أسكى
sasitharan	استثماراً
sasin	السِّنّ
sasima	سیما
sasib	آسیاب
sasia	آسیاب
sashti	شتی
sashia	اصحى
sasel	أسئل
saseka	أسكى
sascha	اصحى
sasak	أساكي
sasakura	اساكورا
sasacawa	أساكاوا
sasabe	اصاب
şar	اّر
sarzae	أرزة
sarysu	أريس
sarykamysh	ساريقاميش
sarygamysh	ساريقاميش
sarwal	روال
sarvas	أراس
sarvajna	أراجونا
sarvahna	ارواحنا
sarukhan	صارخاً
sartre	آرتر
sarti	أردتِ
sartid	أرید
sarthe	أرث
sarskaya	روسكايا
sarsi	فارسی
sarsgyan	پارسيان
sarraz	أراز
sarras	أراس
saroth	أرث
sarosh	ارش
sarony	آرني
sarona	أرنا
saroma	ارما
sarolt	ارلت
saroja	أرجأ
saroff	ارفف
sarnobat	أرنبيات
sarnia	أرنا
sarnga	أرنا
sarney	آرني
sarner	ارنر
sarnau	أرنا
sarnai	أرنا
sarnac	أرنا
sarmin	امین
sarmia	ارما
sarlot	ارلت
sarlls	اللص
sarlin	ألِن
sarla	مارلا
sarlat	آلات
sarki	أراكِ
sarkis	أركس
sarkhosh	أبرخش
sarkes	أركس
sarkel	آركل
sarjuna	يَرْجُونَ
sarjak	اراک
sarıkaya	أركانيا
sariza	أرزة
sarith	أرث
sarita	آرتا
sarisa	أرسا
sariqa	أرقى
sarina	أرنا
sarim	آریما
sarik	باریك
sarika	أركا
saria	آریما
sarian	أران
sariah	أراح
sarhul	أرحل
sargsyan	پارسيان
sargat	أراط
sargatal	كاراتال
sargand	أرغاندا
sarena	أرنا
sarduy	ارضي
sardis	أرضِ
sardinia	الدینیة
sarbi	أربعِ
sarber	آربر
sarbel	أربل
sarazm	آرام
sarayu	أَيُّ
sarayi	أَيِّ
sarau	آراءُ
sarauw	آراو
sărata	راتا
sarasate	ارهاصات
sarare	أرار
sarantis	أورانتس
sarani	أَنِ
sarandoy	ساراندي
saranacs	أرانساس
saralanj	أورالان
saralana	فَالْآنَ
sarakina	ادراكنا
sarakalo	كاراكال
saraj	أدراج
sarajane	أبراجاً
sarai	أراضِ
saraid	أرید
sarahang	أرباحاً
saragat	آراغاتس
saraf	الراف
sarafina	أرافينا
sarafian	أطرافاً
sarafand	أطرافاً
sarachan	أرباحاً
saracena	آرائنا
sarabhai	الرابحة
saqaliba	القالبة
saqafi	اقاف
saptak	أتاك
sapsan	اسان
sapinuwa	آمِنُواْ
sapani	أَنِ
saouma	أُمَّ
saoman	امان
saolim	الإم
sanzu	أنظرُ
sanzia	أنزا
sanzhu	انهُ
sanzhary	الظهاري
sanyahak	اناذاك
sanusiya	أُسْرِيَ
sanur	انظُرْ
santyo	أنتي
santye	أنتي
santro	أنطر
santoy	أنتي
santow	أنتو
santosha	أنتشار
santor	أنطر
santis	انتس
santín	أنتن
santin	أنتن
santim	أنتم
santik	انتِ
šantić	انتِ
santiary	انتحاري
santiana	سانتانا
santes	انتس
santer	أنطر
santen	أنتن
santel	أنتل
santatam	أنتيتام
santao	أنتى
santanni	رانتانن
santanna	آذاننا
santamaría	سانتاماريا
santamaria	سانتاماريا
santalla	انتحالا
santales	أنطابلس
santai	انتِ
sanski	أنكِ
sansi	النصِّ
sanphy	أنهي
sanoyama	وانياما
sanoma	انما
sanoja	انجا
sanni	لاننی
sannidal	آناندال
sannar	انار
sannam	ننام
sanmin	امین
sanmao	انما
sanlam	الأمّ
sankyo	أنكي
sankur	انكر
sankt	انكبت
sankoh	أنكه
sankie	أنكِ
sankhu	انهُ
saṅkha	اخى
sankhayana	انتخابياً
sankey	أنكي
sanker	انكر
sankei	أنكِ
sankassa	انعكاسًا
sankasia	انعكاسًا
sankaram	أَنْكَرَ
sankai	أنكِ
sanjur	انجر
sanjil	انجل
sanjia	انجا
sanjhi	انجح
sanjel	انجل
sanjaq	انجا
sanitsky	أنطرسكي
sanita	أنتى
sanish	انصح
sanisa	أنسى
sanhua	أنهى
sanhao	أنهى
sanhadja	الناضجة
sangza	أنزا
sangthan	أنثيان
sangstha	أنشطها
sangster	أنغستر
sangrama	أنغاما
sangma	انما
sanglakh	انسلاخ
sangkhla	أنخيلا
sangho	أنغ
sanghi	أنغ
sanghiyang	يانغيانغ
sanghapala	رانغاسالا
sangas	اناس
sangamam	أنغاما
sangamam	أنغاما
sandza	أنزا
sandwith	ساندوذ
sandt	انضمّت
sandts	انتس
sandtown	ساندتون
sandstrand	نوردستراند
sandsøya	أندلسية
sandru	أنضر
sandro	أنضر
sandroyd	اندرويد
sandri	أدرِ
sandrart	تادرارت
sandrach	أندراده
sandøy	اندي
sandoy	اندي
sandøyna	أنديانا
sandow	أندو
sandos	أندس
sandor	أنضر
sandom	انضم
sandol	أندل
sandle	أندل
sandiway	أندواين
sandis	أندس
sandilya	أندلسية
sandía	أندا
sandia	أندا
sandhyay	انحيازي
sandhu	انهُ
sandhamn	أندامان
sandgate	انضغاط
sandes	أندس
sandër	أنضر
sandel	أندل
sandd	أنداد
sandbahn	انضباطه
sandbach	انضباطه
sandalia	ماندالا
sandakan	أندامان
sancha	أنهى
sancar	انار
sanblé	انبل
sanbao	‏أنبا‏
sanbao	‏أنبا‏
sanaur	انار
sanatana	سانتانا
sanarate	انهارات
san-ak	أنَّك
sanako	أنَّك
sanaʽa	أنَّا
sanaga	أنَّا
sanadi	نادِ
sanabria	أنامبرا
sanaag	أنَّا
samyro	أميرٍ
samye	امرئٍ
samworth	المورث
samwís	آموس
samwil	امول
samwer	امور
samvarta	أمارتيا
samusah	المُسلَّح
samur	المُر
samundra	المندرة
samuli	أملِ
samuin	امین
samuil	آمُل
samuel	آمُل
samudr	مُضر
samual	أمال
samtskhe	المتسخ
samtse	امتص
samton	أمتن
samtid	امید
samten	أمتن
samsin	امین
samsey	أمسي
samsaram	أمصارها
samrin	امین
samre	امرئٍ
samrāj	آمرج
samråd	أمرض
sampul	آمُل
sampat	امات
samparka	لاماركا
sampanthan	راماناثان
samoth	أمته
samory	امري
samora	أمرَ
samnis	أمنِ
sammut	أممت
samms	الممص
sammet	أممت
samlot	أملت
samkhyan	مخيباً
samkhayana	الماهايانا
samkarsh	مخارش
samjam	آجام
samita	امتى
samitata	المطاطة
samish	أمسح
samisdat	المصدات
saminsky	كامنسكي
samini	مِنِ
şamil	عامِل
samil	عامِل
samien	امین
samia	أهمیة
samiam	أیام
samhul	آمُل
samhaber	المحابر
samgraha	أغراها
samfry	امري
samesh	أمسح
samentum	آمَنتُم
sameland	أمالاند
sameba	أمبا
samdup	صامد
samdi	المدی
sambro	آمبر
sambre	آمبر
sambor	آمبر
sambir	امیر
sambin	امین
sambil	أبـِّـل
sambia	أمبا
sambhu	أمهُ
sambhāra	المبحرة
samber	آمبر
sambanthan	راماناثان
sambanis	تَبَنِس
samayasara	الماياصورا
samastha	مارستها
samarskaya	أمارلساوية
samari	مَرِّ
samaresh	المارش
samarcha	أمصارها
samarasa	المراسى
samarang	مارانغ
samaot	امات
samanū	امان
samantar	المنطار
samano	امان
samanı	امان
samanids	أماندوس
samane	امان
samaná	امان
samale	أمال
samalá	أمال
samalaju	الْمَلأُ
samaki	أماك
samakhom	أملاكهم
samake	أماك
samaji	آماج
samain	ماإن
samail	أمال
samael	أمال
samad	احماد
samadi	ماضی
samadang	مادانغ
samach	أماه
sál	سلّ
şal	ال
salzig	صَلِّ
salzer	الزر
salzeda	الزائدة
salzbach	الزباره
salzau	الزى
salyut	اليت
salwin	آوین
salwey	الوي
salwen	آلون
salvin	ألِن
salvay	الأي
salvat	آلات
salvas	الأسّ
salvan	الاّن
salvandy	الكاندي
saluto	سالت
salustia	الوُسطى
salusa	ألسا
saluq	الحُق
saluja	الجى
saludung	المُدُن
saltz	بالتز
saltztal	التتالي
saltsburgh	زالتسبورغ
salton	ألتن
saltom	التم
saltik	التی
salthows	مالثوس
saltes	التس
salten	ألتن
saltdean	التضامن
saltchuk	التحرُّك
saltator	التَّتار
saltandi	الثانی
saltaire	الطارئ
salsu	السُل
salson	السنّ
salser	السرّ
saloth	الذ
salora	الرى
salona	النى
salomy	المي
salobral	البركال
saloba	البا
salmor	المرّ
salmorth	المرتهن
salmoria	المصریة
salmonia	الزمنیة
salmonby	المنجبي
salmen	المن
salmar	ألار
salmān	المن
salmakia	المالیة
sallum	اللم
sallis	للإس
sallisaw	اللِّسان
salliman	للإيمان
salley	اللي
salleh	آلله
sallands	للأندلس
salkin	ألِن
salkinds	الإندوس
salked	الكد
salji	الجوِّ
salına	النى
salius	الإس
salium	الإم
salit	البیت
salipada	الإرادة
salino	ألِن
salinian	الإنتان
saling	ألِن
salinera	الإنارة
salinans	الإنقاص
salimu	الإم
salimia	القِمِّيَّ
salime	الإم
salikh	ألخ
salihiya	الحِسية
saligny	الإغنية
saligman	الإمكان
salid	الإرض
salich	الیه
salib	الوِب
