zita	زیتا
tagig	گاگیگ
taghazza	آغازها
taggia	اگیا
tagert	اگرت
tagdal	ادال
tagarthi	انگاره‌ای
tagaro	اگار
tagant	گانت
tagame	آگام
tagai	آگاسی
tagab	تَگاب
tafwys	افوس
tafuri	افری
tafts	تافتس
tafna	جافنا
tafkans	آفریکانس
tafira	فیرا
tafhim	فهیم
taffin	افین
tafawa	فاوا
tafas	ای‌اف‌اس
tafaifa	اف‌آی‌اف‌آی
tafahi	فاهی
taensa	آنسا
taenaris	کاناریس
taema	أئمة
tadulala	الدلالة
tadros	آدرس
tadraq	ادرا
tadoma	آدما
tadoba	ادبا
tadmur	ادمر
tadmor	ادمر
tadlac	ادلا
tadjik	دژیک
tadino	ادین
tadija	آدیا
tadif	فادیف
tadger	ادگر
tadfield	اندفیلد
tadema	آدما
taddéi	اددی
taddei	اددی
tadda	اضداد
tadazane	اندازان
tadataka	أَتَاكَ
tadas	اداست
tadano	ادان
tadanari	آب‌اناری
tadanaga	امدانگا
tadako	آداک
tadaichi	دایچی
tač	تا
tacuna	تانا
tacuma	اُما
tactan	آتان
taciti	آی‌تی
tacita	اِتا
tachard	اچ‌کارد
tachara	ناچارا
tachai	اهای
tacchini	آچینی
tacana	أَنَّ
tabur	بابُر
tabuns	اُنس
tabul	بابُل
tabuik	آبیک
tabuan	آبان
taborn	ابرن
taborian	بابریان
tabora	آبرا
tabona	ابنا
tabnit	بنیت
tablja	ابجا
tabiko	آبیک
tabiji	بی‌جی
tabgha	بغا
tabghach	آغاچ
tabert	ابرت
tabers	آبرس
tabern	ابرن
tabernai	ابرناتی
tabeja	ابجا
tabei	安倍
tabbi	آب‌بلی
tabba	آب‌بال
tabbas	آباس
tabban	آبان
tabay	آبهاي
tabataba	الْبَابَ
tabaso	آباس
ṭabasī	آباس
tabascan	الباسان
tabasayn	الباسان
tabasará	آتباسار
tabarz	بارز
tabarī	ابَر
tabariji	اجباریِ
tabaré	ابَر
tábara	بارا
tabantha	بانتوها
tabano	آبان
tabang	بانگ
tabane	آبان
tabanera	تابانرا
tabals	ابلس
tabah	اباکه
tabaga	باگا
taazi	آبازی
taaza	آبازا
taats	آکاتس
taaraism	آمارایس
taanith	اومانیته
taang	آوانگ
taamei	أَمِ
taala	آدالا
taaki	آراکی
taaita	اِتا
taahirah	اَهورَه
taadi	ابادی
t30	‏۳۰
t29	‏۲۹
t28	‏۲۸
t19	‏۱۹
t1000	$۱۰۰۰
t03	‏۰۳
t01	‏۰۱
t00	‏۰۰
szybka	زيبا
szwarc	زوّار
szula	ظُلْمًا
szukam	زکام
sztark	تارک
sztára	زترا
sztandar	زماندار
szondi	زندی
sznajd	نَجد
szinva	زینة
szimon	زیمن
szilagyi	زیلائی
szidon	زیدن
sziami	یامی
sziámi	زیمی
sze	澤
szelig	زلیگ
szarów	زارو
szapar	زاپا
szanse	زانس
szalay	زالا
szalai	آلای
szakalya	زاکاتلا
szajna	آجنا
szacki	زاکی
szabik	آبیک
syzran	زران
sywest	ئست
sywest	ئست
syward	وارد
syu	ۈ
syuri	يُرِدْ
sytch	هيچ
systra	سترا
systar	ستار
syrna	ايرنا
syrkin	رکین
syriza	ریزا
syriis	رییس
syo	ㅛ
syntipas	آنتیپاس
synrad	نراد
synar	دينار
synan	يونان
symkaria	ماکاریا
symantha	مانچا
sylwan	لوآن
sylvia	سلیا
sylmar	لمار
sylaward	لاجوَرد
sylan	گيلان
syk	يك‌
syksii	سکسی
sye	ێ
syers	مئرس
syedi	دئدی
syd	يد
syddanmark	سیددانمارک
sydals	دالس
syburi	بُری
sybils	بیلس
sybar	يكبار
syarif	اریف
syama	يَوْمَ
swylla	ويلا
swyers	وئر
swrdwal	پوکردوال
swoyer	وئر
swortz	ورتز
swn	ون
switkowski	کویاتکوسکی
swites	ویتس
switer	ویتر
switek	ویتک
swirlz	ایرلز
swinn	وینزن
swinge	وینگ
swindall	ویندالو
swinburn	وینبورن
swiger	ویگر
swetland	یوتلاند
swerin	ورین
swendi	وندی
swazis	آزِس
swayne	واين
swayd	فوايد
swayam	ايام
swatow	واتو
swass	واسکس
swarup	وارپ
swarte	وارت
swarb	واربک
swaqa	نوآقا
swapna	وانا
swanzy	وانز
swany	رواني
swante	وانت
swanston	توانستن
swann	وانگن
swanns	وانس
swanlund	واینلند
swanke	وانک
swanglas	وانگلیس
swaner	وانر
swanberg	وارنبرگ
swanay	وانا
swampman	وَمِمَّنْ
swaminatha	آلومینات‌ها
swamikal	وآمریکا
swamiini	وَإِنِّي
swamigal	آمیگدال
swalland	هاللاند
swaleh	وآله
swaine	واین
swaim	وایمن
swaile	وایل
swahilis	واسیلیس
swagga	واگا
swager	واگر
swafield	وارفیلد
swadel	وادل
swaby	جوابي
swabians	واریانس
swabiais	وآبیاری
swaan	واژان
swaab	وآداب
svein	վերին
svasti	اس‌تی
svartz	آرتز
svarstad	هارستاد
svanhild	گانهیلد
svamin	أمین
svalia	آلیا
svalan	الآن
suzman	زمان‌
suzana	ظَنَّ
suzaka	زاکا
suwayama	وَيَوْمَ
suwari	واری
suwama	واما
suwaid	واید
suttana	سُلْطَانًا
sutlan	طلاً
suthin	ثین
suthat	ذات
suteri	سطری
sutara	تَرَ
sutami	تامی
sutala	تالا
sutain	تاین
susta	کُستا
süsskind	ساسکیند
susskind	ساسکیند
susman	سمان
suslin	سلین
susini	سینی
susima	سیما
susila	سیلا
sushri	سهری
sushma	شما
sushitna	شیطانا
sushis	شیس
sushil	سهیل
sushik	سه‌یک
susann	سانن
susani	سانی
susana	سانا
susami	سامی
sûr	سر
surur	اُرُر
sursam	رسام
šurmin	رمین
surman	رمان
surmah	رماه
surkin	رکین
surkh	سُرخ
suriyani	سُریانی
suris	اُرِس
surinus	قُرِنتُس
suriki	ریکی
suria	کُریا
suriania	سُریانی
surgal	رگال
surfinia	رافینیا
surdi	کُردی
surazh	رازح
surayt	رايت
surayj	رايج
surasi	رأسِ
suran	اُران
surami	رامی
suraia	رایا
surad	مُراد
suprabha	پرابهام
supnik	پنیک
supima	پیما
supastar	پایستار
supant	پانت
supani	پانی
sunzha	نزهة
sunwar	نوآر
sunta	كُنْتَ
sunsin	نسین
sunmin	نمین
sunman	نمان
sunkar	نكار
sunjam	نجام
suniti	نیتی
sunita	نیتا
suning	نینگ
sunil	اُنیل
sunila	نیلا
sungshan	جنگشان
sungir	نگیر
sungen	سنگن
sungam	نگام
sungai	نگای
sundri	ندری
sundling	هندلینگ
sundin	ندین
sundar	ندار
sundarji	بُندارِ
sundarbans	سونداربانس
sundal	ندال
sundai	ندای
sunata	ناتا
sunart	نَرت
sunars	نارس
sunami	نامی
sunal	تُنال
sunair	نایر
sunada	نادا
sunaba	نابا
sumthing	مچینگ
sumos	ὕμνος
summan	ممان
sumlin	ملین
sumizawa	میازاوا
sumita	میتا
suming	مینگ
sumika	میکا
sumida	میدا
sumial	میال
sumaye	مائ
sumatrae	سوماترا
sumati	مَتّی
sumar	عُمَر
sumant	مانت
sumana	مَنَّ
sumali	مالی
sumala	مالى
sumalata	مالایتا
sumait	مایت
sulyma	ليما
sulong	龙
sulma	ظُلْمًا
sulman	لمان
sulis	پُلیس
sulina	لینا
sulili	لیلی
suliki	لیکی
sulang	لَنگ
sulam	پُلام
sulamani	فلامانی
sulaim	لایم
sulaiman	الایمان
suladi	لادی
sukura	کُرا
sukumari	کُمزاری
suktam	کتام
suksin	کسین
sukri	مُکری
sukma	حُكْمًا
sukman	کمان
sukina	کینا
sukhum	خُم
sukhna	خنا
sukawati	کراواتی
sukari	كاری
sukaas	کااس
sujnan	جنان
suja	سُجَّدًا
sujanati	جَنَّاتِ
sujala	جالا
suī	سُ
suitland	یوتلاند
suijin	ایجین
suibni	ایبنی
suhita	حیطة
suhar	صُحار
suhara	هارا
suhana	هانا
suhail	هایل
suğ	سُ
sugita	گیتا
sughra	غرا
sughd	سُـغد
sugdam	گدام
sugata	گاتا
sugana	گانا
sugala	گالا
sufris	فریس
sufrah	فراه
sufids	فیدس
sufian	فیان
sufala	فالا
sudini	دینِ
sudhin	دهین
sudbin	دبین
sudati	داتی
sudar	گُدار
sudama	داما
sudair	دایر
sucia	سُریا
suchitra	چیترا
subwar	بوار
subida	بیدا
subhan	به‌آن
subhadra	بهادران
şubat	رُباط
subash	باش
subara	بارا
subang	بانگ
subahdar	باله‌دار
suardi	اردی
suanjing	نانجینگ
suanfa	انفا
súaltaim	آلتهایم
suakin	آکین
suailt	آیلت
suaidi	آیدی
suæ	سُ
styris	تریس
styria	تریا
stylez	تئز
styleman	تئومان
styer	طائر
stwosz	توسظ
stuti	تُطِعْ
sturza	ترزا
sturtian	ترتریان
štursa	ترسا
stursa	ترسا
sturnini	ترنتینی
sturmi	ترمی
sturch	طُرّه
stunde	تُند
stumph	تمپه
stumblin	تامبلین
stukla	تکلا
stubin	تبین
stubai	تبای
stuart	تارت
stuard	تُرد
strzok	طرزک
strynt	ترنت
strynø	ترين
stryk	تحريك
stryj	ترويج
stryhn	ترين
stryd	ترديد
strunz	ترنز
struik	تریک
struan	تران
strowski	تروتسکی
strowd	طرود
ströms	ترمس
stroms	ترمس
stroin	‌ترین
stroik	تریک
strohm	ترحّم
stroda	تردا
strobl	تربل
stroat	ترات
strmol	ترمل
strmap	تراپ
strite	تریت
stripp	تریپ
strine	‌ترین
strindberg	استریندبرگ
striltsi	تریالتی
strijp	تریپ
strief	تریف
stried	ترید
strick	تریک
strickland	گستریکلاند
strich	تریه
stricher	تریچر
stresa	ترسا
strenz	ترنز
streng	ترنگ
strena	ترنا
streim	تریم
streik	تریک
streib	تریب
strefi	طرفِ
streat	ترات
strean	تران
strba	تجربة
strażnik	تراونیک
strawe	تراو
straut	ترات
straus	تراس
straup	تراپ
straum	ترام
straub	تراب
strattan	ربات‌تان
stratham	راترهام
strate	ترات
straos	تراس
stransky	ترانسکی
strangis	ترانویس
strandli	پراندلی
stramski	ترانسکی
stramm	تامم
stralman	درآلمان
strale	ترال
strakosh	تراکشن
strakatý	تراکافت
straiton	ترایتون
strahl	راحل
strahd	تاحد
straf	ترافل
straff	صراف
straes	تراس
stradale	ترازدال
strack	تراك
strabo	تراب
strabane	ترابیان
strabain	ترابیان
straa	ترایا
stours	تُرس
stotch	تچ
storni	ترنی
stormi	ترمی
stormark	تریمارک
storis	تریس
storin	‌ترین
stòras	تراس
storab	تراب
stonys	تنيس
stonar	تنار
stompa	تمپا
stolz	کستلز
stolin	تلین
stolas	طلاس
stolan	طلاً
stokab	تکاب
stoika	تیکا
štn	ﺗﻦ
stiwt	تی‌وتی
stits	تایتس
stirland	تیره‌اند
stipan	تپان
stintz	تینز
stingo	تینگ
stînga	تنگا
stiner	تینر
stimac	تیما
stiltz	تیلز
stilli	تیلی
stilkind	تیلویند
stilicho	تیلیچ
stílai	طلای
stikinia	توکینیا
stikeman	تیرکمان
stijn	تیجین
stigt	تیگلت
stigs	تیگرس
stiger	تیگر
stigen	تیگن
stiga	تریگا
stierlin	تیرولین
stieng	تینگ
stidia	تیدا
stidham	چیده‌ام
stični	تینی
stična	تینا
stich	تیچ
stibor	تیبر
stibel	تیبل
stibbs	تِبس
stiamo	تیام
sthiss	تیسس
sther	سیثر
sthalams	تالاموس
sterzh	ترزه
sterstan	تریستان
sterki	ترکی
steris	تریس
sterig	تریگ
steria	تریا
sterbini	تربینیو
stepan	تپان
stenka	تنکا
stenikha	تکنیکها
stenar	تنار
stenar	تنار
stelis	تلیس
stelia	تلیا
stelar	تلار
steina	تینا
stefans	تئوفانس
steart	تارت
stears	طارس
stazioni	تازیانی
stawiski	تراویکی
stawei	تاوی
stavri	تَری
stavka	تاکا
stavis	تایس
staush	تَش
staurt	اُرت
statz	تافتز
statista	باتیستا
statie	تاتی
stathis	تاثیرش
stathe	تاته
stathams	اتهامش
stateira	ستاتیرا
statali	تانتالیم
statae	تاتا
stass	تٲسیس
stassart	تاسيسات
stasiu	تأسّی
stasio	تأسّی
stasiak	تاسیوساک
stashu	تَش
stasch	تَش
starz.	تارز
starzz	تارز
starzy	تارز
starzl	تارز
stary	تجاري
starwind	آراویند
startz	آرتز
startx	تارت
starro	تارر
starrh	ترره
starratt	تارترات
starot	تارت
staros	طارس
staron	تارن
starns	آرنس
starnina	کارنینا
starl	تارلف
starline	تارلکین
starlift	تالیفات
starlifter	استارلیفتر
starky	ترکي
starko	تارک
starke	تارک
starken	ستارخان
staritsa	ماریتسا
starewitch	استارویچ
stard	توارد
starck	تارک
starbo	تارب
stapel	تاپل
stanyl	تانل
stanwald	ادنوالد
stantz	تانز
stansted	توانستد
stansoft	تانسیفت
stansall	تانستال
stanny	تانن
stanne	تانن
stanly	تانل
stanlislaw	استانیسلاو
stanlein	تانگلین
s-tank	تانک
stanky	تانک
stanko	تانک
stanke	تانک
stanig	تایگ
stanič	تأنی
stanić	تأنی
stanic	تأنی
stange	تانگ
stânga	تنگا
stangate	تانگاتا
stanfa	انفا
staněk	تانک
stanek	تانک
standort	تاندرجت
stanaway	تانکاوا
stanaj	اناج
stamshaw	تامسالو
stampy	تامپ
stampp	تامپ
stampe	تامپ
stamos	تامس
stamma	تاما
stamic	تامی
stamgazi	تاگ‌سازی
stamboli	تامبلین
stamata	آتاماتای
stamać	تاما
staly	تأليف
stalts	التس
stalpart	الپارتی
stallard	طی‌الارض
stalinists	استالینیست
stalam	الام
stalag	تالا
stalać	تالا
stalac	تالا
stakja	تاکا
staius	تایس
staite	تایت
staire	تایر
stainf	طایف
staine	تاین
stailinist	استالینیست
staige	تایگ
staib	تایبی
stahre	طاهر
stahn	طاهان
stahmann	ثمانین
stahly	تأهل
stahle	تأهل
stahlbad	تاه‌آباد
stahel	تأهل
stagoi	تاگی
stagni	آگنی
stafa	طایفة
stael	طائل
staehr	طاهر
staehlin	تاشلین
stadtrat	تأثرات
stadio	تادی
stadim	ادیم
stadie	تادی
stadham	افتاده‌ام
stacki	تاکی
stacji	تاجِ
stacia	تایا
stach	تاچ
stachy	چي
staby	كتابي
stablein	تامبلین
stabiane	ترابیان
stabes	تابس
staar	تاکار
staal	تاحال
staahl	تأهل
staab	تالاب
ssx	س‌س
ssftball	سافت‌بال
ssaion	صاین
sru	رُ
sruth	رُسته
srujan	رجان
srubna	ربّنا
srpsko	سرسک
srpske	سرسک
srl	رل
śri	ری
srivaari	ریاکاری
srisri	یسری
sriram	ری‌را
sriraman	آریامان
srirak	ایراک
srinatha	رِناتَن
srimati	تحریماتی
srimara	پریماورا
srimad	ریاض
sriharsh	گریه‌اش
srigim	ریگی
sridei	ریدی
sridanta	زیدانتا
srenis	رنیس
srbska	ربکا
srbik	روبیک
srbija	بی‌جا
sra	رﺍ
sraya	رَيْبَ
sr.and	راند
sraket	راکت
sragow	راگو
sraffa	رافا
srach	راچ
srabon	رابن
s.p	سپ
spyker	پئر
spr	پر
sprye	پرئا
sprüth	پرث
sprunt	پرنت
spruit	پریت
sprowl	پرول
sproat	پرات
sprinx	پرین
springtown	پارتینگتون
spriet	پریت
sprgr	پرگار
spreti	پرتی
sprent	پرنت
spreng	پرنگ
sprawy	پرآو
spratt	پاتت
spratlan	پراتلاف
sprake	پراک
spragins	پراوینس
spragg	پراگ
sportran	پرتاران
sporti	پرتی
sporthal	پرتغال
sporta	پرتا
sporns	پرنس
sponza	پنزا
sponti	پنطی
sponji	پنجی
spolin	پلین
spokan	پکان
spóirt	پیرت
spliid	لیید
splichal	پیچال
splean	پلان
spleak	پلاک
splatt	پاتت
splaat	پلات
spk	پک
spizer	پیزر
spitzy	پیتز
spitzl	پیتل
spitze	پیتز
spitta	پیتا
spithami	پیغامی
spitbank	پست‌بانک
spisy	تسپیس
spiros	پیرس
spirko	پیرک
spiritis	پیریتوس
spirio	پِری
spirax	پیرا
spioni	پینی
spinther	پینچر
spinne	پینن
spinna	پینا
spinky	پینک
spinks	پیکس
spinke	پینک
spinka	اینکا
spiner	پینر
spinei	پینی
spinea	پینا
spind	پویند
spindt	پینت
spinaway	پینایوا
spilka	ایلکا
špilja	پیلا
spilio	پیلی
spiker	پیکر
spigit	پیگت
spiga	پیگات
spieth	پیته
spiesz	پیسز
spiess	پیسس
spiers	پیرس
spiering	پیکرینگ
spicks	پیکس
spichrz	پریچرز
sphinz	هینز
sphas	پ‌هاش
sphagi	هاگی
speyer	پئر
sperti	پرتی
speris	پریس
sperio	περὶ
spelit	پلیت
speirs	پیرس
spearl	پارل
spavital	پاپیتال
spautz	پاتز
spaugh	پاگه
spatii	پایِ
spatie	پاتی
spatialism	ماتریالیسم
spatiale	پاتیالا
spater	پاتر
spaten	پاتن
spătar	پتار
spary	پارسي
sparty	پارت
sparte	پارت
sparko	پارک
sparkill	پارکدیل
sparke	پارک
sparidae	پارمیدا
spargo	پارگ
sparf	پارفه
sparbank	اوربانک
spansion	پانسیون
spanisoh	پانیشر
spanish.	پانیشر
spanishhas	اندیشه‌است
spanisch	پانیشر
spanie	پانی
spanic	پانی
spango	پانگ
spange	پانگ
spandaus	پاندماس
spanaway	پاناویا
spalko	پالک
spakhs	اخس
spaink	پینک
spaine	پاین
spaht	پناهت
spahr	پاهور
spahān	پَهن
spagat	آگات
spaeth	پاته
spader	پادر
spacks	پاکس
spacia	پایة
spach	پاچ
spaatz	پاتز
spaar	پالار
spaart	پارت
spaak	پاتاک
sozina	زینة
soyang	يانگ
sowtar	وتار
sowinski	وینوسکی
soward	وارد
sowada	وادا
sotral	ترال
sotkin	تکین
sotiri	تیرِ
sotira	تیرا
soting	تینگ
sosnik	سنیک
soslan	سلان
sosimi	سیمی
sosias	سی‌اس
sosial	سی‌ال
sōshin	شِن
sosban	سبان
sosang	سانگ
sosaia	سایا
sortha	رثا
sørstranda	رستوران‌دار
sorsha	رس‌ها
sörmland	ورملاند
sorman	رمان
sørlia	رلیا
sorkin	رکین
sorita	ریتا
soriga	ریگا
sorian	ریان
sorhin	رهین
sorham	رهام
șorban	ربان
sorath	راث
sorata	راتا
sorana	رانا
sorama	راما
soraia	رایا
sorabi	رَبِّ
soptna	پتنا
sopris	پریس
sopkin	پکین
sopkah	سپاه
søpark	پارک
sopara	پارا
sopan	اسپان
sopana	پانا
sonyea	نئا
sonshi	نسه‌ای
sonmay	نماي
sonman	نمان
sonjah	نجاح
sonita	نیتا
sonika	نیکا
soniji	نیجی
soniat	نیاط
sonian	نیان
sonhar	نهار
songshan	جنگشان
songping	لنگپینگ
songlian	جنگلیان
songar	نگار
sondhi	ندهی
sondar	ندار
sonari	ناری
sonali	نالی
sonaka	ناکا
sonair	نایر
sonagiri	ناگزیری
sonadi	نادِ
sonada	نادا
somwar	موار
somnia	منیة
somnat	منات
sommai	ممای
somari	ماری
somani	مَنِ
somaly	مالي
somalica	سومالیا
somala	مالى
somalata	مالایتا
somain	ماین
somail	مایل
sølyst	ليست
solski	لسکی
solong	龙
solmar	لمار
solman	لمان
solmania	آلمانیا
sollin	للین
solkan	لکان
solini	لینی
soling	لینگ
solina	لینا
solinari	لیناریت
solima	لِمَ
soldin	لدین
solbar	لبار
solawa	لاوا
solars	لارس
solari	لَری
solard	لَـرد
solara	لارا
solar1	لار۱
solans	لانس
soland	لاند
solana	لانا
solais	لایس
solaiman	الایمان
sökman	کمان
sokman	کمان
sokhta	ختا
sokhrani	خرقانی
sokhna	خنا
sokari	كاری
sokaklar	کاکل‌دار
sojiji	جیجی
sojang	جانگ
sojana	ژانا
soilih	ایلیه
sohrai	حرای
sohmas	هماس
sohila	هیلا
sohawa	هَوا
sohari	هَری
sohana	هانا
sohair	هایر
sohail	هایل
soglin	گلِن
sogdiana	سغدیان
sogard	گَرد
sogara	گارا
sogang	گَنگ
sofifi	فیفی
sofala	فالا
sodini	دینِ
sodiam	دی‌ام
sodasi	داسی
sodasa	داسا
sodann	دانن
sobran	برَن
sobirana	سیربانا
sobinski	بکینسکی
sobhan	به‌آن
sobhanam	به‌انجام
soberana	سبرانیا
sobbin	ببین
sobbei	سببی
soarin	ارین
soardi	اردی
sny	ني
snyman	نمان
snúada	نادا
snowin	نوین
snorky	նորք
snorks	նորք
snodin	ندین
snoats	ناتس
snider	نیدر
sng	نگ
snergs	نرگس
snehal	نهال
sneath	ناث
snayl	نائل
snatchet	ناچیت
snarxism	ناصریسم
snaily	نایل
snaer	نائر
snædal	ندال
snadon	نادن
snader	نادر
snable	نابل
snabilie	ونابیلی
sn3	ن۳
smyth	ميثم
smyser	ميسر
smyrni	مرنی
smyril	مریل
smylie	ميلی
smykla	مکلا
smyer	موئر
smutny	متني
smrti	مرتعی
smolna	ملنا
smolka	ملکة
smolin	ملین
smolar	ملار
smolan	ملان
smolak	ملاك
smoaks	ماکس
smitz	مینتز
smith.	میث
smithe	میث
smisor	میسّر
smislu	میسل
smisek	میسک
smirke	میرک
sminge	مینگ
smines	مینس
sminck	مینک
smilow	میلو
smilla	میلا
smilga	میگا
smilet	میلت
smilek	میلک
smilac	میلا
smike	μικρή
šmigun	میگن
smigel	میگل
smidt	میدگت
smidts	میتس
smiðs	اسمیس
smeths	մեծ
smetanka	متانکلا
smetak	متاک
smert	سمرتی
smerdy	مردي
šmerda	مردا
šmeral	مرال
smelik	ملیک
smelba	ملبا
smeets	մեծ
smedal	مدال
ṣmd	مد
smbat	مرباط
smazel	مازل
smashius	ماشیسو
smartt	مارت
smarte	مارت
smārta	مرتا
smärta	مرتا
smaragda	ماراغا
smanie	مَنِ
smallman	مالیمان
smalhans	مالشان
smach	ماچ
smaak	ماتاک
sm5	م۵
sm3	م۳
sm1	م۱
sluman	لمان
slp	لپ
slowthai	بلوط‌های
slowik	لویک
slowak	لواک
slotin	لتین
slonza	لنزا
slongo	龙
sloman	لمان
sloats	لاتس
sloatman	آلاتمان
sln	لن
sli	離
slizza	لیزا
slizer	لیزر
slivna	لینا
slivka	لیکا
slitz	لیتزی
slithe	لیته
sliter	لیتر
slitaz	لیاز
śliska	ایسکا
slinning	لاینینگ
slinge	لینگ
slinfold	لینفیلد
slindile	لیندیل،
slimbach	لیمباخ
slikok	لیکک
sliker	لیکر
slighs	لیغ
sliema	لِمَ
slidre	لیدر
slickk	لیکک
sliba	لیوبا
sliabh	یابه
slentz	لنتز
sleman	لمان
sleath	لاته
slean	لئان
sleagh	لاگه
slazak	لازک
sławin	آوین
slavka	لَكَ
slavis	لایس
slavin	لاین
slavik	لایک
slavia	لایة
slatt	لاتیت
slatta	لاتا
slaton	لاتن
slatanic	لاتانیا
slåss	سلسوس
slappa	لاپا
slann	لاندن
slank	پلانک
slanie	لانی
słania	انیا
slánga	لنگا
slaner	لانر
slamma	لاما
slajh	کلاژه
slager	لاگر
slaga	لانگا
slader	لادر
sladen	لادن
slabtown	گلابتون
skyrms	کرمس
skyman	کمان
skyli	خيلی
skylar	کلار
skylab	کلآب
skyhub	خُب
skyer	کئور
skybar	کبار
skyang	يانگ
skutch	کچ
skuru	کُرُن
skurka	کرکا
skuraj	کُرا
skupin	کُپی
skuna	کُنار
skulda	كُلَّ
skulan	کلان
skuki	کُرکی
skudra	کُرا
skubis	کُبی
skryabin	کارابین
skrine	کرین
skrill	کریل
skrewi	کروی
škréta	کرتا
skreng	کرنگ
skrein	کرین
skreia	کریا
skream	کرام
skrape	کراپ
skp	کپ
skoura	کُرا
skotia	کتیا
skotak	کتاک
skoshi	كشی
skorpi	کرپی
skorka	کرکا
skonnos	κομνηνός
sklare	کلار
skladany	كارداني
skjalf	کالف
skivring	کیورینگ
skitzo	کیتز
skirving	کیورینگ
skirum	کِرم
skirty	کِرت
skirring	کیورینگ
škirpa	کیپا
skiron	کیرن
skirda	کردا
skipps	کیپس
skinya	کینا
skins2	کینس
skinns	ایننس
skimin	یمین
skilla	کیلا
skilak	کلاک
skikne	کیکن
skikda	ایکدا
skiena	کینا
skidor	کیدر
skibic	کیبی
skibby	کیبب
skibbe	کیبب
skhul	خُلم
skhube	خُب
skeris	کریس
skerik	کریک
skeidi	کی‌دی
skedar	کدار
skaun	کَنُن
skatta	کاتا
skateman	کاستمان
skarpe	کارپ
skarne	کارن
skaret	كارت
skardo	کارد
skanse	کانس
skanör	کانر
skanke	کانک
skanes	کانس
skalunda	کالاندا
skalon	کالن
skałki	کاکی
skałka	کاکا
skalisty	خالیست
skalić	کالی
skalbe	کالب
skalak	کلاک
skakel	کاکل
skaill	کایل
skaife	کایف
skáidi	کی‌دی
skaha	کاه‌ها
skaftö	کافت
skafte	کافت
skaffa	کافا
skabz	کابزا
skaar	کاسار
skaarj	کارج
skaal	کابال
skaaland	کامل‌اند
sk1	س۱
sjuan	جُوان
sjelen	ۜ
sjajem	ساژم
şırnak	رناک
sizif	سیزیف
sizhen	震
sizdah	ایضاح
siying	یینگ
siyali	یالی
siyala	ایالا
siyaha	یاحا
siw	یو
siwis	ای‌وی‌سی
siwil	ایکویل
siwiak	ایواک
si-wan	یوآن
siwalk	والک
siwaliks	جی‌ال‌ایکس
siwah	ایواته
siwad	عِوَض
sivata	یاتا
sivash	یاسه
sivard	یارد
sivara	یارا
sivani	یانی
sivana	یانا
sivamani	یادمانی
sivaji	یاجی
sivagiri	یارگیری
siulam	ایلام
sitzmann	لیتمانن
sityar	ایتار
sittling	نیتلینگ
sittar	ایتار
sitrah	طراح
sitona	ایتنا
sitohang	ایچانگ
sitkum	یکُم
sitjar	تجٌار
sitis	ای‌تی‌سی
sitia	ای‌تی‌او
sithonia	بیثنیا
sithian	ایلچیان
sitankan	تانکیان
sitall	ایتال
sitalá	ایتال
sitagri	ایثارگری
sitael	ایتال
sitaara	آیتابارا
sisygambis	سیسیگامبیس
siswa	ایسولا
siston	ایستن
sistol	ایستل
sistina	کریستینا
sistemas	سیستماس
sistel	ایستل
sistān	ایستن
sistanis	دیستانس
sisskind	ساسکیند
sissia	سسیا
sisoti	ایستی
şişman	یمان
šišman	یمان
sislin	سلین
siskiwit	بیسکویت
sisir	یسیار
sision	ایسین
sisine	ایسین
sisia	میسیا
sishya	ایشا
sishun	ایشن
sishui	水
sishen	ایشن
siscar	ایسار
sisargas	سارگراس
sisara	سارا
sisang	سانگ
sisane	ایسان
sisana	سانا
sisam	ایسامو
sisamalu	ای‌اس‌ام‌ال
şir	ایر
şirvan	ایران‏
sirungan	پیرنگان
siruma	یرما
sirtle	ایرتل
sirsom	یرسم
sirsa	بیرسا
sirsalis	فیسالیس
sirrs	تیررس
sirri	یررسی
sirras	ایراس
sirpa	دیرپا
sironi	یرنی
sirona	ایرنا
siromani	نیرمانی
sirois	یریس
sirnic	یرنی
șirnea	ایرنا
sirnau	ایرنا
sirmilik	سیریلیک
sirkis	یریس
sirkes	یرکس
sirion	ایرین
siriol	ایریل
siringeham	بیرمینگهام
širine	ایرین
sirine	ایرین
sirik	ایریکس
sirigs	یریس
sirica	ایریا
siriad	ریاض
sireli	ایرلی
sirbis	ایبیس
şirato	ایرات
siranger	ویران‌گر
siraf	جیراف
sipson	ایپسن
sipriano	سیپریان
sippin	پپین
sipli	ریپلی
sipitang	آی‌پی‌تان
sipiagin	پیراگین
siphnian	پهن‌زیان
sipat	نیپات
šipan	دیپان
sipan	دیپان
sipani	پانی
sipaliwani	سیپالی‌وینی
sipak	ای‌پارک
šipad	آی‌پاد
sioras	ایراس
siorak	ایراک
sionis	ینیس
siong	穹
sioban	ایبان
sinyan	اینان
sintsink	هیت‌سینک
sinton	اینتن
sintians	یانتیان
sintesis	سینتسیس
sintel	ینتل
sinsen	ینسن
sinova	سِنا
sinora	این‌را
sinni	اینونی
sinna	بیننا
sinnar	اینار
sinnai	اینای
sinmun	اینمن
sinla	مینلا
sinkaram	تیکارام
sinjir	اینجی
sinjhú	ینجه
sinistro	سینیستر
sinisi	نیسی
sinise	ینیس
sinin	پینین
sinim	مینیم
siniawa	مینیاوپا
sinharat	اینکهارت
sinhalas	سینهالا
sinhaeng	مینهانگ
