zya	זיא
tonart	נארת
tonans	נאנס
tōnaga	נאגא
tomson	וֹסוֹן
tomsky	מסכי
tomori	מוֹרִי
tomono	מוֹנוֹ
tomlan	מלאן
tomkyn	מכין
tomer	אֹמֶר
tomed	עוֹמֵד
tomas	תּוֹמַס
tomars	מארס
tomans	מאנס
tomam	יוֹמָם
tomakh	מאכה
tomah	גוֹמָה
tomaas	מאאס
tolvan	לבאן
tolson	וֹסוֹן
tolos	ווֹלוֹס
tolman	למאן
tollan	ללאן
tolkan	לכאן
toles	ווֹלֶס
toler	פוֹלֶר
toland	לאנד
tolama	לאמא
tokarz	כארז
toison	וֹסוֹן
tohen	כֹהֵן
tohan	יוֹהַן
toghan	גהאן
todman	דמאן
tochar	חאר
tochal	חאל
tobelo	בְּלֹא
tobari	בָּרִי
tobana	תאנא
tmaros	מארס
tmall	מאללה
tlusty	לסטי
tlevak	לבאך
tlass	לאקסס
tlalum	לאלם
tlalim	לאלם
tlaili	לִילִי
tlachtga	לאחמתא
tlabel	אָבֶּל
tky	​​כי
tkdaya	כדאי
tiyon	עִיּוֹן
tivnan	ונאן
tiven	אִבְן
tivela	וְלא
tivara	וארא
tityra	תירא
titsch	צח
titran	טראן
tishtrya	שתבריא
tisher	שֶר
tishem	שֵם
tiryns	רינס
tirosh	רֹאשׁ
tirman	רמאן
tiris	אִירִיס
tirath	ראטה
tirard	רארד
tirans	ראנס
tirana	ראנא
tintal	נטאל
tingry	נגרי
tingay	נגאי
tingar	נגאר
tiner	וִינֶר
tindal	נדאל
tinchy	נחי
tinay	סִינָי
tinang	נאנג
tinah	קִינָה
timori	מוֹרִי
timnah	מנאה
timmeron	קִמְרוֹן
timman	ממאן
timberon	קִמְרוֹן
timava	מאבא
timaru	מארוּ
tilyar	ליאר
tilray	לראי
tilmas	למאס
tilman	למאן
tillys	לליס
tikvah	כבאה
tikal	מִיכַל
tijdeman	גִידֶמַן
tihany	האני
tihama	האמא
tigray	גראי
tigran	גראן
tiglat	גלאט
tigard	גארד
tigara	גארא
tiefere	תִּפְאֶרֶת
tiedeman	גִידֶמַן
tidman	דמאן
tidemann	גִידֶמַן
tidemand	גִידֶמַן
tibor	גִבּוֹר
tiberi	בְּרִי
tiben	אִבְּן
tía	תָ
tialys	אליס
tiahrt	אהרט
tiagan	אגאן
thysis	היסס
thyrza	הירא
thyron	הירן
thyrea	הירא
thynus	הינס
thynne	הינן
thynes	הינס
thyery	הירי
thyaka	היכא
thurat	הראט
thuras	הראס
thuram	הראם
thurah	הראה
thuong	הוֹנג
thunga	הנגא
thull	חוּלל
thtml	הטמפל
thsang	סאנג
thron	הרוֹזן
throal	הראל
thress	הרסס
thrawn	הראן
thrawl	הראל
thrass	הרסס
thranx	הראן
thrane	הראן
thrale	הראל
thrake	רַךְ
thrain	הראן
thotta	התטא
thorvard	הרווארד
thornn	הרנן
thori	צֳרִי
thorat	הראט
thorah	הראה
thorad	הראד
thomso	הוֹמוֹ
thommo	הוֹמוֹ
thomaz	המאז
thómas	המאס
thoeny	הֶני
thodur	הדוּר
thodol	הוֹדוֹ
thoday	הדאי
thodar	הדאר
thoas	תּוֹמַס
thm	המ
thjazi	הג׳אז
thiyam	היאם
thirry	הררי
thiong	הוֹנג
thimeon	שִׁמְעוֹן
thilmany	האלמאני
thill	הִלֵּל
thilly	הללי
thile	הִלֵּל
thidal	הדאל
thiard	הארד
thiang	האנג
thialf	האלפ
theyt	הֱיוֹת
theye	הֱיֵה
thevar	הואר
thevan	הואן
thethari	הֶהָרִים
thesys	הסיס
thesen	הסֵן
thermon	חֶרְמוֹן
thermian	הֶרְמַן
theremax	הֶרְמַן
theran	הראן
theraean	הֶרְמַן
theodo	הוֹדוֹ
thenga	הנגא
thembeka	שְׁמֶךָ
themar	המאר
themal	המאל
thell	הֵילֵל
thekla	הכלא
thegan	הגָן
thedr	האֶדֶר
thede	האֶדֶר
theatt	האטת
theatr	האתר
theatrvm	האוטרום
theary	הארי
theart	הארת
theard	הארד
theall	האלל
theach	האח
thays	האייס
thayne	האין
thayih	האיה
thayet	האית
thayer	האיר
thawan	הַאן
thaves	האוס
thavam	הואם
thatta	התטא
thaton	האטן
thâtiy	טהטי
thatis	האץ
thatherton	הַתַּחְתּוֹן
thatcham	האחראם
thass	האקסס
tharus	הארס
tharpe	הֲרֵי
tharos	הארס
tharom	הארם
thari	הָרִים
tharil	הארל
thareq	הארק
tharen	הֲרֵי
thardo	הארד
tharchin	האורחן
thara	הָרָע
tharavad	הראוואד
tharandt	הגאראנד
thaqafah	הָאֵיפָה
thapas	האאס
thaon	הֲמוֹן
thaong	הוֹנג
thanvi	האנו
thanos	האנס
thanon	האנן
thanom	האנם
thanke	האנך
thanin	האנן
thanih	האנה
thangz	האנז
thangi	האנג
thaney	האני
thanet	האנט
thandu	האנד
thando	האנד
thandi	האנד
thanagar	תאנאגאר
thamyras	אמיראטס
thamus	האמס
thamos	האמס
thamm	האמאם
thamir	האמר
thamer	האמר
thamel	האמל
thamby	האמי
thambani	הַבָּנִים
thamarys	המארינס
thamal	אמאל
thalna	אלנא
thalmann	האלמאני
thallo	הֲלֹא
thalis	האלס
thalim	האלם
thalía	האלא
thalia	האלא
thalians	האליאנס
thalēs	האלס
thales	האלס
thalén	האלן
thalen	האלן
thalbach	שָׁלַח
thakur	האכר
thaks	הַכּוֹס
thakre	הֲרֵי
thakil	הַכּל
thaka	האכאי
thakar	האכר
thaila	האלא
thagus	האגס
thagor	האגר
thaers	הארס
thaeng	האנג
thadzi	האדז
thado	האדוֹק
thaden	האדן
thackray	האחראי
thache	האח
thaba	הַבָּא
thaaye	הָאי
thaava	האבא
thaata	האטא
thaana	הַאן
thaali	הָאִי
thaadi	הָאִי
tfwala	פאלא
teyman	ימאן
teuven	וּבֵין
teuter	אֶתֶר
teuten	אֶתֵּן
tetsey	אֶצֶ
tethyr	טהיר
tetere	אֶתֶר
tetens	אֶתֵּן
tetans	טאנס
tés	ץ
tessar	ססאר
tesman	סמאן
teshel	שֶל
teser	אֶשֶר
tesero	סֶרוֹ
tescht	סחט
teryl	בְריל
teryan	ריאן
terval	רואל
terter	אֶתֶר
tersan	רסאן
teror	דְּרוֹר
terna	אֶרנָה
ternat	רנאט
ternan	רנאן
termez	אֶרֶז
termeh	אֶמֶה
terman	רמאן
termal	רמאל
terhardt	ארהארדט
tergnier	בֶּרגנֶר
tergat	רגאט
tereza	אֶרֶז
teresh	רֵישׁ
terem	כֶּרֶם
terah	סֶרָה
terada	ראדא
tèn	תן
tensar	נסאר
tenos	אֱנוֹשׁ
tenoh	אֱנוֹשׁ
tenoch	נֹח
tenharim	הֶהָרִים
tenea	מְנֵא
tendal	נדאל
tenay	עֵינַי
tenam	יֵינָם
tenaha	נאהא
tenaga	נאגא
temunah	הָאֱמוּנָה
temrad	מראד
tempah	אֶמָה
temlet	אֱמֶת
temin	יְמִין
temer	זֶמֶר
temel	מֶמֶל
temehu	אֶמֶה
temcha	מחא
temash	מאסה
temaru	מארוּ
teman	זְמַן
telzar	לזאר
telmet	אֱמֶת
telmar	למאר
tellep	אֶלֶף
tellas	ללאס
tellah	ללאה
telham	להאם
telgas	לגאס
telez	רְלְז
telets	לֵץ
teles	וֶלֶס
telesp	אֶלֶף
teler	קֶלֶר
telem	עֶלֶם
teleman	סְלֵימַאן
telde	אֱלֹדֵ
teldar	לדאר
telang	לאנג
tekram	כראם
tekfah	כפאה
tekeli	כֶּלִי
tehran	הראן
tehia	וְהִיא
tehama	האמא
tehamah	נְשָׁמָה
tegyra	גירא
tegel	רֶגֶל
tegart	גארט
tefer	סֵפֶר
teferi	פֵרִי
teeven	אֶבֶן
teets	אֶרֶץ
tedman	דמאן
tedata	דאטא
techu	קְחוּ
techa	אֶחָת
teatrą	תאטר
teatra	אתרא
teateret	עֲטֶרֶת
teagan	אגאן
tchuan	חאן
tchota	חטא
tchort	חרט
tchong	הוֹנג
tchéky	חכי
tcheky	חכי
tchao	חָנוֹ
tchaila	חָלִילָה
tbd	טד
tazvir	אזור
tazara	זארא
tazama	אזאם
tayur	איזוּר
taysom	איסם
taysir	איסר
tayshi	איסה
tayshaun	איספהאן
tayronas	אירנאוס
tayrab	אירא
taymor	אימר
tayloy	אילי
tayler	אילר
taykwa	איכא
tayiah	איאה
tayga	איגרא
tayern	אירן
tayda	אידאל
taycan	איאן
taybah	איאה
tayasu	איאס
tayart	איאת
tayama	אימא
tawrat	אראת
tawrah	אראה
tavush	אוסה
tavşan	אבאן
tavris	אורס
tavria	אורא
tavrel	אָבֵל
tavora	אורא
tavon	עָו‍ֹן
tavola	אולא
tavner	אונר
tavist	אוסט
tavism	אוסם
tavisi	טאבס
tavish	אִישׁ
tavira	אורא
tavin	אָבִינוּ
tavers	אורס
tavera	אורא
tavenner	אַבְנֵר
tavele	אָבֵל
tavda	אוודא
tavčar	אבאר
tavaus	אבאס
tavasi	אבאס
tavaré	אבאר
tavare	אבאר
távara	וארא
tavana	ואנא
tavam	אביאם
tautra	אתרא
tautas	אטאס
tausha	אשא
tausen	אָסֶן
tauroi	אוּרִי
tauris	אוּרִי
taurid	אוּרִי
tauric	אוּרִי
taurat	אראת
tauras	אראס
tauran	אראן
taula	אוּלַם
tauihu	אִיהוּ
taugas	אגאס
taufan	אוּפא
tauer	מאוּאֶר
taucha	אחא
taube	אוּבֶּר
tatyshev	לאטישב
tatyos	אטיס
tatya	אטיאן
tatyar	טיאר
tatva	אטואה
tatura	אתרא
tatums	אטוּם
tatsu	אלצֻ
tatsache	אצאלח
tatom	יָתוֹם
tatmen	אָמֵן
tatlin	אטלן
tatla	אמתלא
tatkal	אָכַל
tatira	אתרא
tatina	אטנא
tatian	אתאן
tathra	אתרא
tateno	טֶנוֹ
tatemori	הָאֱמֹרִי
tatcan	אתאן
tatay	פאטאי
ta-tas	אטאס
tatanya	ארטאניאן
tatamy	תאמי
tataf	אטאפו
tatad	אטארד
taszar	סזאר
tasta	אסותא
tassy	אסנסי
tassal	אסאל
taspar	אסאר
tasmin	אסמן
tashua	אשא
tashri	אשר
tashko	אשך
tashka	שכא
tashih	אשה
tashanta	אשאנטי
tasch	אסטח
tascam	אסאם
tasars	סארס
tasaka	אָסָא
tarzon	ארזן
tarza	ארזאק
tarzán	ארזן
tarzan	אזאן
taryll	אריל
tarvos	ארוס
tarvit	ארות
tarvis	ארוס
tarvin	ארון
tarvey	ארוי
tarves	ארוס
tarver	ארבר
tarvel	אָבֵל
tarva	ארבאן
tarus	אִירוּס
taruma	ארמא
tartus	ארצ
tartt	ארטטה
tartle	ארטל
tarter	ארטר
tarsta	ארטא
tarses	ארסס
tarsem	ארסם
tarsa	ארסאן
tarryn	ארין
tarrha	אררה
tarrar	אראר
tarran	אראן
tarqon	ארקן
tarply	ארלי
taron	אֲרוֹן
tarong	ארנג
tarom	עָרוֹם
tarnov	ארנב
tarnos	ארנס
tarnhelm	ארנהולם
tarney	ארני
tarner	ארנר
tarna	ארנאו
tärnan	רנאן
tarmon	אָמוֹן
tarmey	ארמי
tarlov	ארלו
tarlok	ארלך
tarlev	ארלו
tarlek	ארלך
tarkov	ארכו
tarkey	ארכי
tarjan	אראן
tarita	ארטא
taris	אִירִיס
tarish	אִישׁ
taring	ארנג
tarim	עָרִים
tarifa	ארפא
taridi	טארד
tarian	אראן
targan	אגאן
tareq	מארֶק
tarent	ארנט
tarea	הַרֵא
tareas	אראס
tardor	ארדר
tardes	ארדס
tarchi	אָחִי
tarcal	אראל
tarbat	אראת
tarbas	אראס
tarban	אראן
taraz	טאראז
taravo	אראו
tarata	ארטא
tarase	אראס
tarasa	רָסָ
tararu	אראר
tarare	אראר
taranu	אראן
tarant	ראנט
taransay	ואראנסי
tarama	ארמא
taramati	קָרָאתִי
taramani	קאראמאן
tarak	אוראך
tarain	אראן
tarade	אראד
taquan	אקאן
taqman	אקאן
tập	טף
tapraq	אראק
tapoiyot	אֳנִיּוֹת
taphan	אהאן
tapesh	אֵשׁ
tapah	רַפַּה
tapadh	אאדה
taoyin	אָיִן
taosi	אוֹסִיף
taora	אוֹרָה
tao-li	אוֹלִי
taoka	אֹכַל
taobao	אוֹאוֹ
taŋ	תָ
tanzan	אזאן
tanzam	אנאם
tanzam	אזאם
tanzac	אנזא
tanya	אניסא
tanvir	אנבר
tanvas	נואס
tanvald	אניבאלדי
tantor	אנטר
tanter	אנטר
tantany	קאנטיאני
tantam	אנאם
tansin	אנסן
tanshi	אנש
tansey	אנסי
tansen	אָסֶן
tansem	אנסם
tansa	אניסא
tanqih	אנקה
tanoli	אוֹלִי
tanoan	אנאן
tannis	אננס
tanney	אנני
tannes	אננס
tannah	אנאה
tanlac	אנלא
tankey	אנכי
tanken	אָכֵן
tanken	אָכֵן
tankas	אנאס
tankar	אנאר
tankan	אנאן
tankah	אנאה
tanith	אִתה
tangye	אנגי
tanguy	אנגי
tangud	אנגד
tangsa	אנגס
tangri	אנגר
tangra	אגרא
tanglish	אנגליש
tanglang	אנגלינג
tangis	אנגס
tanghe	אנגה
tanggu	אנגג
tangga	אנגג
tang-f	טאנג
tangen	אנגן
tangch	נגח
tangaroa	אנגאראב
tangaras	אנגאראב
tangaram	אנגאראב
tanev	אנְווּ
tanet	סָנְט
tanets	אנטס
taneli	אֵלִי
tanela	אנלא
tandya	אנדי
tandro	אנדר
tandon	אָדוֹן
tandle	אנדל
tandin	אנדן
tandil	אנדל
tander	אנדר
tanderan	אנדריאן
tanda	אנדאו
tandaya	אנדראיאס
tandag	נדאג
tancas	אנאס
tanay	פאנאי
tanat	אונאת
tanasi	אנאס
tanase	אנאס
tanane	אנאן
tanami	אנאם
tanama	אנאם
tanala	אנלא
tanakh	אנאה
tanaḯs	אנאס
tanaïs	אנאס
tanaís	אנאס
tanais	אנאס
tanaim	אנאם
tanahu	אנאה
tanagran	אנגראנו
tanach	נאח
tamyra	מירא
tamyen	אָמֵן
tamwan	אמאן
tamur	לַמוּר
tamson	אָמוֹן
tamsma	מסמא
tamsen	אָסֶן
tamsa	אמשא
tamron	אָמוֹן
tamri	אָמֶרִי
tamra	אומרא
tamraz	מראז
tamrat	מראת
tampa	טָמֵא
tampan	אמאן
tamori	מוֹרִי
tamony	אמני
tamnut	אמנת
tamney	אמני
tamna	אומנא
tammy	אמאמי
tammen	אָמֵן
tammam	אמאם
tamit	אמִתי
tamin	יָמִין
tamim	יָמִים
tamias	אמאס
tamgan	מגאן
tamerlan	כּאמְראן
tameno	אֵינוֹ
tamela	אמלא
tamchy	מחי
tambay	אמאי
tambar	אמאר
tamaz	אלמאז
tamayo	אמאי
tamaya	אמאי
tamasa	אמאס
tamaru	מארוּ
tamaro	אמאר
tamare	אמאר
tamano	אמאן
tamana	אמאן
tamali	אמאל
tamak	ארמאך
tamaha	מאהא
tamag	אימאג
talza	אלזאר
talysarn	אלדיארן
talyllyn	טאלילין
talwyn	אלין
talvin	אלון
talura	טאלר
talung	אלןג
talty	אלטאי
taltos	אלטס
talton	אלטן
taltal	לטאל
talsma	לסמא
talsit	אלסט
talsen	אָסֶן
talpas	אלאס
talona	אלנא
talofa	אלפא
taloa	הֲלוֹא
talner	אלנר
talmon	אָמוֹן
talmi	תַלמִי
talmis	אלמס
talmer	אלמר
talmai	אלמא
tallys	לליס
tallu	אללהֻ
tallha	אלהא
talley	אללי
tallava	אללהאבאד
talish	אִישׁ
taling	אלןג
talim	אֵילִם
talich	אלח
talhah	אלאה
talgat	לגאט
talgar	לגאר
talgarth	אוגארטה
talfer	אלפר
talfah	לפאה
talev	הַלֵּב
talesh	אֵשׁ
taleng	אלןג
taleka	לְךָ
taleeh	אלֶה
taleban	אַלְבָּנוֹ
taldir	אלדר
talcy	אלחי
talcho	אלח
talbut	אלוּת
tālava	לאבא
talaus	אלאס
talaru	אלאר
talarn	לארנ
talara	אלאר
talanx	אלאן
talano	אלאן
talana	אלנא
talamo	לָמוֹ
talamban	סאלאמאן
talama	לאמא
talala	לאלא
talalay	אלאסלאמי
talair	אלאר
talagi	אלאג
talad	אלאדי
talaat	אלאת
talaash	אלואראש
takth	יאכטה
taksin	אכסן
taksha	אשא
taksas	אסאס
takrur	אָרוּר
takraf	אראפ
takon	נָכוֹן
takken	אָכֵן
takis	אָכִישׁ
takil	רָכִיל
takhar	אהאר
takeno	אֵינוֹ
takena	אָכֵן
takemori	הָאֱמֹרִי
takayu	אכאי
takayo	אכאי
takaya	אכאי
takar	זָכָר
takali	אָכַל
takagari	תאנאגאר
tajmar	אמאר
tajgan	אגאן
taizan	אזאן
taiyo	אִיּוֹב
taiyan	איאן
taivny	אבני
taitsh	אצה
taiti	אִתִּי
taithu	אִיהוּ
taitao	אִתּוֹ
taisen	אָסֶן
taisan	אסאן
tairi	אִירִיס
taira	אִירָא
tairan	אראן
taiqan	אקאן
taimyr	אמיר
taimni	אִמן
taimay	אמאי
taimar	אמאר
taimah	אִמה
tailly	אללי
taika	אָבִיךָ
taihua	אִיהוּ
taigen	אִגְ
taigan	אגאן
taichu	אִיהוּ
taichi	אָחִי
taibon	אִבּן
taibe	אִבְּן
taian	אִיוַן
tahzay	אזאי
tahua	הַהוּא
tahtum	אטוּם
tahsis	אהסס
tahsas	אסאס
tahra	אהורא
tahoe	אָהֳלֵי
tahmid	אהמד
tahirt	אהרט
tahia	הַהִיא
taher	מַהֵר
tahert	אהרט
tahash	האסה
tahari	אהאר
tahama	האמא
tahala	האלא
tagyma	אימא
tagrit	אגרט
tagora	אגרא
tagert	אגרט
tagdal	גדאל
tagaya	אגאי
tagarthi	אוגארטה
tagaro	אגאר
tagara	גארא
tagant	גאנט
tagand	גאנד
tafwys	אפיס
tafuri	אוּרִי
tafros	אפרס
tafnit	אפנת
tafler	אפלר
taffs	אפספס
taffeh	אפפה
tafers	אפרס
taferl	אפרל
tafel	תאפיל
tafas	אפאצ
tafari	אפאר
taeter	אֶתֶר
taean	אֵיתָן
tadshe	אדסה
tadros	אדרס
tadraq	דראק
tadoma	אָדֹם
tadmur	אדמר
tadmor	אדמר
tadma	אדמאס
tadman	דמאן
tadley	אדלי
tadiar	אדאר
tadger	אדגר
tadeno	אֵינוֹ
tademaït	אַדְמַת
taddy	אדאדי
tadas	אדאנס
tadara	דארא
tadano	אדאן
tadami	אדאם
tač	תָ
tacuna	תאנא
tactan	אתאן
tacho	אָחוֹר
tachov	אחו
tachin	אָחִי
tachii	אָחִי
tachen	חֵן
tachanun	חַנּוּן
tachai	אָחִי
taceno	אֵינוֹ
tacchi	אָחִי
tabrar	אראר
tabots	בּוֹצ
tablat	אלאת
tabito	אִתּוֹ
tabish	אִישׁ
taber	אוּבֶּר
taberner	בֶּרגנֶר
tabeel	אָבֶּל
tabasará	הַבָּשָׂר
tabary	אארי
tabari	בָּרִי
taban	רַבָּן
tabah	רַבָּה
taats	אבאצ
taash	אראש
taang	אלאנג
taadi	וָאדִי
szymon	זימן
szu	זוּ
sztark	תארך
szo	זוֹ
szinkron	זִכְרוֹן
sze	זֵ
szávay	זואי
szalay	אלאי
szada	זאדאר
szacky	זאכי
syward	יארד
syvret	יורט
syvota	יבטא
syu	יוּ
sytsma	צמא
sytch	יפתח
systrond	ניסטרנד
syston	יסטן
systar	סטאר
syrtis	ירצ
syrta	בירתא
syrnyk	רניך
syrna	טירנא
syrlin	ילִין
syriam	יראם
syrets	ירצ
syrara	יראר
syrahs	יראה
syo	יוֹ
synyster	סיניסטר
synval	נואל
syntyche	ינציח
syntus	ינצ
synton	ינתן
syntin	ינתן
synthi	ינטה
synthe	ינטה
syntel	ינטל
synnar	ינאר
synger	ינגר
syndor	ינדר
synder	ינדר
synare	ינאר
symms	יממש
symlet	ימלט
sylwan	ילאן
sylvin	ילִין
sylver	ילבר
sylna	וילנא
sylado	יָדוֹ
syk	יכ
sygma	סיגמא
sye	יְ
syesha	ישא
syene	יֵנְג
syeed	יֶלֶד
syd	יד
sydnam	ינאם
sydler	ידלר
sydhav	דהאב
sydal	קידאל
sydals	דאלס
sycuan	יוּאָן
sychov	יחב
sychem	יחמ
sychar	חאר
sybene	בְּנֵי
syasat	יאסט
syama	יָמַי
swayam	איאם
swatar	אתאר
swarts	ארצ
swardt	ארדת
swarat	אראת
swaran	אראן
swanzy	אנזי
swanny	אנני
swanns	אננס
swangard	ואנגארד
swally	אללי
swaleh	אלֶה
swachh	אחה
svyata	ואתא
svyaga	יאגא
svoray	בראי
svika	אָבִיךָ
sviatykh	שבאיכה
svetly	בטלי
svetla	וְלא
sveter	אֶתֶר
sverstad	ברנסטאד
sverka	בְךָ
sverhy	ברהי
sventy	ונטי
svenhard	ברנהארד
svehla	והלא
sveen	וְכֵן
svears	וארס
svealand	ביאלאנד
svayak	באיך
svavsted	באוסטנד
svasti	ואסט
svartsot	בארצית
svarte	בארט
svartå	בארט
svarstad	ברנסטאד
svarog	וארג
svarnadi	בארנארד
svarek	בארך
svarc	וארח
svante	ואנט
svansø	באנס
svanøy	באני
svanhvít	סוואנות
svanen	באנן
svamin	ואמן
svalöv	באלו
svalia	באלא
svalen	באלן
svadi	וָאדִי
suzman	זמאן
suyong	יוֹנג
suver	וּוֶרד
suvasa	ואסא
suvara	וארא
suvača	וּבָא
suttam	תתאם
sutryk	תריך
sutomo	טוֹמוֹ
sutch	פוּתח
sustrans	אסטראנס
susman	סמאן
sushun	שׁוּן
sushma	שמא
sushen	שֶׁן
sûr	סר
šur	וּר
suryan	ריאן
survay	רואי
surval	רואל
sursam	רסאם
šurmin	וּמִן
surman	רמאן
surmah	רמאה
surlyn	רלין
surgal	רגאל
suret	קוּרְט
sureau	רְאוּ
surazh	ראזה
surayt	ראית
šurany	ראני
sunzal	נזאל
sunmin	וּמִן
sunman	נמאן
sungshan	פנגשאן
sungay	נגאי
sunfly	נפלי
sundar	נדאר
sundal	נדאל
sunart	נארת
sunars	נארס
sumray	מראי
sumpin	וּמִן
summvs	ממוס
summly	ממלי
summar	ממאר
summan	ממאן
sumlin	וּמִן
suming	וּמִן
sumien	וּמִן
šumeri	מֶרִי
sumava	מאבא
sumartin	מַרְטִין
sumant	מאנט
sumala	מאלא
sulyma	לימא
sulon	בּוּלוֹן
sulong	לוֹנג
sulman	למאן
sulit	מוּלִית
sulili	לִילִי
sulen	גוּלֵן
suldal	לדאל
sulay	אוּלַי
sulaym	לאים
sulang	לאנג
sulam	אוּלַם
suknah	כנאה
sukman	כמאן
sukhna	כהנא
suī	שׂוּ
suhaym	האים
suhayl	האיל
suhamy	האמי
suğ	שׂוּ
sugala	גאלא
sufyan	פיאן
sufri	צוּרִי
sufrah	פראה
sufala	פאלא
sueter	אֶתֶר
suene	וּפְנֵי
suchus	חוּס
suchus	חוּס
suchi	רוּחִי
suchet	חֵת
suchat	חאת
suchar	חאר
suchan	חאן
sucham	חאם
suayan	איאן
suards	ארדס
súaltach	אלפתאח
suæ	שׂוּ
styrsö	תירס
styron	טירן
styris	תירס
styria	תירא
styrians	טיראנוס
styley	טילי
styers	תירס
styche	טיח
styal	טיקאל
stu	טוּ
stutts	תתצ
stuti	טוּטסִי
šturm	תֻרגם
sturmy	תרמי
sturch	תרח
stults	טלץ
stuart	טארט
stuard	טארד
strype	טריף
strynø	תרין
strymo	תרים
stryhn	ריהן
stryfe	טריפ
stryer	טריר
strüth	טרטה
struth	טרטה
struch	תרח
struan	טראן
stroth	טרטה
strorm	טררם
stronsay	טרנסקאי
strnad	טרנד
strmol	טרמל
strizh	תרזה
strigl	תרגל
strich	תרח
streng	טרנג
strem	טֶרֶם
strely	טרלי
strefa	תרפא
strean	טראן
straży	תראי
strawn	טראן
stravo	טראב
strauven	רְאוּבֵן
straus	טראס
straum	טראם
stratman	טראוטמן
strass	טראס
strasman	גראָסמאן
straos	טראס
stranzha	טראונזה
strank	טראך
stramp	טראם
stramm	טראם
strama	טראם
strakh	תראה
straka	טראך
strahm	ראהם
strahl	ראהל
strahd	תראה
strago	טראג
strage	ראגֶ
straff	תרפפ
straes	טראס
strad	סטראד
strack	טראך
stoyan	טיאן
stotts	תתצ
stosur	צוּר
stosny	צני
stosch	צח
storys	תריס
storyk	תריך
stort	תּוֹרַת
stormo	טוֹמוֹ
storke	תּוֹךְ
stori	צֳרִי
stori	צֳרִי
storch	תרח
stòras	טראס
stoot	טוֹבוֹת
stooke	תּוֹךְ
stonys	תניס
stonar	טנאר
stolz	קסטלז
stolas	טלאס
stokoe	תּוֹךְ
stokl	תֹאכַל
stokke	תּוֹךְ
stokey	תּוֹךְ
stohr	צֹהר
štn	תן
stmary	טארי
stiverne	תִּבְנֶה
stitts	תתצ
stits	צִיץ
stinta	טנטא
stiman	תמאן
stilfs	טלפס
sthiss	תהסס
stheno	טֶנוֹ
sthal	תשאל
sthala	האלא
ste	תֶ
stevyn	טוין
stevns	תונס
steve	תֵּבֵל
steve	תֵּבֵל
steven	אֶבֶן
stevas	טואס
stevan	טואן
sterzh	תרזה
sterstan	טריסטאן
sterno	טֶנוֹ
stenor	טֶנוֹ
stenk	סטניך
stene	טֶנְג
stenay	תנאי
stenar	טנאר
stenar	טנאר
stelmach	צֶמַח
stelly	טללי
stelar	טלאר
stehn	סתהון
stefano	סְטֶפָנוֹ
steez	טֶלְז
steeg	טֶנְג
steart	טארט
stears	טארס
stavro	טאור
stavri	טאור
stavre	טאור
stavka	טאבא
stavis	טאבס
staver	טאור
staven	אָוֶן
stauts	אוּצ
staush	טאש
staurt	טארט
staudach	תַּפּוּחַ
staubach	תַּפּוּחַ
staton	טאטן
statis	טאץ
statia	טאטא
stathi	טאטה
stathe	טאטה
statae	טאטא
stasys	אסיס
stass	תאסוס
stasov	טאסו
stasny	צני
stasch	צח
starz	טאראז
starzy	ארזי
staryu	טארי
starye	טארי
starways	טאראניס
startz	טארט
startx	טארט
starrh	אררה
starov	טארו
starot	טארט
staros	טארס
staron	טארן
starl	טארלי
starks	טארס
starko	תארך
starkman	תורכמאן
starke	תארך
stari	טארִק
starin	טארן
stargard	דארגארד
starc	תארח
starck	תארך
stanz	צאנז
stanzl	אנזל
stanyl	אניל
stantz	תאנט
stanny	אנני
stanne	טאנן
stanky	אנכי
stanis	טאנס
stanig	טאנג
stangl	אנגל
stange	טאנג
stanfa	תאנא
staney	טאני
stanev	תאנו
stanaj	תאנא
stampy	תאמי
stamos	טאמס
stamey	תאמי
stalta	אלטא
stallyns	טאלילין
stali	תַלמִי
staley	טאלי
stälen	סטלן
stala	טאלאר
stalam	אלאם
stakhr	טאהר
staige	אִגְ
stahre	טאהר
stahn	טאשן
stahl	סטאהל
stahly	אהלי
stagl	טאגיל
stager	טאגר
stafa	טאפאס
stafangr	קטאפאנג
staehr	טאהר
stadtrat	תאטראות
stadon	אָדוֹן
stach	צַח
stachy	אחי
staar	טאלאר
staahl	טאאל
ssx	סס
sru	רוּ
srl	רל
śri	רִי
sriman	רמאן
srimal	רמאל
sreten	אֶתֵּן
srdan	ורדאן
sra	רָ
sraya	סראיא
sratha	ראטה
sr.and	ראנד
sranan	אנאן
sraket	רַךְ
squ	קוּ
sqanto	קאנט
s.p	סף
spyer	פְּיֶר
sprogets	פּרוֹגרֶס
sprake	רַךְ
spolok	פּוֹלוֹ
spole	פּוֹלֶה
splosh	לוֹ‏ש
speyr	פְּיֶר
spert	פְּרָת
sperti	פְּרִי
speris	פְּרִי
spense	פְּנֵי
spenle	פְּנֵי
spener	פְּנֵי
spence	פְּנֵי
sparty	ארתי
sparta	ארטא
sparland	גארלאנד
spangard	ואנגארד
spaith	אִתה
spahan	אהאן
spagat	אגאת
spadra	אדרא
soyang	יאנג
sovran	וראן
soviah	וִיָה
sovel	יוֹבֵל
sovath	ואטה
sovan	וֹבַנִי
sovann	באנן
sovana	ואנא
sovah	טוֹבָה
souza	וֹאוּזָ
souson	וֹסוֹן
soumet	וּמֵת
sotsha	תשא
