zita	自他
tanuna	按捺
tanuma	怒罵
tantau	按圖
tanski	安寺
tansin	安寺
tansie	暗色
tansey	暗色
tansem	暗色
tansa	暗殺
tanri	残り
tanqih	安岐
tanpa	暗盤
tanose	暗色
tanoma	暗碼
tanoli	案例
tanoan	傲岸
tannu	含怒
tannis	安妮
tanne	案內
tannaz	按捺
tannat	按捺
tannah	按捺
tanmay	暗碼
tan-luan	叛亂
tanjug	安居
tanjou	安居
tanjong	坎坷
tanjil	胺基
tanita	愛她
tanin	安信
tåning	薴
taningia	寧夏
tanida	捱打
tania	鞍架
tanguy	岸谷
tangut	岸谷
tangue	岸谷
tangud	岸谷
tangub	岸谷
tangonan	剛男
tangoing	楠公
tangkaan	黨刊
tangiwai	党外
tanggula	糖瓜
tanggangzi	槍桿子
tang-f	帑
tangari	当たり
tangara	唐賽兒
tangalan	钢缆
tangair	唐賽兒
taner	凡爾
tanen	感恩
tanelli	安和樂利
taneda	安達
tandya	按壓
tando	暗鬥
tandle	安樂
tandja	安達
tandil	安抵
tander	安徳
tandar	安達
tandag	安達
tanco	安厝
tanchon	南充
tancharoen	監察人
tanca	板擦
tanbih	岸壁
tanba	糌粑
tanasi	安寺
tanase	暗色
tanane	暗暗
tanana	按捺
tánamo	那末
tanami	納米
tanala	娜拉
tanaju	那句
tanaji	那幾
tanai	安泰
tanahu	安乎
tanaceti	探測器
tamyen	阿门
tamwan	阿曼
tamvan	阿曼
tamuli	牡蠣
tamsen	阿门
tampoc	踏破
tampan	阿曼
tamori	末日
tammen	阿门
tamiyo	哎喲
tamiya	哎呀
tamise	米色
tamin	雅敏
taminmin	敏明
tamina	米納
tamimi	咪咪
tamika	密か
tamia	阿米巴
tamiahua	綿花
tamgan	阿曼
tamerlan	愛爾蘭
tameno	阿门
tambao	阿保
tamayo	阿猫
tamaya	馬雅
tāmati	馬蹄
tamati	馬蹄
tamashii	馬氏體
tamaru	馬込
tamaro	阿猫
tamapo	阿猫
tamano	阿猫
tamanian	満点
tamana	麻那
tamali	马力
tamako	阿猫
tamai	大麥
tamaho	阿猫
tamachen	卯辰
talura	他律
talqan	阿蘭
talou	大楼
talonian	老年
tallaiya	馬來亞
talinski	大林寺
talimi	立米
taligent	大利根
taliedo	喇列島
talfan	阿蘭
taleju	樂句
talbo	阿拉伯
talayan	卡拉揚
talarn	阿蘭
talaqu	拉去
talao	法老
talanx	阿蘭
talant	阿蘭
talano	阿蘭
talanian	藍靛
talana	阿蘭
talama	喇嘛
talala	拉拉
talake	拉客
takushan	葵扇
takuji	庫吉
takua	打垮
takou	瓦口
takiya	哎呀
takiji	艾姬
takii	大きい
takeuchi	刻度尺
takeshis	馬可仕
takena	可那
takele	可樂
takeji	客机
takeda	可达
takao	奥尻
takaosan	靠山
takali	咖哩
tajiri	几日
tajimi	幾米
tajima	吉馬
tajika	阿嘉
tajan	阿見
taixu	排序
taiwo	在握
taiti	代替
taithu	爱护
taite	萊特
taitay	愛她
taisia	哀思
taish	愛紗
tairi	来日
taira	愛染
taipu	海浦
taipi	白皮
taipa	害怕
taiowa	凹窪
taining	奶娘
taina	採納
taimyo	哎喲
taimur	愛慕
taimi	白糸
taimay	艾瑪
taimar	艾瑪
taimak	艾瑪
taimah	艾瑪
tailte	愛樂
tailey	愛樂
tailem	愛樂
taikyu	愛慾
taiki	裁き
taiiku	爱哭
taiho	哀號
taigu	外骨
taifun	爱抚
taiei	曖昧
taidu	海渡
taido	愛島
taidje	爱得
taibo	载波
taibi	愛別
taibe	愛別
taiba	海抜
taian	再按
tahuya	虎牙
tahupo	湖泊
tahun	打昏
tāhuna	忽那
tahuna	忽那
tahua	氨化
tahuando	换到
tahiya	哎呀
tahei	發黑
tahami	哈密
tahai	暗害
tagungen	関根
tagui	暗鬼
taguba	古巴
tagonggo	公告
tagomi	奥秘
tagan	麻杆
tagai	大概
tafoya	聱牙
taflan	阿蘭
taewang	马德望
tadun	打盹
tadman	阿曼
tadema	徳馬
tadano	阿島
tadami	大米
tadako	阿島
tadadi	大敵
tač	鰨
tacui	抜粋
taciti	磁體
tacita	愛她
tachin	呵斥
tachik	呵斥
tachii	赤い
tachash	按察使
tacchi	呵斥
tabuse	补色
tabuan	不安
taboye	波野
tabitu	爱徒
tabiti	蔽体
tabin	阿炳
tabiji	荸薺
tabban	阿坂
tabaso	阿保
tabasi	巴斯
tabano	阿保
tabane	半額
tabala	巴拉
taazi	あや子
taang	阿桑
taamei	阿梅
taaita	愛她
szu	崒
szu-yu	祖語
szulik	足立
szula	阻拦
sztuki	突き
szoke	作客
szina	支那
szimon	字模
sziget	資格
sziámi	字謎
sziami	字謎
sze	崱
szene	怎么
szemud	澤木
szego	澤國
szech	澤岻
szanse	暗色
szada	再打
syu	籲
syuzma	御馬
syunik	淤泥
syung	雲谷
syuen	羽仁
syo	哟
syoni	油膩
synura	奴ら
synni	隱匿
synnergren	芸能人
synema	耶麻
synan	疑难
syminges	銀閣寺
sylan	宜蘭
sykai	移开
sygen	野根
sye	掖
syene	野内
syech	葉池
sycuan	蹿
syburi	語り
sybase	亚瑟
syabru	押入
swoyer	沃野
swiri	偽り
swire	微熱
swinglei	營壘
swinge	寺格
swimning	威名
swier	威爾
swida	偉大
sweyne	文略
sweta	未踏
swerling	威令
swent	温突
sweno	穩婆
swenn	文案
swenne	文略
swenet	文略
swendsen	纹身
sweit	為替
swein	慰安
sweeting	聞聽
sweer	威爾
sweda	偉大
swazis	袜子
swati	蛙腿
swarte	瓦特
swarn	蛙人
swarni	挖泥
swapo	外婆
swany	丸野
swantown	頑童
swante	瓦特
swanston	頑童
swann	湾岸
swanglas	往来
swaner	瓦爾
swana	丸大
swainton	頑童
swainson	丸松
swail	外力
swaile	愛樂
swaik	外堀
swager	瓦爾
swadling	丸町
swades	挖得
swadel	挖得
swabi	完璧
swabians	外邊
swaan	瓦版
svideo	寺地
sveske	瑟瑟
svalan	阿蘭
suzuo	御座
suzan	玉簪
suyin	讀音
suyama	亞麻
suwen	虎纹
sutun	獨吞
suteri	宿題
sutan	不談
susumu	苏木
susuli	俗吏
susiya	嘶哑
susima	死马
sushiho	古時候
sushanlo	山姥
susaye	撒野
susana	薩那
susai	堵塞
suruya	儒雅
suriyani	独り言
suren	羽仁
suran	徒然
supin	物品
supide	辟地
supasang	爬上
supai	曲牌
suola	拖拉
suogu	鑼鼓
suoge	作歌
sunzi	裙子
sunye	村野
sunyani	雲岩寺
sunwu	雲霧
sununu	女奴
sun-shui	滚水
sunpu	鱒浦
sunnyong	男用
sunjong	困窘
sunjang	君江
sungjong	论功
sungchou	运筹
sundling	遵令
sunde	混得
sunchon	昆虫
suncheon	群臣
sunao	不挠
sunami	納米
sunaba	那覇
sumuru	母乳
sumomo	末末
sumilang	米糧
sumika	密か
sumie	汙衊
sumei	酷妹
sumedang	每當
sumaya	馬雅
sumati	馬蹄
sumana	麻那
sumali	马力
sumala	馬拉
sumalaya	馬來亞
suluma	驢馬
sulin	武林
sulingen	鈴本
sulili	立礼
sulede	樂得
sulaiman	快慢
sulachan	腊肠
sukesi	克巳
sukan	拒看
sujin	如今
sujie	女傑
suī	橚
suiye	罪業
suina	歸納
suiji	葵祭
suifu	恢復
suide	推得
suida	會打
suhua	图画
suğ	橚
suguta	古塔
suguru	故如
sugun	舞棍
sugunia	布穀鳥
suger	獨個兒
sugan	骨感
sugane	甘え
sugamuxi	瓜幕西
sugala	嘎啦
sugai	不改
sufuse	膚色
sufala	髮蠟
sueda	絶大
suebi	絕筆
suebians	血便
sudun	土遁
sudou	宇都
sudie	玉牒
sudeti	得體
sudati	大体
sudan	不單
sudama	大麻
sucia	俗家
suchi	福池
su-cheng	浮城
sucha	粗茶
subiya	比亞
subida	必答
subianto	扁桃
subei	須貝
subao	讀報
subaie	白俄
subahu	跋扈
subaang	歐巴桑
suani	短い
suangna	光南
suæ	橚
suada	夸大
styan	塔岩
stu	塗
stuti	土台
stussi	土司
sturua	突入
sturmi	塗り
sturli	圖利
sturii	塗り
stura	徒然
stuora	托兒
stumon	塗抹
stumbo	塗抹
stulting	退庭
štulić	圖利
stukus	土庫
štuke	頭殼
stuke	頭殼
stuhre	土合
stuha	图画
stufe	土肥
studge	突地
studer	突地
studen	突地
studa	屠刀
stucki	突き
struer	入耳
strude	突地
struan	软
strina	提拿
strichen	日程
streng	礽
stran	徒然
strangia	躺下
strama	拓馬
strale	塌了
strage	踏歌
stoye	桃葉
stourton	头痛
stours	頭兒
stoure	頭兒
stouk	頭殼
stoud	偷得
stoudion	头顶
stotu	脫兔
stosur	頭兒
stose	桃色
stonton	通通
stondon	通洞
stomu	头目
stolzing	頭領
stolin	お隣
stogi	痛い
stofa	讨伐
stobo	托缽
stobi	逃避
stjude	突地
stixis	体系
stixe	提攜
stish	題詩
stirum	戻る
stirn	體認
stires	體熱
stinton	甜筒
stinta	提拿
stinson	听讼
stine	體內
stimul	笹木
stima	鐵馬
stilpo	体魄
stilli	体力
stilliag	提梁
stilbe	提了
stila	提篮
stikeman	鐵面
stijn	踢进
stiger	提个
stigen	提个
stiga	提高
stier	退而
stierlin	鐵鍊
stiel	鐵路
stieg	替え歌
stief	貼附
stieb	鐵筆
stična	提拿
sticke	体侧
sticir	提词
sticia	提词
stich	鵜池
sticheln	提成
sther	射入
sthenula	神来
sthal	沙拉
ste	铽
steyer	特爾
stewer	特爾
stever	特爾
steuer	特爾
steti	鐵蹄
stesen	特色
sterba	而把
stepe	特配
stepa	特派
stenton	疼痛
stener	特爾
stelli	特裡
stelis	特裡
stelio	特裡
stelia	特裡
steka	特刊
stejić	特記
steinman	填滿
steina	提拿
steile	提了
steige	提个
steier	特爾
steichen	煤塵
stegmann	藤蔓
stege	替え歌
steger	特爾
stegeman	藤蔓
stefa	特番
steese	特色
steere	特爾
steensen	藤森
steenman	藤蔓
steegman	藤蔓
stedje	特地
stebe	特别
steber	特爾
stebbing	鐵餅
stean	特刊
staya	塔岩
staude	突地
stata	坍塌
stassi	拓司
staso	他所
stasiu	拓司
stasio	拓司
stasik	拓司
stasia	拓司
staryu	踏入
starye	拓也
starobin	逃兵
starke	萨克
staog	逃げ
stanz	攤子
stanzani	躺在
stanu	贪渎
stanton	甜筒
stann	檀那
stannius	唐牛
stanis	塔尼
stanion	袒胸
stanig	帑
stanič	塔尼
stanić	塔尼
stanic	塔尼
stangley	糖類
stangir	唐賽兒
standon	田東
standage	坦蕩
stanco	他の
stancho	唐朝
stancaro	唐草
štampa	拓馬
stampa	拓馬
stamou	拓磨
stamos	拓磨
stamma	拓馬
stamać	拓馬
stalte	塌了
stali	他倆
stalins	桃林寺
staley	塌了
stala	他倆
staire	體熱
staig	台閣
staib	太不
stahle	塌了
stagno	他の
stager	踏歌
stagea	踏歌
staen	拓墾
staege	踏歌
stadu	贪渎
stadte	它的
stadi	太低
stadie	阿爹
stadel	它的
stada	臺大
staci	陶瓷
stach	踏出
stace	探测
stabul	踏步
stabilog	泰隆
stabia	拓跋
stabat	拓跋
stabar	拓跋
staaij	他愛
ssu-yu	速玉
ssu-ma	酥麻
ssangch	傷處
sru	鴽
śri	日
sriraman	日耳曼
srimuang	日光
srijit	日記
squ	癯
squeri	取り
squasher	全社
squanchy	全車
squalean	權擥
spunke	撲克
spreng	礽
șprenghi	扔回
sprengen	烹饪
spouge	謳歌
spota	砲塔
sporus	迫る
sportu	破土
sporti	破題
sporoi	破り
sporle	破れ
sporet	破れ
sponti	破題
sponji	迫撃
spolti	破題
spolku	坡路
spolii	迫力
spole	破裂
spoldi	迫力
spokan	破案
spogli	迫力
spoede	颇得
spodek	颇得
splore	破れ
spissa	匹薩
spisak	匹薩
spirer	疲れ
spioni	睥睨
spinus	死ぬ
spinnin	平年
spinneri	坪内
spingule	评阅
spind	頻度
spinc	品詞
spilde	辟地
spiker	皮壳
spikee	皮壳
spignesi	坪内
spigel	皮革
spiga	批改
spiering	撇清
spiere	疲れ
spidey	辟地
spichern	劈成
spicci	批次
spianada	加拿大
spezi	胚子
spermo	耳膜
sperisen	陪審
spens	喷洒
spener	盆兒
spena	噴發
speil	賠禮
speier	配額
spedan	鹅蛋
speare	怕熱
spayre	怕熱
spater	帕爾
spata	排他
spash	爬树
sparte	怕熱
sparke	怕熱
sparey	怕熱
spanx	盘膝
spanu	叛徒
spanton	旁通
spano	盤剝
spann	叛逆
spani	叛離
spane	潘恩
spaner	帕爾
spandana	盤點
spali	叛離
spalda	啪啦
spader	帕爾
spadea	爬得
spach	爬出
spacehog	爬蟲
soyuza	羽咋
soyte	を以て
sowode	我的
sowan	波灣
souwer	偶尔
souter	偶尔
soure	走れ
soumya	欧亚
soumik	欧米
soumia	欧米
soumer	偶尔
soulja	歐拉
souli	厚利
soulat	歐拉
soulam	歐拉
soulac	歐拉
souhegan	媾和案
soufia	偶發
souers	偶尔
soudha	毆打
souder	偶尔
souday	毆打
soudas	毆打
soudal	毆打
souchon	鉤蟲
sotuta	土塔
sotiri	戻り
soting	庁
sotile	提了
sota	掃討
sótano	他の
sotano	他の
soshu	波数
sōshaban	篩板
sosen	の森
sosan	奥さん
sosang	丧
sorlin	お隣
soren	倭人
sørensen	人蔘
sorensen	人蔘
soreng	礽
sorcha	兒茶
soran	驀然
soramaru	染まる
soquee	缺額
sopoti	破題
soposan	莫泊桑
soolin	お隣
sonning	永寧
soniji	匿迹
songtsen	東森
songtsan	鬆散
songnen	动能
songkhan	空喊
songgotu	鴻溝
songbag	鬆綁
sonali	那里
sonai	莫奈
somjin	お金
somin	博敏
somei	渥美
somala	馬拉
solusi	鷺鷥
solun	涡轮
sollin	お隣
solini	お隣
solingen	鈴本
solina	お隣
solima	利马
solie	破裂
solier	裡爾
solia	我倆
soliantu	連投
solengen	冷温
soldin	お隣
sokan	我看
sojiji	吉積
söhnchen	昏沉
sohair	孩兒
sogou	凹沟
sogn	所感
soglin	お隣
sogen	波根
sogensha	更紗
sogane	甘え
sofubi	辅币
sofala	髮蠟
soeren	惡人
soeman	額滿
sodingen	頂門
sodere	地热
sodema	徳馬
sodasi	大寺
sochi	握持
soche	卧车
sobule	不樂
sobra	掃把
sobane	半額
soacha	お茶
snoke	脑壳
snivanje	黏接
snina	泥淖
snille	膩了
snieg	顳骨
snider	逆耳
sneia	内码
snakey	那棵
snair	乃尔
snainton	南通
snagge	哪个
snaer	乃尔
snader	拿得
snabe	納本
smuin	牧民
smudo	木铎
smoyer	莫耳
smosh	末社
smoliy	茉利
smoley	摸了
smoler	莫耳
smoger	莫耳
smithe	糸賀
smita	密談
smislu	迷路
smisek	米色
smilšu	迷路
smilla	蜜蜡
smilis	迷离
smilga	蜜蜡
smilde	覓得
smilac	蜜蜡
smike	每顆
smigel	米格
šmicer	米爾
smenkare	分かれ
smend	门底
smele	没了
smata	馬太
smaro	馬肉
smans	慢速
smallman	馬里蘭
smalling	冒領
smalle	罵了
smales	罵了
smalec	罵了
smain	麻琴
smail	賣力
smahi	馬齒
smach	馬齒
sluter	率爾
sluser	率爾
slupia	鹿皮
slunj	論及
sluie	芦別
slugo	录过
sluder	率爾
slucki	鸬鹚
slouka	绿卡
sloshua	老衰
slomiany	樓面
slome	老么
sli	傈
slizer	裡爾
sliwa	力丸
slivka	豊か
slithe	立河
sliter	裡爾
śliska	豊か
slins	吝嗇
slinkman	林莽
slingrer	伶人
sline	鱗葉
slindon	靈動
slimania	連枷
sliker	裡爾
slikas	豊か
sligo	利高
slifer	裡爾
slien	麗文
slief	烈妇
slidre	離れ
slidex	犁地
slemko	肋膜
sleman	額滿
sleghe	樂歌
slegge	樂歌
šlegel	樂歌
slean	了然
slawa	辣腕
slavonia	老鸟
slatta	邋遢
slaski	拉絲
slany	滥竽
slans	兰斯
slann	烂泥
slank	蘭科
slane	蘭科
slaner	篮儿
slana	蘭塔
slamma	喇嘛
slaley	拉了
slaid	來得
slahi	拉屎
slagle	拉了
slagbank	浪板
slaga	拉桿
slades	拉得
slader	拉得
sladen	拉得
sladek	拉得
skurup	堀込
skuna	困乏
skuma	跨马
skulte	哭了
skula	苦勞
skudrian	扣點
skuda	闊達
skreng	礽
skrang	攘
skoue	扣了
skopi	口癖
skoglund	空論
skogland	空欄
skoda	闊達
skiti	開題
skita	开拓
skien	開恩
skiena	可那
skidi	溃敌
skibo	開播
skiba	開拔
skeyna	可那
skevla	克拉
skern	克仁
skepta	可怕
skepi	可佩
škend	墾地
skeme	可没
skelig	顆粒
skelet	可樂
skeie	克介
skeidi	克敌
skeen	课文
skeena	可那
skedvi	克敌
skedee	可得
skedar	可达
skebou	可不
skeaping	勘平
skean	刻板
skawa	開挖
skatex	卡特
skari	誇り
skanse	暗色
skano	卡諾
skane	勘合
skalka	卡拉
skalić	咖哩
skalba	卡拉
skalak	卡拉
skage	凱歌
skafte	卡特
skadi	卡带
skade	开得
škabo	開播
sjong	囧
siyue	子曰
siyaya	压压
siyan	奇岩
siyali	压力
sixun	集訓
sixie	提攜
siwaka	哇咔
siwai	堤外
siusi	酒肆
siuni	忸怩
siuna	就拿
siu-ming	旧名
siuda	溜达
siuan	舊案
siuai	就爱
sitou	旗頭
sitice	体侧
sitiawan	田丸
sitai	体态
sitaheng	他称
sisun	子孙
sisulu	粟鹿
sisimite	施密特
sishi	利市
sisan	集散
sisana	薩那
sisala	薩拉
sirwi	思維
siruma	辱骂
sirigu	日雇
sireli	熱力
siran	既然
šipan	批判
sipan	批判
siong	雄
sinwani	新丸子
sinugdan	訂單
sintica	新体操
sintians	濱田
sinta	新た
sinsi	瀕死
sinpo	緊迫
sinni	金泥
sinna	金納
sinmo	临摹
sinla	辛辣
sinkiang	私釀
sinkaram	心から
sinjibu	編輯部
sinisi	尼斯
sinirangan	紀念館
siniju	擬具
sinhaeng	民航
singu	筋骨
sington	明通
singson	听讼
sing-nan	定男
singlari	綾瀬
siner	心耳
sindu	頻度
sindi	襟弟
sindepan	印地安
sinda	音大
sīnda	散大
sindafu	谏大夫
sinan	疑难
sinai	吉奈
sinabu	那部
simushir	閉幕式
simonsen	愛默森
simoni	摩尼
simoni	摩尼
simode	摸得
simoce	莫測
simiyu	米語
simin	子民
siminjan	民間
simier	米爾
simerman	日耳曼
simen	祁门
simawang	猫王
simao	雞毛
siman	溢滿
simandou	奠都
simaku	馬堀
simai	義賣
siluo	低落
silozi	嗣子
silongan	龍蟠
silia	技倆
silao	你老
sikua	自誇
sikela	克拉
sijin	逼近
sijie	密接
sihui	議會
sihimin	李世民
sihanada	加拿大
sihai	西海
sigyong	応用
sigui	死鬼
siguer	故而
sigua	丝瓜
siger	自個兒
sigena	格納
sigele	隔了
sigean	个案
sigala	嘎啦
sifen	戲份
sifan	旗幡
siepi	潔癖
siena	别拿
siegling	挈领
sieci	迭次
siduri	渡り
siduna	頓阿
sidere	地热
sideling	挈领
sidayu	大域
sidao	移到
sidani	大逆
sidamo	大漠
sidama	大麻
siculi	粗糲
siculian	初戀
sicili	磁力
sichting	茶亭
sibudu	不渡
sibuan	不安
sibisi	必死
sibiri	蔽日
sibini	比拟
sibilia	利比里亞
sibier	比爾
sibeling	本領
sibale	芭乐
sibaki	抜き
siata	下榻
siasi	掐死
siannon	佃農
siani	狎昵
siangla	梁瀬
siana	嘉納
siamea	死马
sialis	薩裡
siagu	峡谷
shyian	議案
shyan	和彦
shyami	亜弥
shyama	亞麻
shwele	喝了
shwegu	河骨
shwebo	和博
shuzo	戯作
shuyukan	属员
shuyo	護佑
shuye	樹液
shuyak	虎牙
shuuyu	虎魚
shuto	護套
shutoken	火坑
shuter	忽而
shuru	滑入
shuro	後ろ
shuri	祝日
shurfa	護法
shure	暑熱
shurer	忽而
shurai	踝
shuqun	湖區
shuprian	槲皮苷
shupanga	磺胺
shunten	歡騰
shuntaro	春涛
shunichi	水池
shung	鍠
shungiku	磺窟
shungaku	磺窟
shundi	湖底
shumow	護摩
shumon	護摩
shumla	胡麻
shumka	胡麻
shumi	狐媚
shumchun	戸川
shulze	胡樂
shulte	胡樂
shulgi	狐貍
shuley	胡樂
shuler	忽而
shula	胡来
shukyu	虎魚
shuko	虎口
shukor	活兒
shuki	輝き
shuker	忽而
shuja	護駕
shuho	护好
shuhda	互打
shugenja	華格納
shuga	互感
shuen	虎纹
shuei	戶內
shudo	戸島
shudhu	呼呼
shudha	互打
shuch	護持
shu-chun	戸川
shubur	呼ぶ
shubna	忽那
shubik	護庇
shuba	护板
shuart	話兒
shuah	樺戸
shrule	胡樂
shreya	熱軋
shran	忽然
shrake	哈克
shpola	泼辣
shoya	好呀
shouvlin	厚脸
shourd	猴兒
shoupe	後略
shoun	後納
shougeng	肉羹
shou-gao	手稿
shoudeng	油燈
shouaiba	懷寶
shoshong	火紅
shoshenq	火神
shoshenk	火神
shoshani	後山
shoshana	後山
shose	好色
shoni	紅い
shongolo	紅樓
shonggit	宏规
shonggit	宏规
shongalo	紅樓
shona	後納
shomu	厚木
shoma	好嗎
shomali	軸馬力
shola	火辣
shoku	火窟
shoda	浩大
shochoku	好醜
shobo	火鉢
shoan	毫安
shnier	逆耳
shmini	米妮
shmeli	河裡
shlema	河馬
shkupi	虎皮
shizu	仕組
shi-zhen	還真
shiyu	毀譽
shiyi	駭異
shiya	海牙
shiyane	使眼色
shixi	池西
shivling	飭令
shiuan	萑
shiti	孩提
shishman	赤山
shiri	飾り
shirase	お知らせ
shiqi	志氣
shiqiong	詞窮
shipu	海浦
shipi	植皮
shinsen	石ノ森
shinjang	智囊
shimu	黒幕
shi-ming	晦冥
shimesu	赤霉素
shimaji	芝麻街
shimada	海馬島
shilu	海陸
shillong	回籠
shili	絵里
shike	骇客
shiji	史紀
shihe	匯合
shigu	事故
shige	揮戈
shien	施恩
shiele	喝了
shidu	屍毒
shidi	赤堤
shida	只打
shibu	织布
shibo	會播
shibi	赤鼻
shibana	黑板擦
shiao	執拗
shezmu	和穆
sheyn	河陰
sheyne	鶴野
sheya	和彦
shewa	喝完
sheuo	核果
sheung	桁
sherone	核融合
shern	赫然
sherma	河馬
sherle	喝了
sheridon	黑洞
sheridan	黑店
sherer	爾爾
sherbo	和博
sherbini	哈爾濱
sherba	而把
shera	赫然
shepit	和鈈
shepis	和鈈
shenzen	真真
shenton	神童
shenson	恒松
shenron	陣容
shenqipu	深秋
shenpen	神棚
shenoi	河泥
shenk	很酷
shenhavi	深海
shèng	垧
shèngshàng	尚尚
shëngjin	轟進
sheng-ho	橫禍
shèngguò	上谷
shenggai	梗概
shene	河内
shena	很怕
shenatan	滲碳
shenango	很胖
shemya	河馬
shemon	核膜
shemoa	河馬
shemma	河馬
shemer	赫尔
shemar	河馬
shelli	河裡
shelle	喝了
shelke	核可
she-li	河裡
shelia	河裡
sheley	喝了
shelem	喝了
sheleg	喝了
shelee	喝了
shela	荷兰
shekulli	车库里
shekpa	賀卡
shekhu	合乎
shekau	何苦
sheja	闔家
shein	河陰
sheini	河泥
sheil	黑了
sheikhan	黑山
sheika	賀卡
sheib	黒部
shehus	合乎
sheher	赫尔
sheha	荷花
sheger	赫尔
shefar	合法
sheeku	何苦
sheedi	河堤
sheeda	何だ
sheean	河岸
shedet	赫德
shechani	合唱
sheble	喝了
shebib	合壁
shebenik	禾本科
sheba	射靶
shearn	河岸
sheane	河岸
sheale	喝了
shche	荷車
shchenya	辰彦
shazu	华族
shayo	哈腰
shayma	蛤蟆
shayi	駭異
shaye	沙也
shaya	海牙
shawu	茶屋
shawqi	哈气
shauna	忽那
shauli	狐貍
shati	话题
shatha	哈哈
shatec	哈特
shata	旱獺
shasu	还俗
shashoua	插手
shashank	砂山
sharu	滑入
sharonon	豪農
sharoe	好惡
sharma	蛤蟆
sharir	孩兒
sharifan	あり方
sharfu	哈佛
sharda	哈達
sharabha	沙拉吧
shaqir	孩兒
shaorong	包容
shaone	好惡
shao-lin	少林
shao-hou	豪州
shany	汗液
shant	旱獺
shante	哈特
shantanu	漢唐
shano	翰墨
shann	漢那
shannen	產能
shaniqua	寒泉
shanichi	展翅
shangshiju	糧食局
shangrai	航海
shangpa	厂牌
shangani	常に
shangana	上納
shane	喊了
shand	喊得
shandler	韩德尔
shandin	航点
shandera	韩德尔
shanchol	漢朝
shana	旱獺
shamu	花木
shamta	蛤蟆
shamsi	哈密
shamra	蛤蟆
shamo	翰墨
shamni	哈密
shammi	哈密
shamma	蛤蟆
shamlan	花木蘭
shamis	哈密
shamiran	還讓
shamim	哈密
shamil	哈密
shamia	蛤蟆
shamba	蛤蟆
shamar	蛤蟆
shamah	蛤蟆
shalli	哈利
shalini	沙里奈
shalim	哈利
shalhi	哈利
shalgi	哈利
shala	沙拉
shakugan	還款
shakotan	好天
shakma	蛤蟆
shaki	好き
shakir	孩兒
shakhe	哈克
shakee	哈克
shakea	哈克
shaji	好几
shairp	孩兒
shaiqiya	還錢
shain	海女
shaim	海马
shaimiev	壊滅
shail	海里
shaik	骇客
shaif	還發
shaibani	篩板
shahu	茶壶
shahra	哈哈
shahla	哈哈
shahenshai	還真是
shahba	哈哈
shahat	哈哈
shahanshan	合歡山
shahanga	海航
shaham	哈哈
shahak	哈哈
shahaji	哈哈镜
shahab	哈哈
shaggai	上蓋
shafir	孩兒
shafa	殺伐
shaer	沙爾
shadoe	好惡
shadi	杀敌
shadia	哈達
shaday	哈達
shadar	哈達
shabo	寒波
shabir	孩兒
shaan	沙岸
shaami	哈密
sgula	古老
sguaba	古巴
sgrena	格納
sgoing	肱
sgoda	夠大
sge	歌
sfida	肥大
sfida	肥大
sfenj	分级
sfeir	飞入
seyran	俄然
seyoum	悪友
seyhun	恶运
seyhan	惡漢
seyfin	讹音
seydou	悪友
seyag	略阳
sextou	鹅头
sexina	西納
seuren	惡人
seurbi	耳鼻
seungman	豐滿
seudun	速讀
setun	河豚
setuku	土庫
setia	額田
setan	歌壇
setangan	湯煙
setai	荷台
sessai	厄塞
seside	寺地
seshni	悪事
seshin	悪事
seshat	扼殺
sesan	色散
sesana	薩那
sésamo	萨摩
sesamo	萨摩
šer	尔
serzh	爾志
serwer	爾爾
serwar	耳挖
servan	俄然
seruma	辱骂
seruci	如此
sersi	而是
serper	爾爾
seropian	肉片
seron	鵝絨
serner	爾爾
serme	耳門
sermão	耳膜
serman	額滿
serlo	耳漏
serlio	而立
serlin	而立
serlia	而立
serket	耳壳
serkan	俄然
sergun	惡棍
sergo	而过
sergi	而归
sergiu	耳鼓
serfe	而废
serfer	爾爾
serers	爾爾
serero	爾爾
sereny	惡人
sereni	惡人
seremban	隔热板
serei	而微
serein	惡人
serebu	而不
serebr	爾爾
sercu	而出
serch	而出
sercer	爾爾
serboi	耳鼻
serbja	而把
serbii	耳鼻
serbie	耳鼻
serbiá	耳鼻
serbe	耳背
serber	爾爾
serayu	児玉
seraya	尔雅
serao	耳套
serano	俄然
serani	俄然
serangan	染缸
seqiti	气体
sepura	僕ら
sepei	特配
sepasi	帕斯
sepasang	爬上
sepang	庞
sepala	啪啦
seó	瑟
seongsan	鬆散
senzu	恩主
senyei	恩义
senukai	分不開
sensi	粉丝
senryu	児玉
senri	本日
senqu	奔去
senning	冷凝
sennar	恩納
senli	文利
senku	很酷
senju	刃具
senji	分级
senis	森西
senia	惡念
senge	本歌
senganga	本港
senen	恩人
sendwe	恩德
sendo	恩多
sendling	本領
sendi	本邸
senden	恩德
sendeng	等等
sendel	恩德
sendek	恩德
senda	很大
senari	恩爱
senan	色男
senang	馕
senana	恩納
senaki	恩爱
semoni	摩尼
semnan	額滿
semnai	恩爱
semitizi	黑體字
semisi	迷思
semin	惡名
semilong	圍攏
semidi	謎底
semeih	峨眉
semde	射得
semaun	額滿
semans	額滿
semane	滿額
semai	叶脉
semaan	馬鞍
selvie	恶劣
selu	神路
selman	額滿
selin	隔邻
seline	恶劣
selimi	立米
selime	恶劣
selima	利马
selika	豊か
selbie	恶劣
selayang	莱阳
